Despacho,Descrição
CR 0,Cer􀆞icado de Residência de cidadão da UE
Artº 88 nº 2,"Exercício de a􀆟vidade profissional subordinada, c/dispensa VR válido"
Artº 98 nº 2,Reagrupamento familiar (Titular AR Temporária)
CR 15,Cartão de residência de familiar do cidadão da UE nacional de Estado terceiro
Artº 91 nº 1,Estudantes do ensino superior
Artº 89 nº 2,Exercício de a􀆟vidade profissional subordinada
Artº 122 nº 1 k,Com filhos menores residentes em Portugal ou com nacionalidade portuguesa com responsabilidades parentais
Artº 91 nº 4,"Estudantes ensino superior, c/dispensa de VR válido"
Artº 92 nº 3,Estudantes do ensino secundário c/ dispensa de VR válido
Artº 98 nº 2 ARI,Reagrupamento familiar (Titular AR Inves􀆟mento)
