NACIONALIDADES,TOTAL,Homens,Mulheres
Afeganistão,526,257,269
África do Sul,405,219,186
Albânia,6,4,2
Alemanha,3.935,2.128,1.807
Andorra,2,0,2
Angola,4.597,2.097,2.500
Antígua e Barbuda,1,1,0
Apátrida,0,0,0
Arábia Saudita,11,7,4
Argélia,172,122,50
Argentina,212,107,105
Arménia,14,4,10
Austrália,80,58,22
Áustria,282,148,134
Azerbaijão,12,7,5
Bahamas,4,2,2
Bahrein,3,3,0
Bangladesh,2.132,1.738,394
Barbados,0,0,0
Bélgica,959,546,413
Belize,0,0,0
Benin,4,3,1
Bermudas,1,1,0
Bielorrússia,82,35,47
Bolívia,19,7,12
Bósnia e Herzegovina,8,2,6
Botswana,5,1,4
Brasil,39.456,18.900,20.556
Brunei,1,1,0
Bulgária,236,109,127
Burkina Faso,0,0,0
Burundi,0,0,0
Butão,1,0,1
Cabo Verde,3.889,1.775,2.114
Camarões,63,44,19
Cambodja,6,2,4
Canadá,245,129,116
Cazaquistão,100,55,45
Chade,2,1,1
Chile,96,48,48
China,1.356,654,702
Chipre,44,24,20
Colômbia,395,232,163
Comores,2,1,1
Congo,13,5,8
Congo (Rep. Democrática),23,11,12
Coreia do Sul,31,15,16
Costa do Marfim,28,18,10
Costa Rica,25,10,15
Croácia,80,32,48
Cuba,200,125,75
Desconhecido,1,1,0
Dinamarca,343,197,146
Djibuti,1,1,0
Dominica,3,1,2
Egipto,110,70,40
El Salvador,12,8,4
Emiratos Árabes Unidos,2,2,0
Equador,176,99,77
Eritreia,12,5,7
Eslováquia,117,43,74
Eslovénia,75,31,44
Espanha,3.583,1.877,1.706
Estados Unidos da América,2.475,1.179,1.296
Estónia,70,24,46
Etiópia,18,11,7
Fidji (Ilhas),1,1,0
Filipinas,137,34,103
Finlândia,193,98,95
França,4.754,2.433,2.321
Gabão,3,0,3
Gâmbia,70,63,7
Gana,54,36,18
Geórgia,71,50,21
Granada,1,1,0
Grécia,203,115,88
Guatemala,19,9,10
Guiana,2,0,2
Guiné,112,81,31
Guiné Bissau,3.746,2.159,1.587
Guiné Equatorial,10,4,6
Haiti,5,4,1
Honduras,20,12,8
Hong Kong,122,54,68
Hungria,217,102,115
Iémen,2,2,0
Índia,7.407,6.152,1.255
Indonésia,217,187,30
Irão,338,187,151
Iraque,96,51,45
Irlanda,875,517,358
Islândia,29,18,11
Israel,111,60,51
Itália,5.302,2.849,2.453
Jamaica,3,1,2
Japão,90,41,49
Jordânia,44,25,19
Kosovo,3,2,1
Kuwait,5,2,3
Laos,0,0,0
Lesoto,0,0,0
Letónia,122,57,65
Líbano,111,66,45
Libéria,2,2,0
Líbia,13,9,4
Liechtenstein,3,2,1
Lituânia,168,62,106
Luxemburgo,122,63,59
Macau,1,0,1
Macedónia,10,4,6
Madagáscar,4,1,3
Malásia,16,5,11
Malawi,5,4,1
Maldivas,1,0,1
Mali,6,5,1
Malta,32,16,16
Marrocos,429,277,152
Maurícias (Ilhas),10,5,5
Mauritânia,3,3,0
México,148,69,79
Moçambique,750,360,390
Moldávia,538,296,242
Mongólia,3,0,3
Montenegro,4,3,1
Myanmar (Birmânia),5,1,4
Namíbia,7,3,4
Nepal,2.759,1.820,939
Nicarágua,15,5,10
Níger,7,5,2
Nigéria,186,130,56
Noruega,186,117,69
Nova Zelândia,21,13,8
Oman,0,0,0
Países Baixos,1.850,973,877
Palestina,10,7,3
Panamá,8,4,4
Paquistão,2.006,1.451,555
Paraguai,21,8,13
Peru,113,59,54
Polónia,950,380,570
Qatar,0,0,0
Quénia,21,6,15
Quirguistão,2,2,0
Reino Unido,417,242,175
Reino Unido (British Subject),4,1,3
República Centro-Africana,0,0,0
República Checa,144,68,76
República Dominicana,28,11,17
Roménia,1.039,569,470
Ruanda,3,3,0
Rússia,608,279,329
Santa Lúcia,1,1,0
São Cristóvão e Nevis,11,8,3
São Tomé e Príncipe,1.980,955,1.025
Senegal,300,233,67
Serra Leoa,17,14,3
Sérvia,56,28,28
Seychelles,0,0,0
Singapura,22,9,13
Síria,184,109,75
Somália,7,7,0
Sri Lanka,31,21,10
Suazilândia,5,3,2
Sudão,35,19,16
Sudão do Sul,11,6,5
Suécia,811,463,348
Suíça,576,295,281
Suriname,0,0,0
Tailândia,184,101,83
Taiwan,10,2,8
Tajiquistão,4,2,2
Tanzânia,8,3,5
Timor Leste,53,25,28
Togo,16,11,5
Trindade e Tobago,4,3,1
Tunísia,148,83,65
Turquemenistão,1,0,1
Turquia,215,106,109
Ucrânia,1.158,566,592
Uganda,9,6,3
Uruguai,50,34,16
Uzbequistão,121,90,31
Vanuatu,1,1,0
Venezuela,1.231,573,658
Vietname,98,44,54
Zâmbia,8,6,2
Zimbabwe,10,5,5
