NACIONALIDADES,TOTAL,Homens,Mulheres
Afeganistão,598,315,283
África do Sul,1.748,865,883
Albânia,91,51,40
Alemanha,18.340,9.720,8.620
Andorra,11,6,5
Angola,25.802,11.130,14.672
Antígua e Barbuda,12,7,5
Apátrida,24,13,11
Arábia Saudita,97,58,39
Argélia,750,465,285
Argentina,813,387,426
Arménia,82,30,52
Austrália,548,311,237
Áustria,1.467,768,699
Azerbaijão,52,22,30
Bahamas,4,2,2
Bahrein,12,8,4
Bangladesh,10.936,8.546,2.390
Barbados,4,2,2
Bélgica,5.657,3.147,2.510
Belize,4,1,3
Benin,14,13,1
Bermudas,2,1,1
Bielorrússia,594,201,393
Bolívia,137,45,92
Bósnia e Herzegovina,61,19,42
Botswana,12,4,8
Brasil,204.694,92.708,111.986
Brunei,5,2,3
Bulgária,6.491,3.199,3.292
Burkina Faso,27,20,7
Burundi,10,4,6
Butão,7,3,4
Cabo Verde,34.093,16.455,17.638
Camarões,249,154,95
Cambodja,46,18,28
Canadá,1.271,678,593
Cazaquistão,709,346,363
Chade,3,2,1
Chile,409,195,214
China,22.782,11.495,11.287
Chipre,126,74,52
Colômbia,1.690,743,947
Comores,3,1,2
Congo,83,31,52
Congo (Rep. Democrática),247,130,117
Coreia do Sul,226,90,136
Costa do Marfim,189,118,71
Costa Rica,94,42,52
Croácia,429,209,220
Cuba,1.264,596,668
Desconhecido,22,13,9
Dinamarca,1.528,904,624
Djibuti,3,3,0
Dominica,20,14,6
Egipto,573,337,236
El Salvador,55,31,24
Emiratos Árabes Unidos,20,13,7
Equador,469,230,239
Eritreia,209,159,50
Eslováquia,393,124,269
Eslovénia,251,100,151
Espanha,18.546,9.467,9.079
Estados Unidos da América,6.885,3.351,3.534
Estónia,316,105,211
Etiópia,60,27,33
Fidji (Ilhas),3,2,1
Filipinas,1.107,293,814
Finlândia,1.157,542,615
França,26.719,14.066,12.653
Gabão,27,12,15
Gâmbia,274,228,46
Gana,212,152,60
Geórgia,467,246,221
Granada,2,2,0
Grécia,794,410,384
Guatemala,79,38,41
Guiana,11,6,5
Guiné,1.204,825,379
Guiné Bissau,20.357,10.888,9.469
Guiné Equatorial,44,17,27
Haiti,14,12,2
Honduras,58,25,33
Hong Kong,194,90,104
Hungria,1.059,399,660
Iémen,44,27,17
Índia,30.251,24.177,6.074
Indonésia,717,571,146
Irão,1.431,799,632
Iraque,578,306,272
Irlanda,3.327,1.935,1.392
Islândia,134,76,58
Israel,401,216,185
Itália,30.819,17.642,13.177
Jamaica,17,9,8
Japão,483,194,289
Jordânia,385,199,186
Kosovo,26,13,13
Kuwait,33,20,13
Laos,2,0,2
Lesoto,2,0,2
Letónia,592,190,402
Líbano,567,317,250
Libéria,15,12,3
Líbia,140,73,67
Liechtenstein,8,4,4
Lituânia,896,265,631
Luxemburgo,472,257,215
Macau,3,0,3
Macedónia,57,20,37
Madagáscar,16,4,12
Malásia,105,36,69
Malawi,20,7,13
Maldivas,7,1,6
Mali,65,57,8
Malta,109,59,50
Marrocos,2.136,1.206,930
Maurícias (Ilhas),27,12,15
Mauritânia,23,21,2
México,699,289,410
Moçambique,3.803,1.608,2.195
Moldávia,5.177,2.430,2.747
Mongólia,24,5,19
Montenegro,19,11,8
Myanmar (Birmânia),6,2,4
Namíbia,34,12,22
Nepal,21.545,13.607,7.938
Nicarágua,48,19,29
Níger,8,6,2
Nigéria,866,591,275
Noruega,1.052,623,429
Nova Zelândia,104,52,52
Oman,8,5,3
Países Baixos,11.013,5.875,5.138
Palestina,61,36,25
Panamá,64,18,46
Paquistão,7.499,5.341,2.158
Paraguai,149,40,109
Peru,466,177,289
Polónia,3.651,1.237,2.414
Qatar,1,1,0
Quénia,107,41,66
Quirguistão,33,13,20
Reino Unido,41.932,23.312,18.620
Reino Unido (British Subject),12,5,7
República Centro-Africana,8,4,4
República Checa,620,239,381
República Dominicana,171,57,114
Roménia,28.911,15.423,13.488
Ruanda,27,10,17
Rússia,5.156,1.951,3.205
Santa Lúcia,3,1,2
São Cristóvão e Nevis,46,30,16
São Tomé e Príncipe,11.234,5.104,6.130
Senegal,1.673,1.222,451
Serra Leoa,106,69,37
Sérvia,274,118,156
Seychelles,8,5,3
Singapura,93,32,61
Síria,1.191,665,526
Somália,61,45,16
Sri Lanka,106,64,42
Suazilândia,10,5,5
Sudão,171,98,73
Sudão do Sul,64,31,33
Suécia,5.486,3.018,2.468
Suíça,3.179,1.659,1.520
Suriname,4,3,1
Tailândia,1.795,1.089,706
Taiwan,46,15,31
Tajiquistão,34,13,21
Tanzânia,37,20,17
Timor Leste,234,98,136
Togo,50,35,15
Trindade e Tobago,17,13,4
Tunísia,550,307,243
Turquemenistão,13,6,7
Turquia,1.363,681,682
Ucrânia,27.195,12.407,14.788
Uganda,43,22,21
Uruguai,226,122,104
Uzbequistão,1.201,729,472
Vanuatu,4,4,0
Venezuela,8.296,3.440,4.856
Vietname,640,303,337
Zâmbia,29,12,17
Zimbabwe,72,31,41
