NACIONALIDADE,TOTAL ,Masculino , Feminino
Afeganistão,332,199,133
África do Sul,773,384,389
Albânia,30,13,17
Alemanha,5483,2894,2589
Andorra,3,2,1
Angola,24374,11265,13109
Antígua e Barbuda,3,2,1
Apátrida,0,0,0
Arábia Saudita,7,6,1
Argélia,942,760,182
Argentina,638,337,301
Arménia,56,22,34
Austrália,258,141,117
Áustria,464,214,250
Azerbaijão,19,13,6
Bahamas,0,0,0
Bahrein,2,1,1
Bangladesh,10077,7492,2585
Barbados,1,1,0
Bélgica,1623,956,667
Belize,0,0,0
Benin,10,7,3
Bermudas,3,2,1
Bielorrússia,370,178,192
Bolívia,38,18,20
Bósnia e Herzegovina,7,4,3
Botswana,2,0,2
Brasil,147262,79009,68253
Brunei,1,1,0
Bulgária,260,134,126
Burkina Faso,6,3,3
Burundi,1,1,0
Butão,2,1,1
Cabo Verde,14623,7261,7362
Camarões,58,39,19
Cambodja,17,9,8
Canadá,638,318,320
Cazaquistão,107,52,55
Chade,0,0,0
Chile,381,195,186
China,1415,623,792
Chipre,77,43,34
Colômbia,1091,608,483
Comores,1,0,1
Congo,21,10,11
Congo (Rep. Democrática),41,20,21
Coreia do Sul,100,43,57
Costa do Marfim,62,44,18
Costa Rica,39,21,18
Croácia,145,58,87
Cuba,436,231,205
Desconhecido,2,2,0
Dinamarca,424,275,149
Djibuti,0,0,0
Dominica,5,4,1
Egipto,264,171,93
El Salvador,32,22,10
Emiratos Árabes Unidos,4,1,3
Equador,391,206,185
Eritreia,9,7,2
Eslováquia,181,83,98
Eslovénia,93,42,51
Espanha,4282,2341,1941
Estados Unidos América,4823,2382,2441
Estónia,124,54,70
Etiópia,29,17,12
Fidji (Ilhas),2,2,0
Filipinas,377,115,262
Finlândia,280,109,171
França,5138,2826,2312
Gabão,3,2,1
Gâmbia,277,256,21
Gana,86,66,20
Geórgia,94,54,40
Granada,4,3,1
Grécia,316,213,103
Guatemala,22,13,9
Guiana,1,0,1
Guiné,344,218,126
Guiné-Bissau,10320,6286,4034
Guiné Equatorial,8,4,4
Haiti,3,3,0
Honduras,16,5,11
Hong Kong,38,21,17
Hungria,424,192,232
Iémen,8,6,2
Índia,12185,7928,4257
Indonésia,264,228,36
Irão,486,266,220
Iraque,87,37,50
Irlanda,1875,1127,748
Islândia,74,44,30
Israel,380,195,185
Itália,8804,5000,3804
Jamaica,3,1,2
Japão,134,51,83
Jordânia,53,34,19
Kiribati,0,0,0
Kosovo,8,5,3
Kuwait,8,5,3
Laos,0,0,0
Lesoto,0,0,0
Letónia,256,111,145
Líbano,255,158,97
Libéria,4,2,2
Líbia,11,10,1
Liechtenstein,3,1,2
Lituânia,260,105,155
Luxemburgo,221,120,101
Macau,1,0,1
Macedónia,22,5,17
Madagáscar,13,6,7
Malásia,37,17,20
Malawi,8,2,6
Maldivas,0,0,0
Mali,18,16,2
Malta,61,40,21
Marrocos,1190,908,282
Marshall (Ilhas),0,0,0
Maurícias (Ilhas),10,4,6
Mauritânia,8,7,1
México,225,100,125
Moçambique,3477,1842,1635
Moldávia,509,270,239
Mongólia,4,1,3
Montenegro,4,1,3
Myanmar (Birmânia),5,3,2
Namíbia,10,4,6
Nepal,7837,3868,3969
Nicarágua,16,6,10
Níger,3,2,1
Nigéria,481,332,149
Noruega,268,156,112
Nova Zelândia,70,44,26
Oman,2,1,1
Países Baixos,3177,1726,1451
Palestina,12,6,6
Panamá,17,7,10
Papua-Nova Guiné,0,0,0
Paquistão,6869,5514,1355
Paraguai,54,22,32
Peru,338,222,116
Polónia,1373,551,822
Qatar,2,2,0
Quénia,45,23,22
Quirguistão,10,7,3
Reino Unido,7365,4099,3266
Reino Unido (British Subject),32,14,18
República centro-africana,1,1,0
República Checa,240,114,126
República Dominicana,48,26,22
Roménia,1255,671,584
Ruanda,18,13,5
Rússia,4893,2441,2452
Samoa,0,0,0
Santa Lúcia,1,1,0
São Cristóvão e Nevis,10,6,4
São Tomé e Príncipe,14504,7386,7118
São Vicente e Granadinas,0,0,0
Senegal,713,619,94
Serra Leoa,20,19,1
Sérvia,66,28,38
Seychelles,1,0,1
Singapura,44,17,27
Síria,173,85,88
Somália,22,19,3
Sri Lanka,78,61,17
Suazilândia,6,3,3
Sudão,27,18,9
Sudão do Sul,4,3,1
Suécia,1129,625,504
Suíça,808,438,370
Suriname,3,1,2
Tailândia,364,192,172
Taiwan,17,7,10
Tajiquistão,10,6,4
Tanzânia,8,6,2
Timor-Leste,864,640,224
Togo,7,6,1
Trindade e Tobago,8,5,3
Tunísia,394,269,125
Turquemenistão,0,0,0
Turquia,554,301,253
Ucrânia,1179,597,582
Uganda,11,4,7
Uruguai,43,28,15
Uzbequistão,146,86,60
Vanuatu,4,3,1
Venezuela,1446,662,784
Vietname,159,84,75
Zâmbia,5,2,3
Zimbabwe,28,16,12
