NACIONALIDADES,TOTAL,Masculino, Feminino
Afeganistão,970,557,413
África do Sul,3325,1656,1669
Albânia,120,64,56
Alemanha,22858,11968,10890
Andorra,17,10,7
Angola,55589,25209,30380
Antígua e Barbuda,20,12,8
Apátrida,12,6,6
Arábia Saudita,203,116,87
Argélia,2023,1471,552
Argentina,1633,836,797
Arménia,148,52,96
Austrália,904,505,399
Áustria,1810,910,900
Azerbaijão,107,58,49
Bahamas,3,2,1
Bahrein,23,13,10
Bangladesh,25666,20395,5271
Barbados,4,4,0
Bélgica,6723,3782,2941
Belize,7,4,3
Benin,29,22,7
Bermudas,7,3,4
Bielorrússia,1077,441,636
Bolívia,185,74,111
Bósnia e Herzegovina,66,25,41
Botswana,16,4,12
Brasil,368449,181073,187376
Brunei,4,2,2
Bulgária,4565,2218,2347
Burkina Faso,32,24,8
Burundi,12,6,6
Butão,13,6,7
Cabo Verde,48885,23728,25157
Camarões,356,220,136
Cambodja,98,47,51
Canadá,2200,1148,1052
Cazaquistão,815,406,409
Chade,2,1,1
Chile,895,444,451
China,27873,13865,14008
Chipre,219,129,90
Colômbia,3092,1547,1545
Comores,3,1,2
Congo,101,42,59
Congo (Rep. Democrática),317,160,157
Coreia do Sul,365,151,214
Costa do Marfim,240,157,83
Costa Rica,131,61,70
Croácia,516,211,305
Cuba,1807,915,892
Desconhecido,20,13,7
Dinamarca,1800,1075,725
Djibuti,7,5,2
Dominica,27,24,3
Egipto,1007,617,390
El Salvador,103,59,44
Emiratos Árabes Unidos,31,17,14
Equador,1146,593,553
Eritreia,154,115,39
Eslováquia,579,216,363
Eslovénia,327,140,187
Espanha,20573,10693,9880
Estados Unidos América,14126,7038,7088
Estónia,439,174,265
Etiópia,94,49,45
Fidji (Ilhas),3,2,1
Filipinas,1535,407,1128
Finlândia,1300,609,691
França,27549,14575,12974
Gabão,28,14,14
Gâmbia,716,648,68
Gana,349,259,90
Geórgia,507,278,229
Granada,9,6,3
Grécia,1134,695,439
Guatemala,112,57,55
Guiana,10,5,5
Guiné,1325,899,426
Guiné-Bissau,32535,18671,13864
Guiné Equatorial,55,25,30
Haiti,20,16,4
Honduras,76,31,45
Hong Kong,250,120,130
Hungria,1456,614,842
Iémen,52,36,16
Índia,44051,33813,10238
Indonésia,1031,834,197
Irão,2456,1323,1133
Iraque,717,369,348
Irlanda,5450,3220,2230
Islândia,213,121,92
Israel,922,485,437
Itália,36227,20547,15680
Jamaica,19,8,11
Japão,649,265,384
Jordânia,581,322,259
Kiribati,1,1,0
Kosovo,32,15,17
Kuwait,85,44,41
Laos,3,0,3
Lesoto,1,0,1
Letónia,896,343,553
Líbano,1116,655,461
Libéria,23,16,7
Líbia,160,86,74
Liechtenstein,12,6,6
Lituânia,1134,382,752
Luxemburgo,726,395,331
Macau,4,0,4
Macedónia,85,30,55
Madagáscar,27,9,18
Malásia,170,62,108
Malawi,27,9,18
Maldivas,8,1,7
Mali,88,76,12
Malta,184,104,80
Marrocos,3739,2426,1313
Marshall (Ilhas),1,1,0
Maurícias (Ilhas),55,29,26
Mauritânia,31,27,4
México,995,419,576
Moçambique,8127,3914,4213
Moldávia,5156,2490,2666
Mongólia,29,5,24
Montenegro,23,14,9
Myanmar (Birmânia),17,5,12
Namíbia,48,18,30
Nepal,29972,17936,12036
Nicarágua,66,27,39
Níger,11,8,3
Nigéria,1478,1017,461
Noruega,1196,718,478
Nova Zelândia,207,121,86
Oman,8,4,4
Países Baixos,13592,7283,6309
Palestina,91,53,38
Panamá,99,35,64
Papua-Nova Guiné,2,1,1
Paquistão,17148,13266,3882
Paraguai,206,66,140
Peru,923,488,435
Polónia,4931,1858,3073
Qatar,13,10,3
Quénia,176,73,103
Quirguistão,44,21,23
Reino Unido,47409,26228,21181
Reino Unido (British Subject),76,36,40
República centro-africana,5,3,2
República Checa,838,343,495
República Dominicana,230,88,142
Roménia,20881,10679,10202
Ruanda,42,22,20
Rússia,10901,4950,5951
Samoa,2,1,1
Santa Lúcia,4,2,2
São Cristóvão e Nevis,77,48,29
São Tomé e Príncipe,26488,12928,13560
São Vicente e Granadinas,1,1,0
Senegal,2571,2056,515
Serra Leoa,155,118,37
Sérvia,339,145,194
Seychelles,8,2,6
Singapura,156,61,95
Síria,1434,780,654
Somália,87,67,20
Sri Lanka,203,135,68
Suazilândia,18,9,9
Sudão,203,118,85
Sudão do Sul,74,35,39
Suécia,6070,3351,2719
Suíça,3836,2009,1827
Suriname,8,3,5
Tailândia,2144,1247,897
Taiwan,74,28,46
Tajiquistão,46,22,24
Tanzânia,55,30,25
Timor-Leste,1199,778,421
Togo,68,49,19
Trindade e Tobago,26,17,9
Tunísia,1172,707,465
Turquemenistão,14,6,8
Turquia,2555,1336,1219
Ucrânia,23499,10581,12918
Uganda,60,30,30
Uruguai,267,140,127
Uzbequistão,1333,828,505
Vanuatu,9,8,1
Venezuela,9300,3906,5394
Vietname,1052,537,515
Zâmbia,28,13,15
Zimbabwe,118,54,64
