NACIONALIDADES,TOTAL ,Masculino,Feminino
Afeganistão,219,119,100
África do Sul,752,379,373
Albânia,15,7,8
Alemanha,3691,1846,1845
Andorra,8,4,4
Angola,33826,17106,16720
Anguilla,-,-,-
Antígua e Barbuda,9,6,3
Apátrida,-,-,-
Arábia Saudita,14,9,5
Argélia,2036,1811,225
Argentina,971,518,453
Arménia,102,55,47
Austrália,252,134,118
Áustria,322,148,174
Azerbaijão,26,13,13
Bahamas,1,1,-
Bangladesh,10848,9240,1608
Barbados,3,2,1
Barém,4,2,2
Bélgica,981,550,431
Belize,1,1,-
Benim,16,13,3
Bermudas,1,-,1
Bielorrússia,501,237,264
Bolívia,48,24,24
Bósnia Herzegovina,7,3,4
Botswana,9,5,4
Brasil,38713,19698,19015
Brunei,-,-,-
Bulgária,173,84,89
Burkina Faso,6,6,-
Burundi,-,-,-
Butão,1,-,1
Cabo Verde,15012,7605,7407
Camarões,94,66,28
Camboja,14,6,8
Canadá,632,325,307
Cazaquistão,116,53,63
Chade,5,-,5
Checoslováquia,1,-,1
Chile,411,199,212
China,1991,913,1078
Chipre,45,23,22
Colômbia,1751,1064,687
Costa do Marfim,32,18,14
Costa Rica,47,27,20
Croácia,126,62,64
Cuba,437,228,209
Dinamarca,260,161,99
Dominica,20,13,7
Egipto,537,421,116
El Salvador,32,15,17
Emiratos Árabes Unidos,3,-,3
Equador,374,205,169
Eritreia,7,3,4
Eslovénia,67,30,37
Espanha,3304,1684,1620
Estados Unidos da América,4941,2492,2449
Estónia,83,35,48
Etiópia,17,12,5
Filipinas,362,138,224
Finlândia,198,92,106
França,3650,1903,1747
Gabão,7,5,2
Gâmbia,326,311,15
Gana,80,63,17
Geórgia,89,54,35
Grã-Bretanha (British Subject),10,7,3
Granada,6,3,3
Grécia,201,84,117
Guatemala,27,13,14
Guiana,1,-,1
Guiné Bissau,11639,7348,4291
Guiné Conacri,200,160,40
Guiné Equatorial,3,1,2
Haiti,6,2,4
Honduras,21,9,12
Hong-Kong,71,32,39
Hungria,326,139,187
Iémen,21,12,9
Ilhas Fiji,2,1,1
Ilhas Marshall,-,-,-
Ilhas Maurícias,7,4,3
Ilhas Salomão,-,-,-
Índia,11221,8302,2919
Indonésia,200,160,40
Irão,433,203,230
Iraque,44,32,12
Irlanda,924,527,397
Islândia,46,27,19
Israel,577,318,259
Itália,6421,3584,2837
Jamaica,5,3,2
Japão,113,50,63
Jibuti,-,-,-
Jordânia,91,60,31
Jugoslávia,-,-,-
Kosovo,9,1,8
Kuwait,5,5,-
Laos,4,1,3
Lesoto,-,-,-
Letónia,186,93,93
Líbano,329,176,153
Libéria,8,6,2
Líbia,25,16,9
Liechtenstein,-,-,-
Lituânia,214,98,116
Luxemburgo,154,95,59
Macau,3,1,2
Macedónia,16,1,15
Madagáscar,7,1,6
Malásia,38,13,25
Malawi,2,1,1
Maldivas,1,1,-
Mali,23,18,5
Malta,32,16,16
Marrocos,2347,1927,420
Mauritânia,10,10,-
México,239,113,126
Moçambique,4673,2466,2207
Moldávia,288,171,117
Mongólia,11,4,7
Montenegro,6,4,2
Myanmar,8,2,6
Namíbia,11,7,4
Nauru,-,-,-
Nepal,6091,3563,2528
Nicarágua,22,6,16
Níger,8,6,2
Nigéria,768,545,223
Noruega,243,139,104
Nova Zelândia,67,32,35
Oman,8,3,5
Países Baixos,2352,1262,1090
Palau,-,-,-
Palestina,24,13,11
Panamá,29,15,14
Papuásia Nova Guiné,-,-,-
Paquistão,7183,5949,1234
Paraguai,57,37,20
Peru,517,410,107
Polónia,1000,400,600
Quatar,-,-,-
Quénia,53,26,27
Quirguistão,24,14,10
Reino Unido,2894,1640,1254
Rep. Dem. Congo,42,27,15
República Centro Africana,-,-,-
República Checa,232,94,138
República da Coreia,125,54,71
República do Congo,23,17,6
República do Sudão,26,15,11
República Dominicana,51,28,23
República Eslovaca,142,69,73
Roménia,1005,544,461
Ruanda,10,6,4
Rússia,5579,2600,2979
Samoa,-,-,-
Santa Lúcia,1,1,-
São Cristóvão e Nevis,14,10,4
São Tomé Príncipe,11858,5747,6111
São Vicente e Grenadinas,1,1,-
Senegal,721,668,53
Serra Leoa,38,30,8
Sérvia,65,35,30
Seychelles,2,1,1
Singapura,38,23,15
Síria,71,42,29
Somália,8,5,3
Sri Lanka,192,131,61
Suazilândia,3,-,3
Sudão do Sul,5,2,3
Suécia,623,314,309
Suíça,441,221,220
Suriname,2,2,-
Tailândia,250,100,150
Taiwan,51,22,29
Tajiquistão,6,4,2
Tanzânia,7,4,3
Timor-Leste,189,88,101
Togo,12,8,4
Trindade e Tobago,7,2,5
Tunísia,760,540,220
Turquemenistão,6,5,1
Turquia,799,420,379
Ucrânia,1715,882,833
Uganda,9,4,5
União das Comores,3,2,1
Urss,-,-,-
Uruguai,64,32,32
Usbequistão,90,53,37
Vanuatu,6,4,2
Venezuela,1603,791,812
Vietname,172,86,86
Zâmbia,2,1,1
Zimbabwe,31,19,12
