NACIONALIDADES,TOTAL,Masculino ,Feminino
Afeganistão,1231,728,503
África do Sul,4092,2076,2016
Albânia,147,85,62
Alemanha,24868,12896,11972
Andorra,24,14,10
Angola,92348,43853,48495
Anguilla,1,-,1
Antígua e Barbuda,28,17,11
Apátrida,12,7,5
Arábia Saudita,211,122,89
Argélia,13829,12477,1352
Argentina,7768,4255,3513
Arménia,287,131,156
Austrália,1161,646,515
Áustria,1979,964,1015
Azerbaijão,157,93,64
Bahamas,5,4,1
Bangladesh,55199,48128,7071
Barbados,6,5,1
Barém,30,20,10
Bélgica,7286,4089,3197
Belize,8,4,4
Benim,64,52,12
Bermudas,8,3,5
Bielorrússia,2149,972,1177
Bolívia,238,98,140
Bósnia Herzegovina,72,29,43
Botswana,25,10,15
Brasil,484596,237583,247013
Brunei,7,3,4
Bulgária,3950,1880,2070
Burkina Faso,51,40,11
Burundi,13,7,6
Butão,22,7,15
Cabo Verde,65507,32204,33303
Camarões,719,503,216
Camboja,101,47,54
Canadá,2876,1508,1368
Cazaquistão,979,483,496
Chade,8,2,6
Checoslováquia,1,-,1
Chile,1708,846,862
China,30734,15275,15459
Chipre,245,136,109
Colômbia,11979,7209,4770
Costa do Marfim,357,254,103
Costa Rica,221,124,97
Croácia,598,254,344
Cuba,2638,1373,1265
Dinamarca,1946,1171,775
Dominica,57,44,13
Egipto,2738,2218,520
El Salvador,272,152,120
Emiratos Árabes Unidos,41,22,19
Equador,1584,832,752
Eritreia,126,96,30
Eslovénia,365,157,208
Espanha,22130,11457,10673
Estados Unidos da América,19258,9647,9611
Estónia,507,201,306
Etiópia,111,59,52
Filipinas,2193,592,1601
Finlândia,1424,667,757
França,29009,15350,13659
Gabão,41,22,19
Gâmbia,1799,1684,115
Gana,974,704,270
Geórgia,729,436,293
Grã-Bretanha (British Subject),80,39,41
Granada,15,9,6
Grécia,1240,727,513
Guatemala,216,115,101
Guiana,15,8,7
Guiné Bissau,47252,28432,18820
Guiné Conacri,1764,1337,427
Guiné Equatorial,58,24,34
Haiti,34,24,10
Honduras,140,67,73
Hong-Kong,316,146,170
Hungria,1692,715,977
Iémen,78,53,25
Ilhas Fiji,5,3,2
Ilhas Marshall,1,1,-
Ilhas Maurícias,74,39,35
Ilhas Salomão,1,1,-
Índia,98616,82907,15709
Indonésia,1238,997,241
Irão,2934,1578,1356
Iraque,786,445,341
Irlanda,6081,3562,2519
Islândia,241,137,104
Israel,1628,888,740
Itália,40021,22592,17429
Jamaica,33,14,19
Japão,760,309,451
Jibuti,8,6,2
Jordânia,701,420,281
Jugoslávia,1,-,1
Kosovo,45,20,25
Kuwait,89,50,39
Laos,8,1,7
Lesoto,4,1,3
Letónia,1031,422,609
Líbano,1449,852,597
Libéria,56,38,18
Líbia,194,125,69
Liechtenstein,11,5,6
Lituânia,1274,457,817
Luxemburgo,830,460,370
Macau,11,3,8
Macedónia,99,29,70
Madagáscar,41,16,25
Malásia,203,74,129
Malawi,37,14,23
Maldivas,9,1,8
Mali,140,125,15
Malta,208,115,93
Marrocos,12460,10087,2373
Mauritânia,62,58,4
México,1492,680,812
Moçambique,13704,6844,6860
Moldávia,5955,3137,2818
Mongólia,53,13,40
Montenegro,33,18,15
Myanmar,30,10,20
Namíbia,80,32,48
Nauru,1,1,-
Nepal,58086,37704,20382
Nicarágua,158,77,81
Níger,26,22,4
Nigéria,5269,3766,1503
Noruega,1356,800,556
Nova Zelândia,270,148,122
Oman,15,6,9
Países Baixos,15039,8055,6984
Palau,1,1,0
Palestina,123,78,45
Panamá,160,73,87
Papuásia Nova Guiné,2,1,1
Paquistão,41508,35943,5565
Paraguai,495,237,258
Peru,3336,2418,918
Polónia,5679,2190,3489
Quatar,13,9,4
Quénia,259,114,145
Quirguistão,76,39,37
Reino Unido,48238,26734,21504
Rep. Dem. Congo,449,254,195
República Centro Africana,3,1,2
República Checa,1014,418,596
República da Coreia,493,213,280
República do Congo,175,95,80
República do Sudão,231,132,99
República Dominicana,280,125,155
República Eslovaca,701,282,419
Roménia,18595,9460,9135
Ruanda,62,29,33
Rússia,18509,8653,9856
Samoa,2,1,1
Santa Lúcia,6,4,2
São Cristóvão e Nevis,85,54,31
São Tomé Príncipe,40112,19785,20327
São Vicente e Grenadinas,2,2,-
Senegal,5256,4605,651
Serra Leoa,237,189,48
Sérvia,425,196,229
Seychelles,10,3,7
Singapura,197,86,111
Síria,1362,741,621
Somália,94,71,23
Sri Lanka,737,551,186
Suazilândia,42,11,31
Sudão do Sul,71,35,36
Suécia,6382,3477,2905
Suíça,4058,2128,1930
Suriname,25,14,11
Tailândia,3478,1801,1677
Taiwan,128,51,77
Tajiquistão,65,35,30
Tanzânia,72,35,37
Timor-Leste,1845,1225,620
Togo,105,84,21
Trindade e Tobago,36,20,16
Tunísia,4056,3267,789
Turquemenistão,33,20,13
Turquia,3489,1872,1617
Ucrânia,79232,31271,47961
Uganda,86,41,45
União das Comores,6,2,4
Urss,5,1,4
Uruguai,454,238,216
Usbequistão,1689,1146,543
Vanuatu,18,14,4
Venezuela,16167,7661,8506
Vietname,1266,644,622
Zâmbia,54,19,35
Zimbabwe,204,94,110
