Índice;;;Figura 5 e 6;Figura 7 e 8
Nível territorial;Código territorial;Designação;Densidade populacional (N.º/ km²) ;Taxa de variação da população residente (%)
;;;2021;2011-2021
PT;PT;Portugal;112,15;-2,07
NUTS 1;1;Continente;110,61;-1,91
NUTS 2;11;Norte;168,50;-2,79
NUTS 3;111;Alto Minho;104,23;-5,54
Município;1601;Arcos de Valdevez;46,29;-9,32
Freguesia;160101;Aboim das Choças;161,20;-11,41
Freguesia;160102;Aguiã;185,56;0,28
Freguesia;160104;Ázere;65,09;-16,19
Freguesia;160105;Cabana Maior;13,21;-25,94
Freguesia;160106;Cabreiro;7,77;-24,30
Freguesia;160108;Cendufe;97,47;-14,44
Freguesia;160109;Couto;111,57;5,04
Freguesia;160113;Gavieira;4,47;-13,42
Freguesia;160115;Gondoriz;25,35;-10,13
Freguesia;160142;Jolda (São Paio);185,88;-12,22
Freguesia;160121;Miranda;24,45;-24,62
Freguesia;160122;Monte Redondo;82,35;-13,66
Freguesia;160123;Oliveira;101,87;-0,91
Freguesia;160124;Paçô;210,87;3,97
Freguesia;160125;Padroso;24,84;-15,81
Freguesia;160128;Prozelo;205,81;-13,57
Freguesia;160131;Rio de Moinhos;120,61;-1,14
Freguesia;160130;Rio Frio;27,80;-21,64
Freguesia;160133;Sabadim;49,22;-12,39
Freguesia;160144;Senharei;21,78;-36,68
Freguesia;160145;Sistelo;7,59;-27,11
Freguesia;160146;Soajo;11,34;-32,05
Freguesia;160152;União das freguesias de Alvora e Loureda;36,91;-17,11
Freguesia;160154;União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;522,58;6,74
Freguesia;160153;União das freguesias de Arcos de Valdevez (São Paio) e Giela;303,62;0,90
Freguesia;160155;União das freguesias de Eiras e Mei;53,67;-16,80
Freguesia;160156;União das freguesias de Grade e Carralcova;32,26;-12,96
Freguesia;160157;União das freguesias de Guilhadeses e Santar;299,74;-8,65
Freguesia;160158;União das freguesias de Jolda (Madalena) e Rio Cabrão;99,53;-13,20
Freguesia;160159;União das freguesias de Padreiro (Salvador e Santa Cristina);78,78;-7,43
Freguesia;160160;União das freguesias de Portela e Extremo;27,82;-23,10
Freguesia;160161;União das freguesias de São Jorge e Ermelo;29,49;-11,54
Freguesia;160162;União das freguesias de Souto e Tabaçô;182,24;-6,55
Freguesia;160163;União das freguesias de Távora (Santa Maria e São Vicente);125,82;-11,20
Freguesia;160164;União das freguesias de Vilela, São Cosme e São Damião e Sá;53,18;-9,16
Freguesia;160149;Vale;43,78;-14,69
Município;1602;Caminha;115,70;-5,32
Freguesia;160201;Âncora;218,82;0,34
Freguesia;160205;Argela;34,72;-4,58
Freguesia;160209;Dem;48,06;-14,88
Freguesia;160211;Lanhelas;177,98;-9,49
Freguesia;160214;Riba de Âncora;79,63;-5,95
Freguesia;160215;Seixas;169,63;-5,93
Freguesia;160221;União das freguesias de Arga (Baixo, Cima e São João);5,15;-23,56
Freguesia;160222;União das freguesias de Caminha (Matriz) e Vilarelho;352,08;-3,97
Freguesia;160223;União das freguesias de Gondar e Orbacém;35,99;-8,51
Freguesia;160224;União das freguesias de Moledo e Cristelo;143,82;-4,85
Freguesia;160225;União das freguesias de Venade e Azevedo;77,42;-9,64
Freguesia;160217;Vila Praia de Âncora;552,33;-4,09
Freguesia;160218;Vilar de Mouros;69,85;-3,72
Freguesia;160220;Vile;102,86;-4,64
Município;1603;Melgaço;32,63;-15,63
Freguesia;160301;Alvaredo;112,84;-6,82
Freguesia;160304;Cousso;33,06;-18,71
Freguesia;160305;Cristoval;75,90;-20,08
Freguesia;160307;Fiães;13,02;-38,91
Freguesia;160308;Gave;9,66;-24,05
Freguesia;160311;Paderne;80,16;-11,21
Freguesia;160313;Penso;50,28;-14,91
Freguesia;160317;São Paio;53,77;-11,13
Freguesia;160319;União das freguesias de Castro Laboreiro e Lamas de Mouro;4,74;-23,44
Freguesia;160320;União das freguesias de Chaviães e Paços;65,92;-20,37
Freguesia;160321;União das freguesias de Parada do Monte e Cubalhão;15,99;-9,32
Freguesia;160322;União das freguesias de Prado e Remoães;121,25;-19,09
Freguesia;160323;União das freguesias de Vila e Roussas;199,83;-13,76
Município;1604;Monção;84,31;-7,35
Freguesia;160401;Abedim;24,74;-6,83
Freguesia;160404;Barbeita;134,16;-9,15
Freguesia;160405;Barroças e Taias;102,57;-12,54
Freguesia;160406;Bela;157,26;-14,61
Freguesia;160407;Cambeses;123,38;0,00
Freguesia;160410;Lara;51,72;-4,14
Freguesia;160411;Longos Vales;61,64;-12,74
Freguesia;160415;Merufe;30,31;-21,24
Freguesia;160418;Moreira;153,35;-6,99
Freguesia;160420;Pias;68,62;-10,66
Freguesia;160421;Pinheiros;149,77;-7,54
Freguesia;160422;Podame;72,60;-4,68
