Índice;;;Figura 11, 12, 13 e 14;Figura 17;Figura 18 ;Figura 20;Figura 28;Figura 29;Figura 30;Figura 31
Nível territorial;Código territorial;Designação;Habitantes por alojamento familiar clássico (N.º);Taxa de atração de população residente proveniente do estrangeiro (%);Taxa de atração de população residente proveniente de outro município (%);Taxa migratória interna (%);Proporção de população residente empregada que utiliza automóvel nos movimentos casa-trabalho (%);Duração média dos movimentos casa-trabalho da população empregada (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte automóvel (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte coletivo (min)
;;;2021;2021;2021;2021;2021;2021;2021;2021
PT;PT;Portugal;1,73;1,4;7,0;0,0;72,6;20,7;18,8;43,5
NUTS 1;1;Continente;1,72;1,4;7,1;0,0;72,5;19,6;9,9;44,1
NUTS 2;11;Norte;1,89;1,2;6,4;0,1;75,9;17,5;8,3;38,9
NUTS 3;111;Alto Minho;1,49;1,7;6,0;0,4;81,3;16,0;6,9;36,5
Município;1601;Arcos de Valdevez;1,16;1,9;7,2;0,5;81,0;14,7;6,7;33,8
Município;1602;Caminha;1,10;1,8;7,0;0,7;80,8;17,8;6,9;37,8
Município;1603;Melgaço;0,99;2,2;7,4;-0,7;77,0;13,6;7,8;36,0
Município;1604;Monção;1,29;2,7;6,7;0,7;80,9;15,0;7,1;47,6
Município;1605;Paredes de Coura;1,36;1,9;7,1;0,5;83,6;17,0;6,6;46,1
Município;1606;Ponte da Barca;1,32;1,9;6,6;0,0;79,6;14,9;7,0;32,6
Município;1607;Ponte de Lima;1,80;1,2;6,0;0,3;82,2;17,4;7,0;37,7
Município;1608;Valença;1,60;2,3;7,9;0,9;83,5;14,1;6,9;41,8
Município;1609;Viana do Castelo;1,74;1,6;4,6;0,3;80,9;16,1;6,9;33,8
Município;1610;Vila Nova de Cerveira;1,44;1,8;8,3;0,3;82,7;14,5;6,5;40,3
NUTS 3;112;Cávado;2,08;1,6;5,3;0,1;78,7;16,4;7,1;33,7
Município;0301;Amares;1,84;1,4;7,3;0,7;80,6;18,3;6,8;37,2
Município;0302;Barcelos;2,34;1,1;5,2;0,1;79,6;14,9;6,5;32,9
Município;0303;Braga;2,18;1,9;4,3;-0,3;76,9;16,7;7,7;33,3
Município;0306;Esposende;1,59;1,6;7,0;0,9;81,4;16,3;6,4;33,4
Município;0310;Terras de Bouro;1,31;1,2;5,2;0,2;73,5;19,6;8,2;38,6
Município;0313;Vila Verde;1,90;1,5;7,8;1,1;82,3;18,3;6,4;36,6
NUTS 3;119;Ave;2,11;1,1;5,2;0,3;79,2;15,1;6,8;31,6
Município;0304;Cabeceiras de Basto;1,59;1,8;6,5;0,0;77,5;16,9;9,2;48,2
Município;0307;Fafe;1,84;1,2;6,2;0,4;77,8;14,8;7,6;31,4
Município;0308;Guimarães;2,25;1,0;4,2;0,0;78,2;14,6;6,9;29,5
Município;1705;Mondim de Basto;1,40;1,6;7,7;0,4;70,6;15,8;8,2;33,9
Município;0309;Póvoa de Lanhoso;1,75;2,3;7,1;1,5;78,8;16,1;6,9;28,9
Município;0311;Vieira do Minho;1,49;1,9;7,0;0,0;76,9;18,7;8,5;39,5
Município;0312;Vila Nova de Famalicão;2,32;1,0;5,0;0,5;82,5;15,5;6,2;34,8
Município;0314;Vizela;2,43;0,7;6,5;0,8;74,0;13,8;6,8;24,5
NUTS 3;11A;Área Metropolitana do Porto;2,08;1,1;7,2;-0,1;74,0;19,2;9,2;39,8
Município;0104;Arouca;1,90;0,9;6,8;-0,1;82,0;17,6;6,9;42,2
Município;0107;Espinho;1,94;1,1;9,7;0,1;68,1;17,9;8,7;41,8
Município;1304;Gondomar;2,20;0,7;6,1;0,3;70,9;23,8;11,8;43,1
Município;1306;Maia;2,26;0,9;7,9;0,0;78,8;20,1;8,3;40,7
Município;1308;Matosinhos;2,10;1,0;6,3;-0,5;71,2;19,0;10,4;36,2
Município;0113;Oliveira de Azeméis;2,16;1,0;8,6;0,6;83,1;13,2;6,4;34,7
Município;1310;Paredes;2,34;0,7;8,2;0,4;77,0;17,9;8,5;47,3
Município;1312;Porto;1,74;1,9;6,8;-1,9;58,6;19,6;13,9;34,8
Município;1313;Póvoa de Varzim;1,78;1,5;6,9;0,2;72,3;16,7;7,6;45,1
Município;0109;Santa Maria da Feira;2,19;1,1;8,2;0,3;85,3;15,9;6,2;40,8
Município;1314;Santo Tirso;2,19;0,8;8,2;0,3;80,5;16,1;6,1;34,6
Município;0116;São João da Madeira;2,09;1,6;8,5;-0,3;77,4;13,7;6,9;41,3
Município;1318;Trofa;2,41;0,9;8,1;0,2;81,2;17,1;6,7;39,8
Município;0119;Vale de Cambra;1,78;1,2;9,9;0,2;85,3;14,7;6,5;35,0
Município;1315;Valongo;2,27;0,7;8,0;0,7;73,6;22,1;9,8;42,2
Município;1316;Vila do Conde;2,09;1,0;7,3;0,5;76,5;17,8;7,4;42,6
Município;1317;Vila Nova de Gaia;2,11;1,1;6,1;0,0;73,6;21,3;10,1;41,0
NUTS 3;11B;Alto Tâmega;1,15;1,6;5,6;0,3;75,0;13,9;7,5;31,4
Município;1702;Boticas;1,05;1,6;7,3;-0,3;75,5;13,6;7,0;31,0
Município;1703;Chaves;1,31;1,4;4,4;0,3;78,9;13,9;7,2;37,0
Município;1706;Montalegre;0,85;2,1;6,9;0,3;70,9;14,5;8,6;37,1
Município;1709;Ribeira de Pena;1,17;1,4;5,5;-0,5;69,8;14,6;8,4;30,7
Município;1712;Valpaços;1,08;1,8;6,4;0,5;70,3;12,8;7,6;30,7
Município;1713;Vila Pouca de Aguiar;1,15;1,9;6,7;0,5;71,3;14,5;7,5;23,0
NUTS 3;11C;Tâmega e Sousa;2,00;0,9;6,0;0,2;75,3;17,6;9,0;45,0
Município;1301;Amarante;1,77;1,3;5,9;0,2;78,3;18,9;8,9;48,0
Município;1302;Baião;1,48;0,8;6,5;-0,2;69,6;24,2;13,7;67,8
Município;0106;Castelo de Paiva;2,04;0,9;5,7;-0,1;78,4;21,8;10,3;51,5
Município;0305;Celorico de Basto;1,62;1,8;7,7;0,5;77,1;18,3;9,5;46,8
Município;1804;Cinfães;1,46;1,0;7,6;-0,2;68,3;23,9;14,7;67,8
Município;1303;Felgueiras;2,21;0,8;5,4;-0,2;72,8;13,2;7,6;24,6
Município;1305;Lousada;2,36;0,8;6,1;0,7;76,8;15,9;7,8;36,9
Município;1307;Marco de Canaveses;1,98;1,1;5,6;0,3;73,7;19,9;10,3;54,8
Município;1309;Paços de Ferreira;2,49;0,6;5,4;0,3;78,1;13,3;7,1;31,0
Município;1311;Penafiel;2,19;0,9;6,0;0,3;74,1;21,0;9,7;48,1
