Índice;;;Figura 10;Figura 10;Figura 12;Figura 13;Figura 14;Figura 19;Figura 19;Figura 23;Figura 24;Figura 25;Figura 26
Nível territorial;Código territorial;Designação;Repartição da população residente (%);Repartição dos alojamentos familiares clássicos (%);Proporção de alojamentos familiares clássicos vagos (%);Proporção de alojamentos familiares clássicos de residência habitual sobrelotados (%);Proporção de alojamentos familiares clássicos em edifícios clássicos com necessidades de reparação profundas (%);Taxa de atração de população residente proveniente de outro município (%);Taxa de repulsão de população residente proveniente de outro município (%);Índice de polarização do emprego (N.º);Diferença do índice de polarização do emprego (N.º);Taxa de atração de empregados (%);Taxa de repulsão de empregados (%)
;;;2021;2021;2021;2021;2021;2021;2021;2021;2021-2011;2021;2021
PT;PT;Portugal;100,0;100,0;12,1;12,7;1,4;7,0;7,0;0,9;-0,19;34,1;34,1
Município;0101;Águeda;0,5;0,4;12,6;9,0;3,1;6,6;6,5;1,0;-0,04;30,0;22,0
Município;0102;Albergaria-a-Velha;0,2;0,2;11,4;10,7;1,7;8,0;7,5;0,9;0,03;38,9;37,0
Município;0103;Anadia;0,3;0,3;15,5;6,9;1,9;8,4;7,4;0,8;-0,06;33,5;36,6
Município;0104;Arouca;0,2;0,2;10,1;12,0;2,7;6,8;7,0;0,8;-0,08;25,0;33,8
Município;0105;Aveiro;0,8;0,7;10,9;11,3;0,8;6,3;7,0;1,2;-0,07;42,5;23,0
Município;0106;Castelo de Paiva;0,2;0,1;12,9;11,9;1,3;5,7;5,8;0,7;-0,03;24,5;31,3
Município;0107;Espinho;0,3;0,3;10,1;13,4;4,6;9,7;9,7;0,8;-0,08;48,8;52,3
Município;0108;Estarreja;0,3;0,2;14,4;10,6;3,0;7,6;7,1;0,9;0,02;41,3;41,4
Município;0109;Santa Maria da Feira;1,3;1,1;9,3;12,5;2,1;8,2;8,0;0,8;-0,07;28,8;36,6
Município;0110;Ílhavo;0,4;0,4;9,8;10,4;2,1;7,6;6,6;0,7;-0,07;30,1;44,3
Município;0111;Mealhada;0,2;0,2;15,1;6,2;1,2;8,0;7,4;0,8;-0,02;42,0;47,4
Município;0112;Murtosa;0,1;0,1;6,9;10,6;0,7;10,0;9,4;0,6;-0,12;34,3;45,9
Município;0113;Oliveira de Azeméis;0,6;0,5;11,5;10,2;2,2;8,6;8,0;1,0;0,00;35,0;32,4
Município;0114;Oliveira do Bairro;0,2;0,2;12,5;9,2;2,4;8,1;7,6;0,9;-0,06;42,4;42,7
Município;0115;Ovar;0,5;0,5;8,0;11,9;1,5;6,1;5,6;0,9;-0,03;36,5;36,2
Município;0116;São João da Madeira;0,2;0,2;9,2;10,8;0,9;8,5;8,7;1,4;-0,19;65,1;45,9
Município;0117;Sever do Vouga;0,1;0,1;16,6;7,7;0,4;7,5;7,4;0,8;-0,07;23,7;30,2
Município;0118;Vagos;0,2;0,2;10,0;8,9;2,1;9,6;8,9;0,8;0,05;36,9;42,2
Município;0119;Vale de Cambra;0,2;0,2;12,1;8,4;1,1;9,9;9,7;1,0;0,02;37,5;31,1
Município;0201;Aljustrel;0,1;0,1;17,0;9,8;1,5;6,4;5,7;1,0;0,09;28,3;26,9
Município;0202;Almodôvar;0,1;0,1;15,3;10,1;0,3;7,2;6,2;0,8;-0,04;23,5;31,3
Município;0203;Alvito;0,0;0,0;25,4;7,9;1,3;10,3;7,6;0,9;0,02;34,3;37,2
Município;0204;Barrancos;0,0;0,0;11,3;7,3;0,3;6,3;6,3;1,0;-0,03;16,3;15,6
Município;0205;Beja;0,3;0,3;14,9;10,4;1,3;5,3;5,9;1,0;-0,07;22,9;14,7
Município;0206;Castro Verde;0,1;0,1;17,6;8,1;0,4;5,4;5,6;1,3;0,02;42,4;19,6
Município;0207;Cuba;0,0;0,1;19,3;8,3;0,6;8,8;7,2;0,7;-0,02;24,3;39,7
Município;0208;Ferreira do Alentejo;0,1;0,1;21,2;10,2;0,2;6,5;6,0;0,9;-0,04;25,8;23,4
Município;0209;Mértola;0,1;0,2;21,6;11,5;0,4;9,2;8,0;0,9;-0,11;17,9;22,6
Município;0210;Moura;0,1;0,2;14,4;12,2;1,3;5,9;5,5;0,9;-0,09;14,5;17,3
Município;0211;Odemira;0,3;0,4;17,9;20,5;1,1;5,3;5,4;0,9;0,01;9,0;10,4
Município;0212;Ourique;0,1;0,1;9,6;9,5;0,3;9,2;8,3;0,9;-0,08;24,9;25,1
Município;0213;Serpa;0,1;0,2;13,1;10,4;0,7;5,8;5,3;0,9;-0,02;13,2;19,0
Município;0214;Vidigueira;0,1;0,1;19,1;7,8;1,6;9,0;8,7;0,8;-0,02;25,3;32,5
Município;0301;Amares;0,2;0,2;8,9;10,0;1,1;7,3;6,6;0,6;-0,09;28,8;46,1
Município;0302;Barcelos;1,1;0,8;8,5;12,3;1,3;5,2;5,1;0,9;-0,04;21,9;21,5
Município;0303;Braga;1,9;1,5;8,8;11,4;1,2;4,3;4,6;1,0;-0,04;26,1;19,6
Município;0304;Cabeceiras de Basto;0,2;0,2;9,2;11,7;2,3;6,5;6,5;0,8;-0,08;15,6;23,0
Município;0305;Celorico de Basto;0,2;0,2;13,1;9,1;2,8;7,7;7,2;0,6;-0,05;22,0;33,0
Município;0306;Esposende;0,3;0,4;6,7;10,1;0,9;7,0;6,0;0,7;-0,10;25,2;36,9
Município;0307;Fafe;0,5;0,4;10,3;9,9;1,2;6,2;5,8;0,8;-0,07;18,3;27,0
Município;0308;Guimarães;1,5;1,2;7,8;12,7;1,5;4,2;4,2;1,0;-0,04;24,6;21,1
Município;0309;Póvoa de Lanhoso;0,2;0,2;8,9;9,2;2,7;7,1;5,6;0,8;-0,10;27,2;32,7
Município;0310;Terras de Bouro;0,1;0,1;11,8;9,8;3,7;5,2;4,9;0,8;-0,09;23,0;30,9
Município;0311;Vieira do Minho;0,1;0,1;10,1;9,6;2,1;7,0;7,0;0,7;-0,12;21,1;29,7
Município;0312;Vila Nova de Famalicão;1,3;1,0;9,1;11,7;1,4;5,0;4,5;0,9;-0,02;29,0;28,3
Município;0313;Vila Verde;0,5;0,4;9,2;10,7;1,2;7,8;6,7;0,7;-0,09;27,5;39,0
Município;0314;Vizela;0,2;0,2;7,8;14,7;0,9;6,5;5,7;0,8;-0,08;37,3;44,9
Município;0401;Alfândega da Fé;0,0;0,1;16,0;5,4;1,5;5,7;6,2;0,9;-0,11;14,3;17,2
Município;0402;Bragança;0,3;0,4;9,3;8,1;1,0;4,9;5,1;1,0;-0,04;12,7;10,0
Município;0403;Carrazeda de Ansiães;0,1;0,1;7,8;8,3;3,0;6,8;7,2;0,9;-0,07;19,9;18,4
Município;0404;Freixo de Espada à Cinta;0,0;0,1;7,9;5,9;0,9;7,9;7,6;1,0;-0,02;17,0;11,6
Município;0405;Macedo de Cavaleiros;0,1;0,2;12,8;7,3;1,9;6,0;5,8;0,9;-0,07;15,2;17,6
