1.01 - Agregados domésticos privados e taxa de variação 2011-2021, NUTS III;;;;;
;;;;;
;Agregados domésticos privados;;Taxa de variação 2011-2021;;
;;;;;
;;;;;
;2011;2021;%;;
;N.º;;;;
;;;;;
Portugal;4 043 726;4 149 096;2,6;;
;;;;;
Norte;1 330 892;1 380 696;3,7;;
Alto Minho;89 590;90 845;1,4;;
Cávado;137 346;149 861;9,1;;
Ave;144 664;153 479;6,1;;
Área Metropolitana do Porto;653 058;681 973;4,4;;
Alto Tâmega;37 248;35 779;-3,9;;
Tâmega e Sousa;143 935;148 154;2,9;;
Douro;78 173;75 119;-3,9;;
Terras de Trás-os-Montes;46 878;45 486;-3,0;;
;;;;;
Centro;904 770;909 312;0,5;;
Oeste;140 694;146 538;4,2;;
Região de Aveiro;137 516;143 651;4,5;;
Região de Coimbra;180 474;180 461;0,0;;
Região de Leiria;114 328;116 456;1,9;;
Viseu Dão Lafões;100 952;100 998;0,1;;
Beira Baixa;37 703;35 668;-5,4;;
Médio Tejo;97 957;95 222;-2,8;;
Beiras e Serra da Estrela;95 146;90 318;-5,1;;
;;;;;
A.M. Lisboa;1 147 775;1 192 984;3,9;;
A.M. Lisboa;1 147 775;1 192 984;3,9;;
;;;;;
Alentejo;302 975;291 767;-3,7;;
Alentejo Litoral;40 533;39 876;-1,6;;
Baixo Alentejo;50 566;47 710;-5,7;;
Lezíria do Tejo;97 405;96 256;-1,2;;
Alto Alentejo;47 524;44 077;-7,3;;
Alentejo Central;66 947;63 848;-4,6;;
;;;;;
Algarve;182 776;194 192;6,3;;
Algarve;182 776;194 192;6,3;;
;;;;;
R.A. Açores;81 715;85 301;4,4;;
;;;;;
R.A. Madeira;92 823;94 844;2,2;;
;;;;;
;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;
