1.02 - Agregados domésticos privados, segundo a dimensão, NUTS III, 2011 e 2021;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Dimensão do agregado doméstico privado;;;;;;;;;;;;Dimensão média;
;;;;;;;;;;;;;;
;Total;;Com 1 pessoa;;Com 2 pessoas;;Com 3 pessoas;;Com 4 pessoas;;Com 5 ou mais pessoas;;;
;2011;2021;2011;2021;2011;2021;2011;2021;2011;2021;2011;2021;2011;2021
;N.º;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Portugal;4 043 726;4 149 096;866 827;1 027 871;1 277 558;1 382 996;965 781;894 451;671 066;611 861;262 494;231 917;2,6;2,5
;;;;;;;;;;;;;;
Norte;1 330 892;1 380 696;228 923;290 181;390 608;450 114;349 821;328 279;256 375;226 902;105 165;85 220;2,8;2,6
Alto Minho;89 590;90 845;17 241;21 050;27 742;30 514;20 782;19 517;15 694;13 857;8 131;5 907;2,7;2,5
Cávado;137 346;149 861;19 797;26 778;35 151;44 286;35 276;36 316;32 449;30 438;14 673;12 043;3,0;2,8
Ave;144 664;153 479;18 769;26 498;38 919;47 882;40 567;39 683;33 300;28 857;13 109;10 559;2,9;2,7
Área Metropolitana do Porto;653 058;681 973;119 820;150 207;196 908;225 025;176 767;162 935;114 516;104 555;45 047;39 251;2,7;2,5
Alto Tâmega;37 248;35 779;8 425;9 813;13 062;13 519;8 045;6 742;5 490;4 120;2 226;1 585;2,5;2,3
Tâmega e Sousa;143 935;148 154;17 506;24 756;36 731;44 811;40 367;38 513;34 811;29 343;14 520;10 731;3,0;2,7
Douro;78 173;75 119;16 563;18 724;25 222;26 715;17 798;15 756;13 419;10 474;5 171;3 450;2,6;2,4
Terras de Trás-os-Montes;46 878;45 486;10 802;12 355;16 873;17 362;10 219;8 817;6 696;5 258;2 288;1 694;2,4;2,3
;;;;;;;;;;;;;;
Centro;904 770;909 312;195 368;229 461;301 017;319 732;209 076;188 276;149 577;129 630;49 732;42 213;2,5;2,4
Oeste;140 694;146 538;30 121;36 100;45 819;50 022;33 330;30 992;23 752;21 912;7 672;7 512;2,5;2,4
Região de Aveiro;137 516;143 651;25 777;31 863;43 109;48 313;34 229;32 483;24 251;22 061;10 150;8 931;2,7;2,5
Região de Coimbra;180 474;180 461;40 047;46 751;59 921;63 678;42 314;37 493;28 709;24 656;9 483;7 883;2,5;2,4
Região de Leiria;114 328;116 456;24 320;28 858;37 521;40 156;25 905;23 995;20 907;18 325;5 675;5 122;2,5;2,4
Viseu Dão Lafões;100 952;100 998;20 197;23 562;33 021;35 887;23 064;21 111;17 768;15 253;6 902;5 185;2,6;2,5
Beira Baixa;37 703;35 668;9 837;10 647;14 153;13 756;7 746;6 413;4 753;3 771;1 214;1 081;2,3;2,2
Médio Tejo;97 957;95 222;22 531;26 154;33 645;33 745;21 379;18 484;15 650;12 961;4 752;3 878;2,5;2,3
Beiras e Serra da Estrela;95 146;90 318;22 538;25 526;33 828;34 175;21 109;17 305;13 787;10 691;3 884;2 621;2,4;2,2
;;;;;;;;;;;;;;
A.M. Lisboa;1 147 775;1 192 984;293 220;336 274;376 955;392 111;255 823;238 291;160 522;160 982;61 255;65 326;2,4;2,4
A.M. Lisboa;1 147 775;1 192 984;293 220;336 274;376 955;392 111;255 823;238 291;160 522;160 982;61 255;65 326;2,4;2,4
;;;;;;;;;;;;;;
Alentejo;302 975;291 767;71 676;79 290;103 694;101 944;68 492;59 369;44 375;38 116;14 738;13 048;2,5;2,4
Alentejo Litoral;40 533;39 876;10 594;11 476;13 953;13 634;8 941;7 834;5 202;4 920;1 843;2 012;2,4;2,4
Baixo Alentejo;50 566;47 710;12 569;13 448;16 941;16 627;10 863;9 277;7 528;6 202;2 665;2 156;2,5;2,3
Lezíria do Tejo;97 405;96 256;21 305;24 686;33 241;33 245;22 856;20 272;14 935;13 249;5 068;4 804;2,5;2,4
Alto Alentejo;47 524;44 077;11 411;12 449;16 734;15 903;10 566;8 632;6 678;5 447;2 135;1 646;2,4;2,3
Alentejo Central;66 947;63 848;15 797;17 231;22 825;22 535;15 266;13 354;10 032;8 298;3 027;2 430;2,4;2,3
;;;;;;;;;;;;;;
Algarve;182 776;194 192;45 493;52 913;60 708;66 719;40 600;38 397;26 387;25 823;9 588;10 340;2,4;2,4
Algarve;182 776;194 192;45 493;52 913;60 708;66 719;40 600;38 397;26 387;25 823;9 588;10 340;2,4;2,4
;;;;;;;;;;;;;;
R.A. Açores;81 715;85 301;14 006;17 348;20 871;24 853;19 231;19 968;16 295;14 948;11 312;8 184;3,0;2,7
;;;;;;;;;;;;;;
R.A. Madeira;92 823;94 844;18 141;22 404;23 705;27 523;22 738;21 871;17 535;15 460;10 704;7 586;2,9;2,6
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
