1.03 - Agregados domésticos privados, segundo o tipo de agregado (com base nos núcleos familiares), NUTS II, 2011 e 2021;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Agregados domésticos privados;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Portugal;;Norte;;Centro;;A.M. Lisboa;;Alentejo;;Algarve;;R.A. Açores;;R.A. Madeira;;
;2011;2021;2011;2021;2011;2021;2011;2021;2011;2021;2011;2021;2011;2021;2011;2021;
;N.º;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Total;4 043 726;4 149 096;1 330 892;1 380 696;904 770;909 312;1 147 775;1 192 984;302 975;291 767;182 776;194 192;81 715;85 301;92 823;94 844;
;;;;;;;;;;;;;;;;;
Agregados domésticos privados sem núcleos familiares;940 457;1 148 685;251 478;325 909;207 973;250 359;319 912;381 853;75 850;86 240;48 882;59 071;15 529;19 596;20 833;25 657;
Com uma pessoa;866 827;1 027 871;228 923;290 181;195 368;229 461;293 220;336 274;71 676;79 290;45 493;52 913;14 006;17 348;18 141;22 404;
Só com pessoas aparentadas;52 162;58 105;17 174;19 527;9 157;10 121;17 138;18 895;3 110;3 343;2 139;2 472;1 176;1 345;2 268;2 402;
Com pessoas aparentadas e não aparentadas ou só com pessoas não aparentadas;21 468;62 709;5 381;16 201;3 448;10 777;9 554;26 684;1 064;3 607;1 250;3 686;347;903;424;851;
Agregados domésticos privados com um núcleo familiar;2 984 598;2 877 839;1 027 419;1 003 172;674 009;635 788;804 531;783 681;221 053;200 007;128 933;129 224;61 574;61 363;67 079;64 604;
Agregados domésticos privados constituídos por um casal;2 570 279;2 372 198;895 545;842 422;594 517;540 487;668 741;616 318;193 730;167 630;109 344;104 473;53 231;50 700;55 171;50 168;
"Casal ""de direito"" sem filhos";892 560;850 476;284 002;292 306;229 890;216 831;234 193;207 461;77 224;66 487;39 289;38 433;14 264;14 495;13 698;14 463;
Sem outras pessoas;829 835;801 084;262 063;273 744;214 399;205 216;218 947;196 263;72 447;62 989;36 507;36 132;12 967;13 377;12 505;13 363;
Com outras pessoas;62 725;49 392;21 939;18 562;15 491;11 615;15 246;11 198;4 777;3 498;2 782;2 301;1 297;1 118;1 193;1 100;
"Casal ""de direito"", com pelo menos, um filho com menos de 25 anos";1 081 980;800 758;434 479;317 184;241 012;173 083;242 190;193 908;69 037;47 005;37 482;28 276;28 858;21 263;28 922;20 039;
Sem outras pessoas;1 006 818;749 447;400 076;294 090;225 043;162 986;228 869;183 277;65 225;44 773;35 158;26 340;26 077;19 523;26 370;18 458;
Com outras pessoas;75 162;51 311;34 403;23 094;15 969;10 097;13 321;10 631;3 812;2 232;2 324;1 936;2 781;1 740;2 552;1 581;
"Casal ""de direito"" com filho(s) tendo o mais novo 25 ou mais anos";259 233;253 909;99 163;106 702;61 425;57 178;59 214;52 455;19 800;16 378;9 240;8 848;4 628;5 635;5 763;6 713;
Sem outras pessoas;237 731;236 146;90 556;98 624;56 188;53 243;54 982;49 317;18 234;15 414;8 392;8 205;4 109;5 125;5 270;6 218;
Com outras pessoas;21 502;17 763;8 607;8 078;5 237;3 935;4 232;3 138;1 566;964;848;643;519;510;493;495;
Casal “de facto” sem filhos;144 405;183 571;33 502;50 630;27 853;37 410;57 395;63 860;10 841;13 361;9 621;11 141;2 329;3 778;2 864;3 391;
Sem outras pessoas;133 922;169 575;30 900;46 598;25 863;34 677;53 492;59 202;10 058;12 414;8 940;10 213;2 105;3 401;2 564;3 070;
