1.04 - Agregados domésticos privados unipessoais, segundo o grupo etário, NUTS II, 2011 e 2021;;;;;;
;;;;;;
;Agregados domésticos privados unipessoais;;;;;
;;;;;;
;2011;;;2021;;
;Total;Homens;Mulheres;Total;Homens;Mulheres
;N.º;;;;;
;;;;;;
Portugal;866 827;321 856;544 971;1 027 871;396 517;631 354
;;;;;;
Menos de 20 anos;2 694;1 280;1 414;1 297;619;678
20-24 anos;17 849;8 917;8 932;13 669;6 605;7 064
25-29 anos;43 750;21 834;21 916;34 876;17 079;17 797
30-34 anos;58 116;31 330;26 786;42 290;22 020;20 270
35-39 anos;55 300;31 601;23 699;45 449;25 376;20 073
40-44 anos;46 600;28 179;18 421;55 992;32 457;23 535
45-49 anos;48 443;28 344;20 099;65 223;37 511;27 712
50-54 anos;54 381;27 355;27 026;70 281;38 176;32 105
55-59 anos;62 379;25 876;36 503;84 875;40 157;44 718
60-64 anos;70 373;23 492;46 881;96 773;38 944;57 829
65-69 anos;76 307;20 634;55 673;103 670;35 364;68 306
70-74 anos;89 183;20 766;68 417;109 574;30 685;78 889
75 ou mais anos;241 452;52 248;189 204;303 902;71 524;232 378
;;;;;;
Norte;228 923;81 014;147 909;290 181;108 712;181 469
;;;;;;
Menos de 20 anos;788;349;439;400;173;227
20-24 anos;4 515;2 125;2 390;3 926;1 873;2 053
25-29 anos;10 583;5 221;5 362;9 885;4 826;5 059
30-34 anos;13 555;7 204;6 351;11 213;5 742;5 471
35-39 anos;13 414;7 489;5 925;11 587;6 445;5 142
40-44 anos;11 659;6 825;4 834;14 156;8 250;5 906
45-49 anos;12 921;7 272;5 649;17 493;10 035;7 458
50-54 anos;14 977;7 191;7 786;19 717;10 586;9 131
55-59 anos;17 393;6 715;10 678;24 865;11 457;13 408
60-64 anos;19 234;5 947;13 287;28 933;10 970;17 963
65-69 anos;21 101;5 263;15 838;31 372;9 990;21 382
70-74 anos;24 864;5 611;19 253;31 788;8 359;23 429
75 ou mais anos;63 919;13 802;50 117;84 846;20 006;64 840
;;;;;;
Centro;195 368;69 556;125 812;229 461;88 226;141 235
;;;;;;
Menos de 20 anos;629;313;316;274;131;143
20-24 anos;3 688;1 837;1 851;2 939;1 374;1 565
25-29 anos;7 931;4 008;3 923;6 481;3 233;3 248
30-34 anos;9 950;5 500;4 450;7 312;3 986;3 326
35-39 anos;9 498;5 525;3 973;8 169;4 801;3 368
40-44 anos;8 640;5 425;3 215;10 289;6 289;4 000
45-49 anos;9 670;5 765;3 905;12 406;7 349;5 057
50-54 anos;11 116;5 723;5 393;14 648;8 258;6 390
55-59 anos;12 787;5 567;7 220;18 693;9 185;9 508
60-64 anos;14 998;5 126;9 872;21 583;9 131;12 452
65-69 anos;17 870;4 815;13 055;23 096;8 348;14 748
70-74 anos;22 591;5 247;17 344;25 137;7 248;17 889
75 ou mais anos;66 000;14 705;51 295;78 434;18 893;59 541
;;;;;;
A.M. Lisboa;293 220;110 954;182 266;336 274;127 767;208 507
;;;;;;
Menos de 20 anos;869;406;463;454;224;230
20-24 anos;6 919;3 406;3 513;4 848;2 349;2 499
25-29 anos;18 642;9 141;9 501;13 987;6 624;7 363
30-34 anos;25 545;13 500;12 045;18 024;9 098;8 926
35-39 anos;23 520;13 136;10 384;18 628;9 880;8 748
40-44 anos;18 073;10 513;7 560;22 416;12 279;10 137
45-49 anos;17 032;9 675;7 357;24 476;13 449;11 027
50-54 anos;18 548;9 003;9 545;23 469;12 238;11 231
55-59 anos;21 543;8 353;13 190;25 576;11 432;14 144
60-64 anos;24 690;8 036;16 654;29 124;10 980;18 144
65-69 anos;24 678;6 616;18 062;31 356;9 869;21 487
70-74 anos;26 101;5 941;20 160;34 564;9 316;25 248
75 ou mais anos;67 060;13 228;53 832;89 352;20 029;69 323
;;;;;;
Alentejo;71 676;27 436;44 240;79 290;32 345;46 945
;;;;;;
Menos de 20 anos;178;78;100;75;46;29
20-24 anos;1 141;651;490;875;456;419
25-29 anos;2 402;1 337;1 065;1 818;978;840
30-34 anos;3 292;2 010;1 282;2 212;1 288;924
35-39 anos;3 180;2 076;1 104;2 681;1 705;976
40-44 anos;3 133;2 155;978;3 564;2 354;1 210
45-49 anos;3 491;2 283;1 208;4 208;2 753;1 455
50-54 anos;4 119;2 319;1 800;5 087;3 051;2 036
55-59 anos;4 669;2 302;2 367;6 858;3 674;3 184
60-64 anos;5 284;1 989;3 295;7 595;3 564;4 031
65-69 anos;6 246;1 847;4 399;7 922;3 101;4 821
70-74 anos;8 600;2 131;6 469;8 515;2 570;5 945
75 ou mais anos;25 941;6 258;19 683;27 880;6 805;21 075
;;;;;;
Algarve;45 493;20 441;25 052;52 913;23 508;29 405
;;;;;;
Menos de 20 anos;142;93;49;47;26;21
20-24 anos;990;566;424;638;313;325
25-29 anos;2 598;1 361;1 237;1 676;887;789
30-34 anos;3 336;1 887;1 449;2 055;1 122;933
35-39 anos;3 326;2 016;1 310;2 448;1 438;1 010
40-44 anos;2 950;1 926;1 024;3 079;1 825;1 254
45-49 anos;3 021;1 898;1 123;3 577;2 107;1 470
50-54 anos;3 329;1 911;1 418;3 958;2 156;1 802
55-59 anos;3 553;1 832;1 721;4 760;2 374;2 386
60-64 anos;3 629;1 578;2 051;5 366;2 554;2 812
