1.06 - Agregados domésticos privados unipessoais, segundo a condição perante o trabalho, NUTS II, 2011 e 2021;;;;;;;;;;;
;;;;;;;;;;;
;Agregados domésticos privados unipessoais;;;;;;;;;;
;;;;;;;;;;;
;2011;;;2021;;;;;;;
;Total;Homens;Mulheres;Total;Homens;Mulheres;;;;;
;N.º;;;;;;;;;;
;;;;;;;;;;;
Portugal;866 827;321 856;544 971;1 027 871;396 517;631 354;;;;;
;;;;;;;;;;;
Empregados;315 448;159 919;155 529;384 061;193 341;190 720;;;;;
Desempregados;42 510;25 167;17 343;33 396;17 366;16 030;;;;;
Estudantes;6 820;3 396;3 424;4 845;2 233;2 612;;;;;
Domésticos;17 954;812;17 142;18 533;1 907;16 626;;;;;
Reformados;440 870;109 644;331 226;502 563;140 593;361 970;;;;;
Incapacitados permanentes p/o trabalho;11 972;6 528;5 444;17 628;8 949;8 679;;;;;
Outros;31 253;16 390;14 863;66 845;32 128;34 717;;;;;
;;;;;;;;;;;
Norte;228 923;81 014;147 909;290 181;108 712;181 469;;;;;
;;;;;;;;;;;
Empregados;73 712;36 500;37 212;100 166;50 301;49 865;;;;;
Desempregados;12 390;6 790;5 600;10 500;5 154;5 346;;;;;
Estudantes;2 062;1 012;1 050;1 513;661;852;;;;;
Domésticos;5 387;243;5 144;6 058;547;5 511;;;;;
Reformados;121 573;29 332;92 241;145 714;39 491;106 223;;;;;
Incapacitados permanentes p/o trabalho;3 954;2 129;1 825;5 967;3 114;2 853;;;;;
Outros;9 845;5 008;4 837;20 263;9 444;10 819;;;;;
;;;;;;;;;;;
Centro;195 368;69 556;125 812;229 461;88 226;141 235;;;;;
;;;;;;;;;;;
Empregados;59 158;30 672;28 486;76 804;39 742;37 062;;;;;
Desempregados;7 248;4 315;2 933;5 241;2 797;2 444;;;;;
Estudantes;1 638;836;802;994;471;523;;;;;
Domésticos;4 555;217;4 338;4 611;539;4 072;;;;;
Reformados;114 023;28 669;85 354;124 157;35 859;88 298;;;;;
Incapacitados permanentes p/o trabalho;2 856;1 624;1 232;4 138;2 175;1 963;;;;;
Outros;5 890;3 223;2 667;13 516;6 643;6 873;;;;;
;;;;;;;;;;;
A.M. Lisboa;293 220;110 954;182 266;336 274;127 767;208 507;;;;;
;;;;;;;;;;;
Empregados;129 374;63 344;66 030;145 060;69 721;75 339;;;;;
Desempregados;15 738;9 308;6 430;11 851;6 161;5 690;;;;;
Estudantes;2 489;1 243;1 246;1 954;921;1 033;;;;;
Domésticos;5 387;206;5 181;4 981;443;4 538;;;;;
Reformados;127 560;30 533;97 027;147 575;39 055;108 520;;;;;
Incapacitados permanentes p/o trabalho;2 800;1 467;1 333;3 711;1 725;1 986;;;;;
Outros;9 872;4 853;5 019;21 142;9 741;11 401;;;;;
;;;;;;;;;;;
Alentejo;71 676;27 436;44 240;79 290;32 345;46 945;;;;;
;;;;;;;;;;;
Empregados;21 105;12 065;9 040;26 403;14 957;11 446;;;;;
Desempregados;2 755;1 804;951;2 025;1 163;862;;;;;
Estudantes;293;123;170;136;57;79;;;;;
Domésticos;930;47;883;1 083;131;952;;;;;
Reformados;43 634;11 724;31 910;43 911;13 067;30 844;;;;;
Incapacitados permanentes p/o trabalho;860;494;366;1 280;659;621;;;;;
Outros;2 099;1 179;920;4 452;2 311;2 141;;;;;
;;;;;;;;;;;
Algarve;45 493;20 441;25 052;52 913;23 508;29 405;;;;;
;;;;;;;;;;;
Empregados;18 906;10 556;8 350;19 622;10 453;9 169;;;;;
Desempregados;3 088;2 014;1 074;2 525;1 308;1 217;;;;;
Estudantes;203;104;99;155;79;76;;;;;
Domésticos;674;50;624;782;129;653;;;;;
Reformados;19 971;6 123;13 848;24 502;8 653;15 849;;;;;
Incapacitados permanentes p/o trabalho;600;351;249;912;494;418;;;;;
Outros;2 051;1 243;808;4 415;2 392;2 023;;;;;
;;;;;;;;;;;
R.A. Açores;14 006;5 888;8 118;17 348;7 348;10 000;;;;;
;;;;;;;;;;;
Empregados;6 023;3 364;2 659;7 722;4 086;3 636;;;;;
Desempregados;478;357;121;369;249;120;;;;;
Estudantes;77;45;32;39;18;21;;;;;
Domésticos;534;22;512;443;39;404;;;;;
Reformados;5 928;1 549;4 379;7 022;2 029;4 993;;;;;
Incapacitados permanentes p/o trabalho;335;174;161;567;303;264;;;;;
Outros;631;377;254;1 186;624;562;;;;;
;;;;;;;;;;;
R.A. Madeira;18 141;6 567;11 574;22 404;8 611;13 793;;;;;
;;;;;;;;;;;
Empregados;7 170;3 418;3 752;8 284;4 081;4 203;;;;;
Desempregados;813;579;234;885;534;351;;;;;
Estudantes;58;33;25;54;26;28;;;;;
Domésticos;487;27;460;575;79;496;;;;;
Reformados;8 181;1 714;6 467;9 682;2 439;7 243;;;;;
Incapacitados permanentes p/o trabalho;567;289;278;1 053;479;574;;;;;
Outros;865;507;358;1 871;973;898;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;;;;;;
