1.08 - Núcleos familiares com filhos com menos de 6 anos, segundo o número de filhos (menores de 6 anos), por tipo de núcleo familiar, NUTS II, 2011 e 2021;;;;;;
;;;;;;
;Núcleos familiares com filhos com menos de 6 anos;;Filhos com menos de 6 anos;;;
;;;;;;
;2011;2021;2011;2021;;
;N.º;;;;;
;;;;;;
Portugal;509 986;427 062;578 798;491 071;;
;;;;;;
Casal com filhos com menos de 6 anos;444 287;353 802;507 084;410 001;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;337 510;207 995;384 656;242 240;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;106 777;145 807;122 428;167 761;;
Monoparentais (com filhos com menos de 6 anos);65 699;73 260;71 714;81 070;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;4 749;5 367;5 119;5 838;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;60 950;67 893;66 595;75 232;;
;;;;;;
Norte;175 937;142 204;196 762;161 521;;
;;;;;;
Casal com filhos com menos de 6 anos;156 746;121 188;175 932;138 517;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;131 799;80 559;147 542;92 456;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;24 947;40 629;28 390;46 061;;
Monoparentais (com filhos com menos de 6 anos);19 191;21 016;20 830;23 004;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;1 093;1 314;1 163;1 417;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;18 098;19 702;19 667;21 587;;
;;;;;;
Centro;101 687;84 208;114 655;96 252;;
;;;;;;
Casal com filhos com menos de 6 anos;91 299;73 100;103 414;84 112;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;72 061;42 977;81 580;49 694;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;19 238;30 123;21 834;34 418;;
Monoparentais (com filhos com menos de 6 anos);10 388;11 108;11 241;12 140;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;729;921;788;987;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;9 659;10 187;10 453;11 153;;
;;;;;;
A.M. Lisboa;148 403;131 299;171 727;153 775;;
;;;;;;
Casal com filhos com menos de 6 anos;122 828;102 385;143 618;121 379;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;81 107;54 720;95 459;65 731;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;41 721;47 665;48 159;55 648;;
Monoparentais (com filhos com menos de 6 anos);25 575;28 914;28 109;32 396;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;2 094;2 188;2 261;2 415;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;23 481;26 726;25 848;29 981;;
;;;;;;
Alentejo;33 305;27 674;38 010;32 038;;
;;;;;;
Casal com filhos com menos de 6 anos;29 503;23 362;33 868;27 258;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;20 328;10 977;23 213;12 818;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;9 175;12 385;10 655;14 440;;
Monoparentais (com filhos com menos de 6 anos);3 802;4 312;4 142;4 780;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;340;367;375;399;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;3 462;3 945;3 767;4 381;;
;;;;;;
Algarve;23 022;20 668;26 090;23 675;;
;;;;;;
Casal com filhos com menos de 6 anos;19 593;16 348;22 383;18 906;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;12 191;7 634;13 966;8 854;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;7 402;8 714;8 417;10 052;;
Monoparentais (com filhos com menos de 6 anos);3 429;4 320;3 707;4 769;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;285;356;304;382;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;3 144;3 964;3 403;4 387;;
;;;;;;
R.A. Açores;13 892;10 938;16 035;12 428;;
;;;;;;
Casal com filhos com menos de 6 anos;12 452;9 432;14 404;10 745;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;10 471;6 187;12 045;7 046;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;1 981;3 245;2 359;3 699;;
Monoparentais (com filhos com menos de 6 anos);1 440;1 506;1 631;1 683;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;96;110;109;121;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;1 344;1 396;1 522;1 562;;
;;;;;;
R.A. Madeira;13 740;10 071;15 519;11 382;;
;;;;;;
Casal com filhos com menos de 6 anos;11 866;7 987;13 465;9 084;;
Casal de direito com 1 ou mais filhos/enteados menores de 6 anos;9 553;4 941;10 851;5 641;;
Casal de facto com 1 ou mais filhos/enteados menores de 6 anos;2 313;3 046;2 614;3 443;;
Monoparentais (com filhos com menos de 6 anos);1 874;2 084;2 054;2 298;;
Pai com 1 ou mais filhos/enteados menores de 6 anos;112;111;119;117;;
Mãe com 1 ou mais filhos/enteados menores de 6 anos;1 762;1 973;1 935;2 181;;
;;;;;;
;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;
