1.12 - Núcleos familiares reconstituídos, segundo o número de filhos comuns e não comuns, por tipo de relação conjugal, NUTS II, 2011 e 2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
;2011;;;;;;2021;;;;;;
;;;;;;;;;;;;;
;Com 1 filho não comum;;;Com 2 ou mais filhos não comuns;;;Com 1 filho não comum;;;Com 2 ou mais filhos não comuns;;;
;Sem filhos comuns;Com 1 filho comum;Com 2 ou mais filhos comuns;Sem filhos comuns;Com 1 filho comum;Com 2 ou mais filhos comuns;Sem filhos comuns;Com 1 filho comum;Com 2 ou mais filhos comuns;Sem filhos comuns;Com 1 filho comum;Com 2 ou mais filhos comuns;
;N.º;;;;;;;;;;;;
;;;;;;;;;;;;;
Portugal;42 949;27 398;7 122;19 442;7 225;1 627;48 565;35 417;10 354;20 258;8 412;1 711;
;;;;;;;;;;;;;
Casal de direito;15 977;13 515;4 082;6 151;2 765;672;16 297;15 488;5 603;5 772;3 046;756;
Casal de facto;26 972;13 883;3 040;13 291;4 460;955;32 268;19 929;4 751;14 486;5 366;955;
;;;;;;;;;;;;;
Norte;10 551;6 563;1 628;4 816;1 551;286;13 030;9 659;2 432;5 326;2 091;334;
;;;;;;;;;;;;;
Casal de direito;4 321;3 580;1 012;1 655;599;108;4 562;4 593;1 391;1 556;771;152;
Casal de facto;6 230;2 983;616;3 161;952;178;8 468;5 066;1 041;3 770;1 320;182;
;;;;;;;;;;;;;
Centro;8 297;5 295;1 194;3 616;1 372;232;9 551;7 165;1 804;3 812;1 632;268;
;;;;;;;;;;;;;
Casal de direito;3 022;2 699;722;1 109;545;102;2 959;3 152;1 009;996;542;120;
Casal de facto;5 275;2 596;472;2 507;827;130;6 592;4 013;795;2 816;1 090;148;
;;;;;;;;;;;;;
A.M. Lisboa;16 082;10 206;2 891;7 253;2 753;765;17 113;11 960;4 205;7 377;3 014;792;
;;;;;;;;;;;;;
Casal de direito;5 885;4 652;1 549;2 287;1 083;331;6 059;5 046;2 216;2 274;1 181;358;
Casal de facto;10 197;5 554;1 342;4 966;1 670;434;11 054;6 914;1 989;5 103;1 833;434;
;;;;;;;;;;;;;
Alentejo;3 307;2 288;555;1 536;647;108;3 685;2 782;819;1 616;687;125;
;;;;;;;;;;;;;
Casal de direito;1 103;1 063;275;422;214;36;996;992;371;384;214;42;
Casal de facto;2 204;1 225;280;1 114;433;72;2 689;1 790;448;1 232;473;83;
;;;;;;;;;;;;;
Algarve;2 689;1 721;403;1 090;438;95;2 910;2 035;564;1 099;468;96;
;;;;;;;;;;;;;
Casal de direito;898;771;224;339;148;33;960;847;300;294;158;42;
Casal de facto;1 791;950;179;751;290;62;1 950;1 188;264;805;310;54;
;;;;;;;;;;;;;
R.A. Açores;981;658;245;650;267;80;1 301;1 021;298;660;326;60;
;;;;;;;;;;;;;
Casal de direito;378;384;160;196;106;41;415;484;177;160;109;30;
Casal de facto;603;274;85;454;161;39;886;537;121;500;217;30;
;;;;;;;;;;;;;
R.A. Madeira;1 042;667;206;481;197;61;975;795;232;368;194;36;
;;;;;;;;;;;;;
Casal de direito;370;366;140;143;70;21;346;374;139;108;71;12;
Casal de facto;672;301;66;338;127;40;629;421;93;260;123;24;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;;;;;;;;
