"Quadro 1.1 - População residente, por nacionalidade e sexo, Portugal, 2011-2021",,,,,,,,,
,,,,,,,,,
,2021,,,2011,,,Variação 2011-2021,,
,HM,H,M,HM,H,M,HM,H,M
,N.º,,,N.º,,,%,,
População residente,10 343 066,4 920 220,5 422 846,10 562 178,5 046 600,5 515 578,-2.1,-2.5,-1.7
Nacionalidade portuguesa,9 800 752,4 654 568,5 146 184,10 167 129,4 858 250,5 308 879,-3.6,-4.2,-3.1
Nacionalidade estrangeira, 542 165, 265 572, 276 593, 394 496, 188 086, 206 410,37.4,41.2,34.0
Principais nacionalidades,,,,,,,,,
Brasil, 199 810, 89 503, 110 307, 109 787, 46 249, 63 538,82.0,93.5,73.6
Angola, 31 556, 13 707, 17 849, 26 954, 12 749, 14 205,17.1,7.5,25.7
Cabo Verde, 27 144, 12 814, 14 330, 38 895, 18 537, 20 358,-30.2,-30.9,-29.6
Reino Unido, 24 609, 12 874, 11 735, 15 774, 7 891, 7 883,56.0,63.1,48.9
Ucrânia, 21 199, 9 613, 11 586, 33 790, 17 165, 16 625,-37.3,-44.0,-30.3
França, 19 064, 9 594, 9 470, 14 360, 6 644, 7 716,32.8,44.4,22.7
China, 16 631, 8 366, 8 265, 11 458, 5 943, 5 515,45.1,40.8,49.9
Guiné-Bissau, 15 298, 7 875, 7 423, 16 360, 9 162, 7 198,-6.5,-14.0,3.1
Índia, 14 130, 10 959, 3 171, 3 148, 2 144, 1 004,348.9,411.1,215.8
Roménia, 13 837, 6 610, 7 227, 24 356, 12 445, 11 911,-43.2,-46.9,-39.3
Itália, 13 829, 7 740, 6 089, 3 443, 1 935, 1 508,301.7,300.0,303.8
Nepal, 13 224, 8 526, 4 698,  959,  710,  249,1278.9,1100.8,1786.7
Espanha, 12 811, 5 909, 6 902, 10 486, 4 776, 5 710,22.2,23.7,20.9
Alemanha, 11 193, 5 682, 5 511, 9 238, 4 633, 4 605,21.2,22.6,19.7
São Tomé e Príncipe, 10 024, 4 375, 5 649, 10 408, 4 700, 5 708,-3.7,-6.9,-1.0
Apátridas,  149,  80,  69,  553,  284,  269,-73.1,-71.8,-74.3
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,,
