"Quadro 1.2 - População residente por nacionalidade, por local de residência (NUTS I/II/III/Município), Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"NUTS I, II, III
Município",População residente ,,,,15 Principais nacionalidades estrangeiras ,,,,,,,,,,,,,,
,Total ,Nacionalidade portuguesa ,Nacionalidade estrangeira,Apátrida ,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné-Bissau,Índia,Roménia,Itália,Nepal,Espanha,Alemanha,São Tomé e Príncipe
Portugal,10 343 066,9 800 752, 542 165,  149, 199 810, 31 556, 27 144, 24 609, 21 199, 19 064, 16 631, 15 298, 14 130, 13 837, 13 829, 13 224, 12 811, 11 193, 10 024
Continente,9 855 909,9 323 976, 531 790,  143, 198 499, 31 440, 26 990, 23 549, 20 982, 18 724, 16 258, 15 265, 14 104, 13 731, 13 417, 13 186, 12 524, 10 353, 9 963
Norte,3 586 586,3 493 780, 92 771,  35, 48 479, 4 302, 1 867, 1 387, 2 623, 3 980, 3 592,  659, 1 143,  807, 2 586,  463, 3 688, 1 512,  748
Alto Minho, 231 266, 224 311, 6 952,  3, 3 101,  122,  101,  198,  142,  520,  164,  19,  226,  70,  154,  35,  618,  101,  100
Arcos de Valdevez, 20 718, 20 288,  430,  ,  113,  7,  24,  27,  5,  50,  13,  1,  ,  1,  13,  ,  40,  6,  9
Caminha, 15 797, 15 260,  536,  1,  170,  16,  22,  24,  6,  59,  17,  ,  10,  11,  14,  ,  72,  13,  2
Melgaço, 7 773, 7 591,  182,  ,  84,  2,  ,  3,  3,  21,  3,  ,  4,  ,  1,  ,  31,  ,  
Monção, 17 816, 17 044,  772,  ,  396,  14,  1,  19,  26,  60,  21,  ,  1,  2,  9,  ,  121,  2,  3
Paredes de Coura, 8 632, 8 443,  189,  ,  59,  4,  ,  8,  ,  22,  3,  1,  1,  2,  1,  ,  25,  2,  5
Ponte da Barca, 11 044, 10 831,  213,  ,  64,  2,  3,  16,  ,  48,  8,  3,  ,  ,  1,  ,  11,  9,  8
Ponte de Lima, 41 164, 40 543,  621,  ,  234,  10,  4,  26,  7,  67,  20,  6,  27,  10,  17,  ,  41,  14,  2
Valença, 13 623, 12 673,  948,  2,  542,  6,  13,  12,  18,  28,  16,  ,  25,  11,  12,  ,  133,  9,  5
Viana do Castelo, 85 778, 83 288, 2 490,  , 1 285,  53,  30,  39,  66,  135,  51,  5,  32,  30,  77,  22,  111,  43,  65
Vila Nova de Cerveira, 8 921, 8 350,  571,  ,  154,  8,  4,  24,  11,  30,  12,  3,  126,  3,  9,  13,  33,  3,  1
Cávado, 416 605, 400 841, 15 760,  4, 9 909,  679,  187,  133,  381,  488,  334,  122,  96,  215,  563,  51,  448,  160,  50
Amares, 18 595, 18 163,  431,  1,  236,  19,  ,  9,  5,  29,  6,  ,  ,  5,  7,  ,  13,  2,  10
Barcelos, 116 752, 114 543, 2 208,  1, 1 266,  115,  42,  30,  44,  85,  62,  8,  12,  25,  73,  1,  60,  26,  8
Braga, 193 324, 182 042, 11 280,  2, 7 444,  475,  131,  61,  292,  205,  209,  113,  79,  174,  417,  43,  295,  94,  29
Esposende, 35 132, 34 286,  846,  ,  415,  28,  5,  15,  21,  76,  30,  1,  5,  4,  38,  4,  45,  9,  2
Terras de Bouro, 6 358, 6 262,  96,  ,  29,  2,  1,  6,  ,  14,  2,  ,  ,  1,  ,  ,  7,  5,  
Vila Verde, 46 444, 45 545,  899,  ,  519,  40,  8,  12,  19,  79,  25,  ,  ,  6,  28,  3,  28,  24,  1
Ave, 418 455, 411 808, 6 643,  4, 3 423,  225,  70,  72,  260,  445,  273,  49,  181,  46,  135,  82,  190,  186,  17
Cabeceiras de Basto, 15 558, 15 362,  196,  ,  52,  10,  1,  ,  3,  21,  19,  ,  17,  1,  3,  ,  8,  5,  
Fafe, 48 497, 47 881,  615,  1,  313,  23,  2,  7,  16,  59,  42,  ,  ,  ,  8,  10,  25,  20,  2
Guimarães, 156 830, 154 349, 2 478,  3, 1 270,  84,  40,  30,  84,  157,  71,  29,  24,  22,  67,  46,  87,  43,  4
Mondim de Basto, 6 410, 6 332,  78,  ,  36,  ,  ,  4,  ,  4,  9,  ,  ,  1,  3,  ,  6,  9,  
Póvoa de Lanhoso, 21 775, 21 355,  420,  ,  201,  6,  1,  3,  9,  49,  35,  2,  ,  8,  8,  ,  11,  15,  
Vieira do Minho, 11 955, 11 767,  188,  ,  74,  7,  ,  4,  9,  15,  6,  1,  5,  1,  5,  ,  2,  17,  
Vila Nova de Famalicão, 133 534, 131 102, 2 432,  , 1 336,  89,  23,  23,  137,  129,  89,  14,  133,  12,  37,  21,  48,  74,  10
Vizela, 23 896, 23 660,  236,  ,  141,  6,  3,  1,  2,  11,  2,  3,  2,  1,  4,  5,  3,  3,  1
Área Metropolitana do Porto,1 736 228,1 683 179, 53 031,  18, 28 390, 2 689,  879,  853, 1 506, 1 865, 2 307,  338,  573,  274, 1 609,  227, 1 738,  889,  359
Arouca, 21 146, 20 886,  260,  ,  132,  12,  ,  10,  9,  9,  6,  5,  ,  1,  4,  ,  13,  13,  1
Espinho, 31 043, 30 279,  764,  ,  346,  51,  6,  13,  32,  40,  21,  2,  3,  9,  23,  ,  30,  13,  1
Gondomar, 164 257, 161 203, 3 054,  , 1 769,  189,  82,  38,  103,  84,  116,  28,  12,  27,  60,  3,  70,  26,  34
Maia, 134 977, 131 345, 3 631,  1, 2 111,  159,  66,  55,  173,  84,  80,  20,  24,  17,  105,  7,  98,  54,  15
Matosinhos, 172 557, 167 316, 5 239,  2, 3 014,  175,  71,  113,  127,  160,  205,  37,  22,  30,  175,  7,  239,  96,  33
Oliveira de Azeméis, 66 175, 64 882, 1 293,  ,  631,  79,  8,  15,  64,  38,  42,  9,  29,  7,  33,  ,  32,  12,  6
Paredes, 84 354, 83 150, 1 203,  1,  642,  65,  13,  18,  29,  70,  53,  1,  5,  6,  26,  4,  27,  21,  
Porto, 231 800, 217 299, 14 497,  4, 7 381,  686,  345,  312,  165,  660,  407,  103,  281,  59,  622,  86,  581,  262,  89
Póvoa de Varzim, 64 255, 61 991, 2 264,  , 1 341,  60,  12,  22,  66,  60,  171,  4,  4,  6,  49,  3,  38,  32,  5
