"Quadro 1.3 - População residente, por nacionalidade, grupo etário e idade média, Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total ,Grupo etário,,,,Grupo etário (%),,,,Idade média,,,,,,,,,
,,0 - 14,15 - 24,25 - 64,65 ou mais,0 - 14,15 - 24,25 - 64,65 ou mais,HM,H,M,,,,,,,
População residente,10 343 066,1 331 188,1 088 087,5 500 152,2 423 639,12.9,10.5,53.2,23.4,45.4,43.8,46.9,,,,,,,
Nacionalidade portuguesa,9 800 752,1 265 808,1 017 404,5 139 987,2 377 553,12.9,10.4,52.4,24.3,45.9,44.3,47.4,,,,,,,
Nacionalidade estrangeira, 542 165, 65 363, 70 668, 360 061, 46 073,12.1,13.0,66.4,8.5,37.3,36.7,37.8,,,,,,,
Principais nacionalidades,  ,,,,,,,,,,,,,,,,,,
Brasil, 199 810, 29 112, 28 452, 137 231, 5 015,14.6,14.2,68.7,2.5,33.2,31.5,34.6,,,,,,,
Angola, 31 553, 5 416, 6 005, 18 130, 2 002,17.2,19.0,57.5,6.3,34.4,32.5,35.8,,,,,,,
Cabo Verde, 27 144, 2 186, 5 876, 16 237, 2 845,8.1,21.6,59.8,10.5,37.5,37.2,37.7,,,,,,,
Reino Unido, 24 609, 2 072, 1 028, 12 676, 8 833,8.4,4.2,51.5,35.9,53.9,54.5,53.2,,,,,,,
Ucrânia, 21 199, 1 904, 1 864, 16 304, 1 127,9.0,8.8,76.9,5.3,40.8,39.9,41.5,,,,,,,
França, 19 064, 1 973, 1 455, 9 884, 5 752,10.3,7.6,51.8,30.2,48.2,49.2,47.2,,,,,,,
China, 16 631, 2 667, 2 044, 11 383,  537,16.0,12.3,68.4,3.2,35.5,35.3,35.6,,,,,,,
Guiné-Bissau, 15 298, 1 667, 3 312, 9 872,  447,10.9,21.6,64.5,2.9,32.7,32.2,33.2,,,,,,,
Índia, 14 130, 1 106, 2 290, 10 574,  160,7.8,16.2,74.8,1.1,30.8,30.8,30.7,,,,,,,
Roménia, 13 837, 1 075, 1 563, 10 948,  251,7.8,11.3,79.1,1.8,37.5,37.7,37.4,,,,,,,
Itália, 13 829, 1 409,  984, 8 421, 3 015,10.2,7.1,60.9,21.8,44.2,46.8,40.8,,,,,,,
Nepal, 13 224,  939, 1 733, 10 482,  70,7.1,13.1,79.3,0.5,31.0,31.4,30.2,,,,,,,
Espanha, 12 811, 1 556,  983, 8 291, 1 981,12.1,7.7,64.7,15.5,43.0,43,43,,,,,,,
Alemanha, 11 193, 1 001,  798, 6 728, 2 666,8.9,7.1,60.1,23.8,47.9,48.8,47,,,,,,,
São Tomé e Príncipe, 10 024, 1 211, 2 604, 5 756,  453,12.1,26.0,57.4,4.5,32.7,30.9,34.1,,,,,,,
Apátridas,  149,  17,  15,  104,  13,11.4,10.1,69.8,8.7,37.3,37.6,36.8,,,,,,,
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",  ,,,,,,,,,,,,,,,,,,
