"Quadro 2.1 - População residente entre os 15 e os 64 anos, por nacionalidade e nível de ensino completo, Portugal, 2021",,,,,,,,
,,,,,,,,
,Total,Nível de ensino completo,,,,,,
,,Nenhum,Ensino básico,,,,Ensino secundário e pós-secundário,Superior
,,,Total,1º ciclo,2º ciclo,3º ciclo,,
População residente,6 588 239, 165 993,2 768 370, 663 454, 733 773,1 371 143,2 066 338,1 587 538
Nacionalidade portuguesa,6 157 391, 127 470,2 651 280, 647 969, 708 332,1 294 979,1 895 544,1 483 097
Nacionalidade estrangeira, 430 729, 38 491, 117 060, 15 478, 25 438, 76 144, 170 752, 104 426
Principais nacionalidades,,,,,,,,
Brasil, 165 683, 10 432, 39 379, 3 929, 8 322, 27 128, 75 194, 40 678
Angola, 24 135, 1 451, 8 121, 1 131, 1 905, 5 085, 9 503, 5 060
Cabo Verde, 22 113, 1 669, 10 796, 3 102, 2 863, 4 831, 7 798, 1 850
Reino Unido, 13 704, 2 948, 1 439,  83,  303, 1 053, 4 933, 4 384
Ucrânia, 18 168, 1 725, 3 972,  346,  570, 3 056, 8 563, 3 908
França, 11 339, 1 321, 2 097,  211,  470, 1 416, 3 563, 4 358
China, 13 427, 1 617, 6 785,  503, 1 484, 4 798, 3 599, 1 426
Guiné-Bissau, 13 184, 1 021, 5 562, 1 071, 1 232, 3 259, 5 108, 1 493
Índia, 12 864, 2 178, 3 947,  677,  734, 2 536, 5 030, 1 709
Roménia, 12 511, 1 134, 4 808,  377, 1 014, 3 417, 5 251, 1 318
Itália, 9 405,  621, 1 078,  47,  158,  873, 2 651, 5 055
Nepal, 12 215, 2 191, 3 171,  494,  409, 2 268, 5 188, 1 665
Espanha, 9 274,  451, 1 707,  208,  397, 1 102, 2 304, 4 812
Alemanha, 7 526,  498, 1 159,  39,  215,  905, 2 964, 2 905
São Tomé e Príncipe, 8 360,  436, 4 647,  770, 1 270, 2 607, 2 719,  558
Apátridas,  117,  32,  30,  7,  3,  20,  42,  13
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,
