"Quadro 2.2 - População residente com 15 ou mais anos, por nacionalidade e principal meio de vida, Portugal, 2021",,,,,,,,
,,,,,,,,
,Total,Meio de vida,,,,,,
,,Trabalho,Reforma /pensão,Subsídio de desemprego,Outros subsídios temporários,Rendimento de propriedade ou de empresa,Cargo da família,Outro
População residente,9 011 878,4 375 176,2 562 597, 214 569, 210 772, 63 503,1 204 540, 380 721
Nacionalidade portuguesa,8 534 944,4 105 856,2 512 489, 198 804, 202 363, 55 359,1 119 411, 340 662
Nacionalidade estrangeira, 476 802, 269 251, 50 106, 15 759, 8 409, 8 143, 85 107, 40 027
Principais nacionalidades,,,,,,,,
Brasil, 170 698, 109 756, 6 291, 7 187, 1 582, 2 534, 33 031, 10 317
Angola, 26 140, 12 137, 1 763, 1 387,  303,  259, 7 799, 2 492
Cabo Verde, 24 958, 13 216, 2 398, 1 457,  459,  38, 5 342, 2 048
Reino Unido, 22 537, 5 602, 10 834,  217,  101,  907, 2 143, 2 733
Ucrânia, 19 295, 12 890,  658, 1 267,  379,  92, 2 749, 1 260
França, 17 091, 5 961, 6 715,  271,  123,  445, 1 937, 1 639
China, 13 964, 8 519,  317,  126,  58,  673, 2 722, 1 549
Guiné-Bissau, 13 631, 6 912,  283,  814,  209,  40, 3 870, 1 503
Índia, 13 024, 9 911,  103,  378,  40,  91, 1 427, 1 074
Roménia, 12 762, 8 792,  259,  681,  196,  47, 1 845,  942
Itália, 12 420, 5 816, 3 203,  215,  65,  413, 1 773,  935
Nepal, 12 285, 8 910,  14,  954,  86,  70, 1 339,  912
Espanha, 11 255, 6 200, 1 843,  326,  118,  269, 1 677,  822
Alemanha, 10 192, 4 301, 2 715,  174,  87,  381, 1 232, 1 302
São Tomé e Príncipe, 8 813, 4 402,  246,  594,  162,  16, 2 425,  968
Apátridas,  132,  69,  2,  6,0,  1,  22,  32
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,
