"Quadro 2.3 - População residente com 15 ou mais anos, por nacionalidade e religião, Portugal, 2021",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total,Religião,,,,,,,,,,,
,,Católica,Ortodoxa,Protestante/Evangélica,Testemunhas de Jeová,Outra cristã,Budista,Hindu,Judaica,Muçulmana,Outra não cristã,Sem religião,Não respondeu
População residente,9 011 878,7 043 016, 60 381, 186 832, 63 609, 90 948, 16 757, 19 471, 2 910, 36 480, 24 366,1 237 130, 229 978
Nacionalidade portuguesa,8 534 944,6 877 333, 29 184, 114 075, 58 646, 63 918, 8 328, 5 495, 1 616, 13 239, 15 676,1 139 121, 208 313
Nacionalidade estrangeira, 476 802, 165 666, 31 175, 72 755, 4 960, 27 028, 8 423, 13 975, 1 293, 23 207, 8 686, 97 976, 21 658
Principais nacionalidades,,,,,,,,,,,,,
Brasil, 170 698, 63 983,  87, 51 319, 1 444, 17 020,  694,  36,  348,  67, 2 407, 28 784, 4 509
Angola, 26 140, 13 011,  10, 4 835, 1 845, 1 732,  18,  1,  4,  61,  226, 3 407,  990
Cabo Verde, 24 958, 18 469,  5,  585,  290,  544,  8,  3,  2,  53,  117, 3 657, 1 225
Reino Unido, 22 537, 2 880,  200, 4 477,  114, 2 441,  176,  119,  133,  156,  289, 10 715,  837
Ucrânia, 19 295, 2 731, 12 734,  299,  97,  353,  9,  6,  7,  36,  62, 1 851, 1 110
França, 17 091, 9 360,  59,  258,  79,  104,  95,  11,  206,  168,  48, 5 757,  946
China, 13 964,  459,  28,  463,  85,  309, 3 827,  5,  9,  10,  195, 7 866,  708
Guiné-Bissau, 13 631, 6 169,  11,  844,  61,  271,  1,  1,  , 4 456,  63,  868,  886
Índia, 13 024,  317,  31,  38,  7,  210,  48, 5 089,  5,  492, 3 848, 1 120, 1 819
Roménia, 12 762, 1 000, 9 372,  409,  95,  167,  7,  ,  12,  32,  54,  946,  668
Itália, 12 420, 7 200,  33,  511,  48,  397,  101,  7,  35,  18,  153, 3 520,  397
Nepal, 12 285,  82,  6,  135,  ,  76, 1 743, 7 973,  5,  44,  128,  493, 1 600
Espanha, 11 255, 6 866,  13,  221,  59,  163,  52,  12,  18,  31,  56, 3 286,  478
Alemanha, 10 192, 2 709,  46, 1 728,  36,  178,  58,  9,  44,  39,  65, 4 640,  640
São Tomé e Príncipe, 8 813, 5 505,  2,  955,  178,  544,  ,  ,  1,  12,  106, 1 145,  365
Apátridas,  132,  17,  22,  2,  3,  2,  6,  1,  1,  34,  4,  33,  7
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,,,,,,
