"Quadro 3.1 - População residente, por nacionalidade e condição perante a atividade económica, Portugal, 2021",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total,Ativa ,,,Inativa ,,,,,,,,
,,Total ,Empregada ,Desempregada ,Total,População com menos de 15 anos ,Estudantes,Domésticos,Reformados,Incapacitados para o trabalho,Outra situação,,
População residente,10 343 066,4 817 978,4 426 461, 391 517,5 525 088,1 331 188, 676 812, 304 480,2 383 397, 153 395, 675 816,,
Nacionalidade portuguesa,9 800 752,4 517 549,4 162 122, 355 427,5 283 203,1 265 808, 640 446, 281 972,2 333 831, 148 878, 612 268,,
Nacionalidade estrangeira, 542 165, 300 356, 264 271, 36 085, 241 809, 65 363, 36 361, 22 497, 49 561, 4 516, 63 511,,
Principais nacionalidades,,,,,,,,,,,,,
Brasil, 199 810, 123 688, 107 638, 16 050, 76 122, 29 112, 13 878, 9 119, 5 600,  684, 17 729,,
Angola, 31 556, 14 542, 11 746, 2 796, 17 014, 5 416, 4 310, 1 041, 1 692,  522, 4 033,,
Cabo Verde, 27 144, 15 207, 12 869, 2 338, 11 937, 2 186, 2 951,  464, 2 122,  703, 3 511,,
Reino Unido, 24 609, 6 346, 5 918,  428, 18 263, 2 072,  553, 1 036, 11 610,  129, 2 863,,
Ucrânia, 21 199, 14 235, 12 627, 1 608, 6 964, 1 904,  720,  624,  750,  232, 2 734,,
França, 19 064, 6 354, 5 922,  432, 12 710, 1 973,  886,  671, 6 421,  180, 2 579,,
China, 16 631, 8 894, 8 711,  183, 7 737, 2 667, 1 329,  923,  482,  48, 2 288,,
Guiné-Bissau, 15 298, 8 253, 6 656, 1 597, 7 045, 1 667, 2 159,  279,  260,  341, 2 339,,
Índia, 14 130, 10 029, 9 350,  679, 4 101, 1 106,  260,  719,  108,  73, 1 835,,
Roménia, 13 837, 9 501, 8 608,  893, 4 336, 1 075,  692,  474,  232,  148, 1 715,,
Itália, 13 829, 6 496, 5 971,  525, 7 333, 1 409,  750,  508, 2 969,  48, 1 649,,
Nepal, 13 224, 9 374, 8 312, 1 062, 3 850,  939,  331,  465,  29,  47, 2 039,,
Espanha, 12 811, 6 761, 6 266,  495, 6 050, 1 556,  626,  747, 1 765,  73, 1 283,,
Alemanha, 11 193, 4 677, 4 418,  259, 6 516, 1 001,  482,  509, 2 657,  97, 1 770,,
São Tomé e Príncipe, 10 024, 5 206, 4 257,  949, 4 818, 1 211, 1 653,  158,  247,  239, 1 310,,
Apátridas,  149,  73,  68,  5,  76,  17,  5,  11,  5,  1,  37,,
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,,,,,,
