"Quadro 3.2 - População residente empregada, por nacionalidade e profissão (grande grupo), Portugal, 2021",,,,,,,,,,,
,,,,,,,,,,,
,Total,Profissão (grande grupo),,,,,,,,,
,,Profissões das Forças Armadas,"Representantes do poder legislativo e de órgãos executivos, dirigentes, directores e gestores executivos",Especialistas das actividades intelectuais e científicas,Técnicos e profissões de nível intermédio,Pessoal administrativo,"Trabalhadores dos serviços pessoais, de protecção e segurança e vendedores","Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta","Trabalhadores qualificados da indústria, construção e artífices",Operadores de instalações e máquinas e trabalhadores da montagem,Trabalhadores não qualificados
População residente,4 426 461, 22 768, 268 144, 806 691, 469 787, 425 704, 815 650, 97 453, 604 029, 232 985, 683 250
Nacionalidade portuguesa,4 162 122, 22 612, 254 811, 775 491, 452 061, 409 776, 754 034, 87 381, 566 458, 222 592, 616 906
Nacionalidade estrangeira, 264 271,  156, 13 329, 31 199, 17 725, 15 925, 61 592, 10 071, 37 562, 10 385, 66 327
Principais nacionalidades,  ,,,,,,,,,,
Brasil, 107 638,  23, 3 713, 12 084, 7 376, 6 276, 28 162, 1 649, 17 066, 5 154, 26 135
Angola, 11 746,  11,  493,  871,  776,  810, 2 874,  104, 2 106,  336, 3 365
Cabo Verde, 12 869,  5,  97,  265,  342,  400, 2 851,  168, 2 733,  395, 5 613
Reino Unido, 5 918,  14, 1 033, 2 125,  879,  434,  704,  130,  256,  70,  273
Ucrânia, 12 627,  4,  193,  511,  415,  412, 1 758,  640, 3 198, 1 179, 4 317
França, 5 922,  9,  977, 1 508,  903,  797,  851,  75,  328,  106,  368
China, 8 711,  1,  808,  282,  261,  294, 6 397,  9,  40,  19,  600
Guiné-Bissau, 6 656,  3,  48,  204,  165,  193, 1 276,  133, 1 827,  134, 2 673
Índia, 9 350,  ,  238,  286,  207,  365, 1 390, 1 547, 1 104,  311, 3 902
Roménia, 8 608,  1,  162,  284,  305,  294, 1 355, 1 024, 1 879,  550, 2 754
Itália, 5 971,  10,  782, 2 039,  774,  932,  768,  20,  204,  136,  306
Nepal, 8 312,  1,  178,  39,  128,  156, 2 444, 1 541,  344,  86, 3 395
Espanha, 6 266,  13,  794, 2 462,  729,  708,  728,  74,  247,  105,  406
Alemanha, 4 418,  8,  577, 1 378,  587,  523,  591,  107,  304,  87,  256
São Tomé e Príncipe, 4 257,  3,  32,  62,  112,  100,  938,  68,  940,  106, 1 896
Apátridas,  68,0,  4,  1,  1,  3,  24,  1,  9,  8,  17
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,,,,
