"Quadro 3.4 - População residente empregada, por nacionalidade e situação na profissão, Portugal, 2021",,,,,
,,,,,
,Total,Situação na profissão,,,
,,Empregador/patrão,Trabalhador por conta própria,Trabalhador por conta de outrem,Outra situação
População residente,4 426 461, 467 418, 420 179,3 435 002, 103 862
Nacionalidade portuguesa,4 162 122, 429 525, 382 192,3 257 434, 92 971
Nacionalidade estrangeira, 264 271, 37 878, 37 979, 177 528, 10 886
Principais nacionalidades,,,,,
Brasil, 107 638, 13 718, 18 416, 70 529, 4 975
Angola, 11 746, 1 312,  970, 8 969,  495
Cabo Verde, 12 869, 1 450,  610, 10 340,  469
Reino Unido, 5 918, 1 368, 1 991, 2 316,  243
Ucrânia, 12 627, 1 470, 1 361, 9 309,  487
França, 5 922, 1 346, 1 146, 3 177,  253
China, 8 711, 2 906, 1 770, 3 721,  314
Guiné-Bissau, 6 656,  743,  334, 5 376,  203
Índia, 9 350, 1 028,  493, 7 608,  221
Roménia, 8 608,  992, 1 099, 6 150,  367
Itália, 5 971, 1 167, 1 086, 3 432,  286
Nepal, 8 312, 1 367,  221, 6 534,  190
Espanha, 6 266,  919,  752, 4 358,  237
Alemanha, 4 418,  849, 1 076, 2 279,  214
São Tomé e Príncipe, 4 257,  441,  177, 3 509,  130
Apátridas,  68,  15,  8,  40,  5
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,
