"Quadro 4.2 - População residente, por nacionalidade e tipo de agregado, Portugal, 2021",,,,,,,,,,
,,,,,,,,,,
,Total,Agregados domésticos privados,,,,,,,Agregados institucionais ,Indivíduos sem teto
,,Total,Agregados sem núcleo familiar,,Agregados com um núcleo familiar,,,Agregados com mais do que um núcleo,,
,,,Só com uma pessoa,Só com pessoas aparentadas e ou não aparentadas,Com casal,,Monoparentais,,,
,,,,,Sem filhos,Com filhos,,,,
População residente,10 343 066,10 194 921,1 027 871, 276 826,2 139 754,4 843 557,1 261 524, 645 389, 146 018, 2 127
Nacionalidade portuguesa,9 800 752,9 660 420, 987 777, 216 445,2 029 489,4 620 484,1 203 445, 602 780, 138 555, 1 777
Nacionalidade estrangeira, 542 165, 534 357, 40 077, 60 357, 110 242, 223 014, 58 062, 42 605, 7 458,  350
Principais nacionalidades,  ,  ,,,,,,,,
Brasil, 199 810, 198 914, 10 858, 16 362, 39 147, 100 268, 18 898, 13 381,  870,  26
Angola, 31 556, 30 891, 2 033, 4 074, 2 222, 11 570, 8 081, 2 911,  630,  35
Cabo Verde, 27 144, 26 341, 1 831, 3 162, 2 556, 9 007, 6 658, 3 127,  756,  47
Reino Unido, 24 609, 24 352, 3 488,  645, 12 401, 5 789, 1 273,  756,  248,  9
Ucrânia, 21 199, 20 976, 1 376, 1 189, 4 818, 9 516, 1 860, 2 217,  189,  34
França, 19 064, 18 918, 2 816, 1 181, 7 076, 5 957, 1 403,  485,  139,  7
China, 16 631, 16 574,  390,  853, 1 366, 9 496,  892, 3 577,  57,0
Guiné-Bissau, 15 298, 14 762,  708, 2 969, 1 140, 4 353, 3 946, 1 646,  519,  17
Índia, 14 130, 13 516,  493, 6 506, 1 232, 3 636,  455, 1 194,  597,  17
Roménia, 13 837, 13 647,  888,  573, 2 316, 7 747, 1 086, 1 037,  141,  49
Itália, 13 829, 13 683, 2 121, 1 653, 4 079, 4 581,  817,  432,  140,  6
Nepal, 13 224, 12 799,  242, 4 088, 1 921, 3 343,  417, 2 788,  419,  6
Espanha, 12 811, 12 569, 1 585, 1 105, 2 922, 5 351, 1 114,  492,  228,  14
Alemanha, 11 193, 11 066, 2 013,  746, 3 554, 3 372, 1 054,  327,  112,  15
São Tomé e Príncipe, 10 024, 9 669,  526, 1 267,  931, 3 300, 2 347, 1 298,  351,  4
Apátridas,  149,  144,  17,  24,  23,  59,  17,  4,  5,0
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,,,
