"Quadro 5.1 - População residente em alojamentos familiares clássicos, por nacionalidade e regime de propriedade do alojamento, Portugal, 2021",,,,
,,,,
,Total,Regime de propriedade do alojamento,,
,,Propriedade ou copropriedade,Arrendamento ou subarrendamento,"Outra situação (cedência gratuita, porteiro/a,...)"
População residente,10 178 146,7 250 070,2 190 584, 737 492
Nacionalidade portuguesa,9 647 174,7 069 835,1 882 878, 694 461
Nacionalidade estrangeira, 530 828, 180 163, 307 679, 42 986
Principais nacionalidades,  ,,,
Brasil, 198 461, 45 352, 138 626, 14 483
Angola, 30 806, 12 146, 16 270, 2 390
Cabo Verde, 26 194, 6 995, 17 227, 1 972
Reino Unido, 24 079, 18 093, 4 623, 1 363
Ucrânia, 20 913, 7 559, 11 160, 2 194
França, 18 834, 11 837, 5 771, 1 226
China, 16 291, 8 708, 6 453, 1 130
Guiné-Bissau, 14 731, 2 768, 10 976,  987
Índia, 13 254, 1 515, 10 251, 1 488
Roménia, 13 549, 4 188, 7 613, 1 748
Itália, 13 623, 5 216, 7 436,  971
Nepal, 12 681, 1 603, 9 597, 1 481
Espanha, 12 501, 6 584, 5 001,  916
Alemanha, 10 885, 6 931, 2 956,  998
São Tomé e Príncipe, 9 452, 1 939, 6 706,  807
Apátridas,  144,  72,  27,  45
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,
