"Quadro 5.2 - População residente em alojamentos familares clássicos, por nacionalidade e índice de lotação do alojamento, Portugal, 2021",,,,
,,,,
,Total,Índice de lotação,,
,,Alojamento  sublotado,Alojamento com lotação normal,Alojamento sobrelotado
População residente,10 178 146,5 682 518,2 638 989,1 856 639
Nacionalidade portuguesa,9 647 174,5 495 766,2 494 888,1 656 520
Nacionalidade estrangeira, 530 828, 186 708, 144 057, 200 063
Principais nacionalidades,,,,
Brasil, 198 461, 66 689, 64 194, 67 578
Angola, 30 806, 7 121, 7 133, 16 552
Cabo Verde, 26 194, 5 132, 6 853, 14 209
Reino Unido, 24 079, 17 675, 3 945, 2 459
Ucrânia, 20 913, 6 192, 6 735, 7 986
França, 18 834, 12 224, 4 311, 2 299
China, 16 291, 4 683, 4 012, 7 596
Guiné-Bissau, 14 731, 1 947, 3 051, 9 733
Índia, 13 254, 1 459, 2 246, 9 549
Roménia, 13 549, 3 840, 4 552, 5 157
Itália, 13 623, 6 465, 4 440, 2 718
Nepal, 12 681, 1 109, 2 163, 9 409
Espanha, 12 501, 6 794, 3 383, 2 324
Alemanha, 10 885, 6 583, 2 652, 1 650
São Tomé e Príncipe, 9 452, 1 430, 2 187, 5 835
Apátridas,  144,  44,  44,  56
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,
