"População residente por sexo, NUTS II, 2011-2021",,,,,,,,,,,,,,,,
,,,,,,,,Número,,,,,,,,
NUTSII,População residente,,,,,,Variação 2011-2021,,,,,,,,,
,2011,,,,2021,,,,,,,,,,,
,HM,H,M,HM,H,M,HM,%,,,,,,,,
Portugal ,10 562 178,5 046 600,5 515 578,10 343 066,4 920 220,5 422 846,- 219 112,-2.1,,,,,,,,
Norte,3 689 682,1 766 260,1 923 422,3 586 586,1 707 820,1 878 766,- 103 096,-2.8,,,,,,,,
Centro,2 327 755,1 111 263,1 216 492,2 227 239,1 060 611,1 166 628,- 100 516,-4.3,,,,,,,,
AM  Lisboa,2 821 876,1 334 605,1 487 271,2 870 208,1 350 446,1 519 762, 48 332,1.7,,,,,,,,
Alentejo, 757 302, 366 739, 390 563, 704 533, 341 403, 363 130,- 52 769,-7.0,,,,,,,,
Algarve, 451 006, 219 931, 231 075, 467 343, 226 775, 240 568, 16 337,3.6,,,,,,,,
RA Açores, 246 772, 121 534, 125 238, 236 413, 115 480, 120 933,- 10 359,-4.2,,,,,,,,
RA Madeira, 267 785, 126 268, 141 517, 250 744, 117 685, 133 059,- 17 041,-6.4,,,,,,,,
,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
