"População residente, por estado civil e sexo, NUTS II, 2021",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Número
NUTS II,TOTAL,Solteiro,,,Casado,,,Divorciado,,,Viúvo,,
,,HM,H,M,HM,H,M,HM,H,M,HM,H,M
Portugal ,10 343 066,4 495 408,2 310 057,2 185 351,4 237 312,2 116 858,2 120 454, 830 227, 345 866, 484 361, 780 119, 147 439, 632 680
Norte,3 586 586,1 469 631, 751 412, 718 219,1 604 343, 799 574, 804 769, 255 547, 106 806, 148 741, 257 065, 50 028, 207 037
Centro,2 227 239, 879 265, 458 258, 421 007, 981 264, 490 125, 491 139, 172 314, 74 502, 97 812, 194 396, 37 726, 156 670
AM  Lisboa,2 870 208,1 410 947, 710 381, 700 566,1 003 520, 501 607, 501 913, 263 771, 103 578, 160 193, 191 970, 34 880, 157 090
Alentejo, 704 533, 297 029, 160 149, 136 880, 284 597, 143 455, 141 142, 56 060, 25 040, 31 020, 66 847, 12 759, 54 088
Algarve, 467 343, 218 489, 115 226, 103 263, 171 664, 86 366, 85 298, 43 585, 18 836, 24 749, 33 605, 6 347, 27 258
RA Açores, 236 413, 105 575, 56 586, 48 989, 95 590, 47 763, 47 827, 19 113, 8 586, 10 527, 16 135, 2 545, 13 590
RA Madeira, 250 744, 114 472, 58 045, 56 427, 96 334, 47 968, 48 366, 19 837, 8 518, 11 319, 20 101, 3 154, 16 947
,,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,,
