"População residente, por residência relativamente a 31/12/2019, NUTS II, 2021",,,,,,,
,,,,,,,
,,,,,,,Número
NUTS II,Total ,Ainda não tinha nascido,Sem alteração de residência, Alteração de residência ,,,
,,,,Dentro da mesma freguesia,Proveniente de outra freguesia do mesmo município,Proveniente de outro município,Proveniente do estrangeiro
Portugal ,10 343 066, 98 007,8 826 453, 290 260, 253 816, 728 061, 146 469
Norte,3 586 586, 32 160,3 102 333, 81 951, 96 865, 230 158, 43 119
Centro,2 227 239, 19 005,1 910 266, 64 372, 49 420, 154 138, 30 038
AM  Lisboa,2 870 208, 31 006,2 398 524, 86 800, 72 383, 231 524, 49 971
Alentejo, 704 533, 6 419, 603 820, 26 351, 12 010, 48 387, 7 546
Algarve, 467 343, 4 657, 391 232, 19 546, 7 858, 33 295, 10 755
RA Açores, 236 413, 2 543, 202 921, 5 774, 8 668, 15 158, 1 349
RA Madeira, 250 744, 2 217, 217 357, 5 466, 6 612, 15 401, 3 691
,,,,,,,
