"População residente com ensino superior completo, por grau de ensino superior,  NUTS II, 2021",,,,,,
,,,,,,
,,,,,,Número
NUTS II,Total,Ensino superior,,,,
,,Curso técnico superior profissional,Bacharelato,Licenciatura,Mestrado,Doutoramento
Portugal ,1 782 888, 16 542, 130 800,1 207 858, 374 991, 52 697
Norte, 559 421, 5 697, 37 748, 378 017, 121 777, 16 182
Centro, 342 660, 3 867, 26 329, 234 742, 68 025, 9 697
AM  Lisboa, 654 615, 4 599, 48 902, 433 997, 145 758, 21 359
Alentejo, 90 551, 1 023, 7 016, 65 199, 15 304, 2 009
Algarve, 69 898,  585, 6 950, 48 419, 11 873, 2 071
RA Açores, 29 647,  332, 1 763, 21 197, 5 675,  680
RA Madeira, 36 096,  439, 2 092, 26 287, 6 579,  699
,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,
