"População residente com ensino superior completo, por áreas de estudo, NUTS II, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Número,
NUTS II,Total,Áreas de estudo,,,,,,,,,,
,,Educação,Artes e humanidades,"Ciências sociais, jornalismo e informação","Ciências empresariais, administração e direito","Ciências naturais, matemática e estatística",Tecnologias da informação e comunicação (TICs),"Engenharia, indústrias transformadoras e construção","Agricultura, silvicultura, pescas e ciências veterinárias",Saúde e proteção social,Serviços,
Portugal ,1 782 888, 201 178, 192 833, 207 824, 389 552, 79 870, 62 837, 263 677, 36 432, 271 131, 77 554,
Norte, 559 421, 72 892, 57 342, 60 089, 112 326, 23 208, 20 119, 87 474, 9 210, 93 774, 22 987,
Centro, 342 660, 46 219, 36 827, 31 095, 67 550, 16 509, 11 115, 52 181, 8 395, 58 023, 14 746,
AM  Lisboa, 654 615, 47 578, 74 949, 92 217, 167 084, 29 914, 25 826, 98 072, 9 747, 81 914, 27 314,
Alentejo, 90 551, 13 458, 9 135, 9 142, 16 553, 3 784, 2 508, 10 714, 5 837, 14 794, 4 626,
Algarve, 69 898, 8 660, 7 700, 7 818, 15 357, 3 201, 1 488, 9 178, 1 663, 10 609, 4 224,
RA Açores, 29 647, 5 849, 2 655, 3 351, 4 376, 1 660,  639, 2 752, 1 122, 5 827, 1 416,
RA Madeira, 36 096, 6 522, 4 225, 4 112, 6 306, 1 594, 1 142, 3 306,  458, 6 190, 2 241,
,,,,,,,,,,,,
