"População residente com 15 ou mais anos, por condição perante o trabalho, NUTS II, 2021",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Número,
NUTS II,Total,População ativa,,,População não ativa ,,,,,,
,,Total ,Empregada,Desempregada ,Total ,Reformada ,Doméstica ,Estudante ,Incapacitada para o trabalho ,Outra situação ,
Portugal ,9 011 878,4 817 978,4 426 461, 391 517,4 193 900,2 383 397, 304 480, 676 812, 153 395, 675 816,
Norte,3 146 421,1 688 814,1 546 569, 142 245,1 457 607, 817 675, 117 283, 234 516, 56 968, 231 165,
Centro,1 963 840, 996 554, 936 569, 59 985, 967 286, 590 252, 71 847, 141 994, 34 534, 128 659,
AM  Lisboa,2 458 995,1 377 766,1 256 872, 120 894,1 081 229, 591 121, 67 403, 197 432, 31 186, 194 087,
Alentejo, 617 394, 313 915, 292 269, 21 646, 303 479, 191 632, 16 919, 41 745, 9 673, 43 510,
Algarve, 404 562, 213 311, 188 144, 25 167, 191 251, 107 207, 12 127, 27 051, 6 252, 38 614,
RA Açores, 201 860, 113 166, 105 396, 7 770, 88 694, 39 369, 9 776, 15 664, 6 108, 17 777,
RA Madeira, 218 806, 114 452, 100 642, 13 810, 104 354, 46 141, 9 125, 18 410, 8 674, 22 004,
,,,,,  ,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,
