"População empregada, por profissão (1 dígito) e sexo, 2021",,,,
,,,,
,,,Número,
Profissão,População empregada,,,
,HM,H,M,
Total,4 426 461,2 256 526,2 169 935,
Profissões das Forças Armadas, 22 768, 20 158, 2 610,
"Representantes do poder legislativo e de órgãos executivos, dirigentes, directores e gestores executivos", 268 144, 169 661, 98 483,
Especialistas das actividades intelectuais e científicas, 806 691, 325 279, 481 412,
Técnicos e profissões de nível intermédio, 469 787, 249 539, 220 248,
Pessoal administrativo, 425 704, 158 913, 266 791,
"Trabalhadores dos serviços pessoais, de protecção e segurança e vendedores", 815 650, 309 984, 505 666,
"Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta", 97 453, 75 903, 21 550,
"Trabalhadores qualificados da indústria, construção e artífices", 604 029, 499 376, 104 653,
Operadores de instalações e máquinas e trabalhadores da montagem, 232 985, 194 348, 38 637,
Trabalhadores não qualificados , 683 250, 253 365, 429 885,
,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
