"População com 15 ou mais anos, por condição perante o trabalho e nível de escolaridade e sexo, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,,Número
Nível de escolaridade,População empregada,,,População desempregada,,,População não activa,,
,HM,H,M,HM,H,M,HM,H,M
Total ,4 426 461,2 256 526,2 169 935, 391 517, 178 942, 212 575,4 193 900,1 802 508,2 391 392
Sem nível de ensino, 42 064, 23 476, 18 588, 14 454, 6 463, 7 991, 471 570, 152 224, 319 346
Ensino Básico 1º ciclo, 387 984, 222 807, 165 177, 37 667, 18 750, 18 917,1 582 424, 663 560, 918 864
Ensino Básico 2º ciclo, 475 695, 292 477, 183 218, 45 293, 23 839, 21 454, 343 524, 161 161, 182 363
Ensino Básico 3º ciclo, 800 846, 465 801, 335 045, 83 086, 40 731, 42 355, 720 721, 349 799, 370 922
Ensino Secundário/pós-secundário,1 379 164, 715 152, 664 012, 139 582, 62 363, 77 219, 704 916, 326 591, 378 325
Ensino Superior ,1 340 708, 536 813, 803 895, 71 435, 26 796, 44 639, 370 745, 149 173, 221 572
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
