"População residente que trabalha ou estuda com movimentos pendulares (que vive no alojamento a maior parte do ano) por duração da deslocação, NUTS II, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
NUTS II,Total,Duração de deslocação (minutos),,,,,,,,,,
,,Até 15 ,16 - 30 ,31 - 60 ,61 - 90 ,Mais de 90 ,,,,,,
Portugal ,5 448 784,2 948 055,1 616 589, 683 603, 138 328, 62 209,,,,,,
Norte,1 890 446,1 071 666, 559 017, 204 076, 34 335, 21 352,,,,,,
Centro,1 132 371, 703 169, 300 125, 95 534, 19 632, 13 911,,,,,,
AM  Lisboa,1 572 625, 641 866, 520 980, 317 405, 72 311, 20 063,,,,,,
Alentejo, 357 171, 224 997, 87 013, 32 089, 8 462, 4 610,,,,,,
Algarve, 233 257, 150 330, 63 893, 15 809, 1 661, 1 564,,,,,,
RA Açores, 134 006, 87 478, 39 626, 6 118,  533,  251,,,,,,
RA Madeira, 128 908, 68 549, 45 935, 12 572, 1 394,  458,,,,,,
,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Q269
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
