"População residente com 5 ou mais anos que respondeu às questões das dificuldades* por tipo e grau de dificuldade, 2021",,,,,
,,,,,
,,,,,Número
Tipo de dificuldade ,Total ,Grau de dificuldade,,,
,,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação
Ver,9 602 375,6 698 741,2 551 505, 328 733, 23 396
Ouvir,9 568 004,8 167 779,1 118 410, 258 164, 23 651
Andar ou subir degraus ,9 607 953,7 587 668,1 413 150, 496 246, 110 889
Memória ou concentração ,9 593 388,7 488 580,1 764 621, 259 778, 80 409
Tomar banho ou vestir-se sozinho,9 604 521,8 801 589, 503 856, 130 481, 168 595
Compreender os outros ou fazer-se compreender,9 600 046,8 964 709, 481 412, 102 624, 51 301
,,,,,
* Questões de resposta facultativa,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,
