"Agregados domésticos privados, por dimensão, NUTS II, 2021",,,,,,,,
,,,,,,,,
,,,,,,Número,,
NUTS II,Dimensão,,,,,,,
,Total,Com 1 pessoa,Com 2 pessoas,Com 3 pessoas ,Com 4 pessoas,Com 5  pessoas ou mais,,
Portugal ,4 149 096,1 027 871,1 382 996, 894 451, 611 861, 231 917,,
Norte,1 380 696, 290 181, 450 114, 328 279, 226 902, 85 220,,
Centro, 909 312, 229 461, 319 732, 188 276, 129 630, 42 213,,
AM  Lisboa,1 192 984, 336 274, 392 111, 238 291, 160 982, 65 326,,
Alentejo, 291 767, 79 290, 101 944, 59 369, 38 116, 13 048,,
Algarve, 194 192, 52 913, 66 719, 38 397, 25 823, 10 340,,
RA Açores, 85 301, 17 348, 24 853, 19 968, 14 948, 8 184,,
RA Madeira, 94 844, 22 404, 27 523, 21 871, 15 460, 7 586,,
,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,
