"Agregados domésticos privados unipessoais, por grupo etário e sexo, NUTS II, 2021",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Número
NUTS II,Total ,Grupo etário,,,,,,,,
,,Menos de 25,,, 25 - 64 ,,, 65 ou mais,,
,,HM,H,M,HM,H,M,HM,H,M
Portugal ,1 027 871, 14 966, 7 224, 7 742, 495 759, 251 720, 244 039, 517 146, 137 573, 379 573
Norte, 290 181, 4 326, 2 046, 2 280, 137 849, 68 311, 69 538, 148 006, 38 355, 109 651
Centro, 229 461, 3 213, 1 505, 1 708, 99 581, 52 232, 47 349, 126 667, 34 489, 92 178
AM  Lisboa, 336 274, 5 302, 2 573, 2 729, 175 700, 85 980, 89 720, 155 272, 39 214, 116 058
Alentejo, 79 290,  950,  502,  448, 34 023, 19 367, 14 656, 44 317, 12 476, 31 841
Algarve, 52 913,  685,  339,  346, 26 919, 14 463, 12 456, 25 309, 8 706, 16 603
RA Açores, 17 348,  273,  146,  127, 9 858, 5 338, 4 520, 7 217, 1 864, 5 353
RA Madeira, 22 404,  217,  113,  104, 11 829, 6 029, 5 800, 10 358, 2 469, 7 889
,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,
