"Alojamentos familiares clássicos de residência habitual, por regime propriedade, NUTS II, 2021",,,,,
,,,,,
,,,,Número,
NUTS II,Total,Regime de propriedade ,,,
,,Proprietários ou coproprietários,Arrendatários ou subarrendatários,Outra situação,
Portugal ,4 142 581,2 900 093, 922 810, 319 678,
Norte,1 379 430, 962 352, 306 252, 110 826,
Centro, 907 883, 701 937, 143 234, 62 712,
AM  Lisboa,1 191 363, 758 598, 347 994, 84 771,
Alentejo, 290 644, 213 978, 49 409, 27 257,
Algarve, 193 395, 129 301, 44 545, 19 549,
RA Açores, 85 074, 63 401, 14 653, 7 020,
RA Madeira, 94 792, 70 526, 16 723, 7 543,
,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,
