"Alojamentos familiares clássicos de residência habitual, por índice de lotação, NUTS II, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,Número,
NUTS II, Índice de lotação,,,,,,,,
,Total,Alojamentos sublotados (nº de divisões excedentes) ,,,Normal, Alojamentos sobrelotados (nº de divisões em falta),,,
,,3 ou mais divisões,2 divisões, 1 divisão,,Com 1 divisão ,Com 2 divisão ,com 3 ou mais divisões ,
Portugal ,4 142 581, 634 791, 802 522,1 197 649, 979 764, 403 851, 95 806, 28 198,
Norte,1 379 430, 234 207, 270 089, 380 543, 324 403, 133 803, 29 445, 6 940,
Centro, 907 883, 202 968, 214 321, 246 372, 166 740, 61 888, 12 523, 3 071,
AM  Lisboa,1 191 363, 97 296, 192 729, 386 210, 333 969, 134 750, 34 416, 11 993,
Alentejo, 290 644, 50 588, 63 615, 86 640, 60 348, 22 848, 4 906, 1 699,
Algarve, 193 395, 21 453, 33 563, 55 462, 50 251, 24 492, 6 418, 1 756,
RA Açores, 85 074, 17 956, 14 926, 19 388, 18 002, 10 233, 3 282, 1 287,
RA Madeira, 94 792, 10 323, 13 279, 23 034, 26 051, 15 837, 4 816, 1 452,
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
