 Alojamentos familiares clássicos de residência habitual, por anos de residência do agregado no alojamento, NUTS II, 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;Número
NUTSII;Total;Anos de residência no alojamento;;;;;;;;;
;;Menos de 1 ;1 - 4 ;5 - 9;10 - 14 ;15 - 19 ;20 - 24;25 - 29;30 -34 ;35 - 39;40 e mais 
Portugal ;4 142 581; 80 368; 938 564; 431 568; 419 809; 420 138; 466 987; 218 485; 292 735; 180 453; 693 474
Norte;1 379 430; 24 000; 284 437; 139 960; 138 747; 145 368; 175 389; 79 368; 105 844; 63 251; 223 066
Centro; 907 883; 15 991; 191 326; 79 925; 83 878; 88 587; 98 215; 51 015; 72 431; 46 326; 180 189
AM  Lisboa;1 191 363; 28 602; 306 452; 144 088; 127 431; 116 767; 124 583; 54 288; 63 863; 41 010; 184 279
Alentejo; 290 644; 4 499; 64 455; 27 026; 28 744; 28 384; 29 618; 14 990; 23 432; 14 645; 54 851
Algarve; 193 395; 4 154; 54 061; 24 148; 21 017; 20 004; 19 116; 8 903; 12 751; 6 975; 22 266
RA Açores; 85 074; 1 503; 18 824; 8 548; 9 851; 9 252; 8 707; 4 803; 6 755; 4 063; 12 768
RA Madeira; 94 792; 1 619; 19 009; 7 873; 10 141; 11 776; 11 359; 5 118; 7 659; 4 183; 16 055
;;;;;;;;;;;
Fonte: INE, Recenseamentos da População e Habitação;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
