Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
Angola;POPULAÇÃO RESIDENTE;Total;26954;37014;100,00%;
Angola;POPULAÇÃO RESIDENTE;Homens;12749;18849;47,30%;
Angola;POPULAÇÃO RESIDENTE;Mulheres;14205;18165;52,70%;
Angola;POPULAÇÃO RESIDENTE;Idade média;34,9 anos;;;
Angola;MUNICÍPIOS (Top 5);Sintra;5468;;20,29%;
Angola;MUNICÍPIOS (Top 5);Loures;2236;;8,30%;
Angola;MUNICÍPIOS (Top 5);Lisboa;1966;;7,29%;
Angola;MUNICÍPIOS (Top 5);Odivelas;1737;;6,44%;
Angola;MUNICÍPIOS (Top 5);Amadora;1690;;6,27%;
Angola;ESTADO CIVIL;Solteiro;18861;;69,97%;
Angola;ESTADO CIVIL;Casado;6307;;23,40%;
Angola;ESTADO CIVIL;Divorciado;976;;3,62%;
Angola;ESTADO CIVIL;Viúvo;810;;3,01%;
Angola;UNIÃO DE FACTO;Vive em união de facto;5896;;;População com 15+ anos
Angola;UNIÃO DE FACTO;Não vive em união de facto;15228;;;População com 15+ anos
Angola;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;23035;;100,00%;
Angola;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;8357;;36,28%;
Angola;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;7988;;34,72%;
Angola;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;4999;;21,57%;
Angola;NÍVEL DE ENSINO (15-64 anos);Superior;1711;;7,43%;
Angola;MEIO DE VIDA (15+ anos);Total População 15+;24209;;100,00%;
Angola;MEIO DE VIDA (15+ anos);Trabalho;12172;;50,28%;
Angola;MEIO DE VIDA (15+ anos);Cargo da família;5764;;23,81%;
Angola;MEIO DE VIDA (15+ anos);Subsídio de desemprego;1783;;7,37%;
Angola;MEIO DE VIDA (15+ anos);Outro;2259;;9,33%;
Angola;MEIO DE VIDA (15+ anos);Reforma/Pensão;1272;;5,25%;
Angola;MEIO DE VIDA (15+ anos);Outros subsídios temporários;959;;3,96%;
Angola;ATIVIDADE ECONÔMICA;Total População;26954;;100,00%;
Angola;ATIVIDADE ECONÔMICA;Ativa;16073;;59,63%;
Angola;ATIVIDADE ECONÔMICA;Empregada;11399;;42,29%;
Angola;ATIVIDADE ECONÔMICA;Desempregada;4674;;17,34%;
Angola;ATIVIDADE ECONÔMICA;Inativa;10881;;40,37%;
Angola;ATIVIDADE ECONÔMICA;<15 anos;2745;;10,18%;
Angola;ATIVIDADE ECONÔMICA;Estudantes;3065;;11,37%;
Angola;ATIVIDADE ECONÔMICA;Domésticos;887;;3,29%;
Angola;ATIVIDADE ECONÔMICA;Outra situação;3006;;11,15%;
Angola;ATIVIDADE ECONÔMICA;Reformados;1178;;4,37%;
Angola;PROFISSÕES (Empregados);Total Empregados;11399;;100,00%;
Angola;PROFISSÕES (Empregados);Limpeza (casas, hotéis, escritórios);2014;;17,67%;
Angola;PROFISSÕES (Empregados);Trab. qualif. construção;995;;8,73%;
Angola;PROFISSÕES (Empregados);Cozinheiro;849;;7,45%;
Angola;RAMOS DE ATIVIDADE;Total Empregados;11399;;100,00%;
Angola;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;1672;;14,67%;
Angola;RAMOS DE ATIVIDADE;Restauração e similares;1399;;12,27%;
Angola;RAMOS DE ATIVIDADE;Comércio a retalho;1052;;9,23%;
Angola;REALIGIÃO (15+ anos);Total População 15+;24209;;100,00%;
Angola;REALIGIÃO (15+ anos);Católica;12661;;52,30%;
Angola;REALIGIÃO (15+ anos);Outra cristã;3688;;15,24%;
Angola;REALIGIÃO (15+ anos);Sem religião;2082;;8,60%;
