Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
Brasil;POPULAÇÃO RESIDENTE;Total;109787;31869;100,00%;
Brasil;POPULAÇÃO RESIDENTE;Homens;46249;16948;42,13%;
Brasil;POPULAÇÃO RESIDENTE;Mulheres;63538;14921;57,87%;
Brasil;POPULAÇÃO RESIDENTE;Idade média;30,9 anos;;;
Brasil;MUNICÍPIOS (Top 5);Lisboa;10982;;10,00%;
Brasil;MUNICÍPIOS (Top 5);Sintra;8642;;7,87%;
Brasil;MUNICÍPIOS (Top 5);Cascais;6723;;6,12%;
Brasil;MUNICÍPIOS (Top 5);Almada;4598;;4,19%;
Brasil;MUNICÍPIOS (Top 5);Amadora;4290;;3,91%;
Brasil;ESTADO CIVIL;Solteiro;59550;;54,24%;
Brasil;ESTADO CIVIL;Casado;41224;;37,55%;
Brasil;ESTADO CIVIL;Divorciado;7668;;6,98%;
Brasil;ESTADO CIVIL;Viúvo;1345;;1,23%;
Brasil;UNIÃO DE FACTO;Vive em união de facto;21378;;;População com 15+ anos
Brasil;UNIÃO DE FACTO;Não vive em união de facto;50557;;;População com 15+ anos
Brasil;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;93545;;100,00%;
Brasil;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;24498;;26,19%;
Brasil;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;21132;;22,59%;
Brasil;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;38411;;41,05%;
Brasil;NÍVEL DE ENSINO (15-64 anos);Superior;9504;;10,16%;
Brasil;MEIO DE VIDA (15+ anos);Total População 15+;94721;;100,00%;
Brasil;MEIO DE VIDA (15+ anos);Trabalho;65358;;69,00%;
Brasil;MEIO DE VIDA (15+ anos);Cargo da família;16755;;17,69%;
Brasil;MEIO DE VIDA (15+ anos);Subsídio de desemprego;4520;;4,77%;
Brasil;MEIO DE VIDA (15+ anos);Outro;5212;;5,50%;
Brasil;MEIO DE VIDA (15+ anos);Reforma/Pensão;1363;;1,44%;
Brasil;MEIO DE VIDA (15+ anos);Outros subsídios temporários;1513;;1,60%;
Brasil;ATIVIDADE ECONÔMICA;Total População;109787;;100,00%;
Brasil;ATIVIDADE ECONÔMICA;Ativa;75612;;68,87%;
Brasil;ATIVIDADE ECONÔMICA;Empregada;63059;;57,44%;
Brasil;ATIVIDADE ECONÔMICA;Desempregada;12553;;11,43%;
Brasil;ATIVIDADE ECONÔMICA;Inativa;34175;;31,13%;
Brasil;ATIVIDADE ECONÔMICA;<15 anos;15064;;13,72%;
Brasil;ATIVIDADE ECONÔMICA;Estudantes;6508;;5,93%;
Brasil;ATIVIDADE ECONÔMICA;Domésticos;4568;;4,16%;
Brasil;ATIVIDADE ECONÔMICA;Outra situação;6852;;6,24%;
Brasil;ATIVIDADE ECONÔMICA;Reformados;1183;;1,08%;
Brasil;PROFISSÕES (Empregados);Total Empregados;63059;;100,00%;
Brasil;PROFISSÕES (Empregados);Limpeza (casas, hotéis, escritórios);10018;;15,89%;
Brasil;PROFISSÕES (Empregados);Vendedores em lojas;6292;;9,98%;
Brasil;PROFISSÕES (Empregados);Cozinheiro;3901;;6,19%;
Brasil;RAMOS DE ATIVIDADE;Total Empregados;63059;;100,00%;
Brasil;RAMOS DE ATIVIDADE;Restauração e similares;10465;;16,60%;
Brasil;RAMOS DE ATIVIDADE;Comércio a retalho;6686;;10,60%;
Brasil;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;5937;;9,41%;
Brasil;REALIGIÃO (15+ anos);Total População 15+;94721;;100,00%;
Brasil;REALIGIÃO (15+ anos);Católica;44730;;47,22%;
Brasil;REALIGIÃO (15+ anos);Outra cristã;16711;;17,64%;
Brasil;REALIGIÃO (15+ anos);Protestante;13669;;14,43%;
