Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
Espanha;POPULAÇÃO RESIDENTE;Total;10486;9047;100,00%;
Espanha;POPULAÇÃO RESIDENTE;Homens;4776;3999;45,55%;
Espanha;POPULAÇÃO RESIDENTE;Mulheres;5710;5048;54,45%;
Espanha;POPULAÇÃO RESIDENTE;Idade média;41,0 anos;;;
Espanha;MUNICÍPIOS (Top 5);Lisboa;1815;;17,31%;
Espanha;MUNICÍPIOS (Top 5);Cascais;711;;6,78%;
Espanha;MUNICÍPIOS (Top 5);Oeiras;542;;5,17%;
Espanha;MUNICÍPIOS (Top 5);Porto;359;;3,42%;
Espanha;MUNICÍPIOS (Top 5);Sintra;320;;3,05%;
Espanha;ESTADO CIVIL;Solteiro;4746;;45,26%;
Espanha;ESTADO CIVIL;Casado;4412;;42,08%;
Espanha;ESTADO CIVIL;Divorciado;692;;6,60%;
Espanha;ESTADO CIVIL;Viúvo;636;;6,07%;
Espanha;UNIÃO DE FACTO;Vive em união de facto;1615;;;População com 15+ anos
Espanha;UNIÃO DE FACTO;Não vive em união de facto;4613;;;População com 15+ anos
Espanha;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;7179;;100,00%;
Espanha;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;1388;;19,34%;
Espanha;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;1138;;15,85%;
Espanha;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;1522;;21,20%;
Espanha;NÍVEL DE ENSINO (15-64 anos);Superior;3130;;43,61%;
Espanha;MEIO DE VIDA (15+ anos);Total População 15+;8939;;100,00%;
Espanha;MEIO DE VIDA (15+ anos);Trabalho;4609;;51,56%;
Espanha;MEIO DE VIDA (15+ anos);Cargo da família;1508;;16,87%;
Espanha;MEIO DE VIDA (15+ anos);Subsídio de desemprego;224;;2,51%;
Espanha;MEIO DE VIDA (15+ anos);Outro;735;;8,22%;
Espanha;MEIO DE VIDA (15+ anos);Reforma/Pensão;1686;;18,86%;
Espanha;MEIO DE VIDA (15+ anos);Outros subsídios temporários;177;;1,98%;
Espanha;ATIVIDADE ECONÔMICA;Total População;10486;;100,00%;
Espanha;ATIVIDADE ECONÔMICA;Ativa;5284;;50,39%;
Espanha;ATIVIDADE ECONÔMICA;Empregada;4663;;44,47%;
Espanha;ATIVIDADE ECONÔMICA;Desempregada;621;;5,92%;
Espanha;ATIVIDADE ECONÔMICA;Inativa;5202;;49,61%;
Espanha;ATIVIDADE ECONÔMICA;<15 anos;1547;;14,75%;
Espanha;ATIVIDADE ECONÔMICA;Estudantes;466;;4,44%;
Espanha;ATIVIDADE ECONÔMICA;Domésticos;725;;6,91%;
Espanha;ATIVIDADE ECONÔMICA;Outra situação;817;;7,79%;
Espanha;ATIVIDADE ECONÔMICA;Reformados;1647;;15,71%;
Espanha;PROFISSÕES (Empregados);Total Empregados;4663;;100,00%;
Espanha;PROFISSÕES (Empregados);Médicos;389;;8,34%;
Espanha;PROFISSÕES (Empregados);Profissionais de enfermagem;220;;4,72%;
Espanha;PROFISSÕES (Empregados);Vendedores em lojas;260;;5,58%;
Espanha;RAMOS DE ATIVIDADE;Total Empregados;4663;;100,00%;
Espanha;RAMOS DE ATIVIDADE;Atividades de saúde humana;754;;16,17%;
Espanha;RAMOS DE ATIVIDADE;Comércio a retalho;515;;11,04%;
Espanha;RAMOS DE ATIVIDADE;Educação;492;;10,55%;
Espanha;REALIGIÃO (15+ anos);Total População 15+;8939;;100,00%;
Espanha;REALIGIÃO (15+ anos);Católica;6302;;70,50%;
Espanha;REALIGIÃO (15+ anos);Sem religião;1216;;13,60%;
