Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
República da Moldávia;POPULAÇÃO RESIDENTE;Total;10475;2984;100,00%;
República da Moldávia;POPULAÇÃO RESIDENTE;Homens;5317;2474;50,75%;
República da Moldávia;POPULAÇÃO RESIDENTE;Mulheres;5158;510;49,25%;
República da Moldávia;POPULAÇÃO RESIDENTE;Idade média;30,7 anos;;;
República da Moldávia;MUNICÍPIOS (Top 5);Portimão;810;;7,73%;
República da Moldávia;MUNICÍPIOS (Top 5);Cascais;684;;6,53%;
República da Moldávia;MUNICÍPIOS (Top 5);Sintra;623;;5,95%;
República da Moldávia;MUNICÍPIOS (Top 5);Loulé;472;;4,51%;
República da Moldávia;MUNICÍPIOS (Top 5);Faro;400;;3,82%;
República da Moldávia;ESTADO CIVIL;Solteiro;4065;;38,81%;
República da Moldávia;ESTADO CIVIL;Casado;5897;;56,30%;
República da Moldávia;ESTADO CIVIL;Divorciado;405;;3,87%;
República da Moldávia;ESTADO CIVIL;Viúvo;108;;1,03%;
República da Moldávia;UNIÃO DE FACTO;Vive em união de facto;712;;;População com 15+ anos
República da Moldávia;UNIÃO DE FACTO;Não vive em união de facto;4060;;;População com 15+ anos
República da Moldávia;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;8864;;100,00%;
República da Moldávia;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;950;;10,72%;
República da Moldávia;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;2571;;29,01%;
República da Moldávia;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;3581;;40,40%;
República da Moldávia;NÍVEL DE ENSINO (15-64 anos);Superior;1762;;19,88%;
República da Moldávia;MEIO DE VIDA (15+ anos);Total População 15+;8864;;100,00%;
República da Moldávia;MEIO DE VIDA (15+ anos);Trabalho;5746;;64,82%;
República da Moldávia;MEIO DE VIDA (15+ anos);Cargo da família;1949;;21,98%;
República da Moldávia;MEIO DE VIDA (15+ anos);Subsídio de desemprego;575;;6,49%;
República da Moldávia;MEIO DE VIDA (15+ anos);Outro;410;;4,63%;
República da Moldávia;MEIO DE VIDA (15+ anos);Reforma/Pensão;37;;0,42%;
República da Moldávia;MEIO DE VIDA (15+ anos);Outros subsídios temporários;147;;1,66%;
República da Moldávia;ATIVIDADE ECONÔMICA;Total População;10475;;100,00%;
República da Moldávia;ATIVIDADE ECONÔMICA;Ativa;6820;;65,11%;
República da Moldávia;ATIVIDADE ECONÔMICA;Empregada;5523;;52,73%;
República da Moldávia;ATIVIDADE ECONÔMICA;Desempregada;1297;;12,38%;
República da Moldávia;ATIVIDADE ECONÔMICA;Inativa;3655;;34,89%;
República da Moldávia;ATIVIDADE ECONÔMICA;<15 anos;1611;;15,38%;
República da Moldávia;ATIVIDADE ECONÔMICA;Estudantes;848;;8,10%;
República da Moldávia;ATIVIDADE ECONÔMICA;Domésticos;310;;2,96%;
República da Moldávia;ATIVIDADE ECONÔMICA;Outra situação;846;;8,08%;
República da Moldávia;ATIVIDADE ECONÔMICA;Reformados;40;;0,38%;
República da Moldávia;PROFISSÕES (Empregados);Total Empregados;5523;;100,00%;
República da Moldávia;PROFISSÕES (Empregados);Limpeza (casas, hotéis, escritórios);946;;17,13%;
República da Moldávia;PROFISSÕES (Empregados);Trab. qualif. construção;869;;15,73%;
República da Moldávia;PROFISSÕES (Empregados);Motoristas veículos pesados;383;;6,94%;
República da Moldávia;RAMOS DE ATIVIDADE;Total Empregados;5523;;100,00%;
República da Moldávia;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;1267;;22,94%;
República da Moldávia;RAMOS DE ATIVIDADE;Atividades edifícios, jardins;494;;8,94%;
República da Moldávia;RAMOS DE ATIVIDADE;Restauração e similares;427;;7,73%;
República da Moldávia;REALIGIÃO (15+ anos);Total População 15+;8864;;100,00%;
República da Moldávia;REALIGIÃO (15+ anos);Ortodoxa;7246;;81,75%;
República da Moldávia;REALIGIÃO (15+ anos);Católica;192;;2,17%;
República da Moldávia;REALIGIÃO (15+ anos);Sem religião;169;;1,91%;
