Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
São Tomé e Príncipe;POPULAÇÃO RESIDENTE;Total;10408;8517;100,00%;
São Tomé e Príncipe;POPULAÇÃO RESIDENTE;Homens;4700;3919;45,17%;
São Tomé e Príncipe;POPULAÇÃO RESIDENTE;Mulheres;5708;4598;54,83%;
São Tomé e Príncipe;POPULAÇÃO RESIDENTE;Idade média;30,6 anos;;;
São Tomé e Príncipe;MUNICÍPIOS (Top 5);Loures;2199;;21,13%;
São Tomé e Príncipe;MUNICÍPIOS (Top 5);Sintra;1333;;12,81%;
São Tomé e Príncipe;MUNICÍPIOS (Top 5);Seixal;1330;;12,78%;
São Tomé e Príncipe;MUNICÍPIOS (Top 5);Amadora;1144;;10,99%;
São Tomé e Príncipe;MUNICÍPIOS (Top 5);Lisboa;760;;7,30%;
São Tomé e Príncipe;ESTADO CIVIL;Solteiro;8495;;81,62%;
São Tomé e Príncipe;ESTADO CIVIL;Casado;1622;;15,58%;
São Tomé e Príncipe;ESTADO CIVIL;Divorciado;150;;1,44%;
São Tomé e Príncipe;ESTADO CIVIL;Viúvo;141;;1,35%;
São Tomé e Príncipe;UNIÃO DE FACTO;Vive em união de facto;2033;;;População com 15+ anos
São Tomé e Príncipe;UNIÃO DE FACTO;Não vive em união de facto;6917;;;População com 15+ anos
São Tomé e Príncipe;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;8649;;100,00%;
São Tomé e Príncipe;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;3571;;41,29%;
São Tomé e Príncipe;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;3342;;38,64%;
São Tomé e Príncipe;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;1403;;16,22%;
São Tomé e Príncipe;NÍVEL DE ENSINO (15-64 anos);Superior;333;;3,85%;
São Tomé e Príncipe;MEIO DE VIDA (15+ anos);Total População 15+;8957;;100,00%;
São Tomé e Príncipe;MEIO DE VIDA (15+ anos);Trabalho;4340;;48,45%;
São Tomé e Príncipe;MEIO DE VIDA (15+ anos);Cargo da família;2496;;27,87%;
São Tomé e Príncipe;MEIO DE VIDA (15+ anos);Subsídio de desemprego;527;;5,88%;
São Tomé e Príncipe;MEIO DE VIDA (15+ anos);Outro;1048;;11,70%;
São Tomé e Príncipe;MEIO DE VIDA (15+ anos);Reforma/Pensão;226;;2,52%;
São Tomé e Príncipe;MEIO DE VIDA (15+ anos);Outros subsídios temporários;320;;3,57%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Total População;10408;;100,00%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Ativa;5696;;54,73%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Empregada;4163;;40,00%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Desempregada;1533;;14,73%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Inativa;4712;;45,27%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;<15 anos;1451;;13,94%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Estudantes;1716;;16,49%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Domésticos;182;;1,75%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Outra situação;1117;;10,73%;
São Tomé e Príncipe;ATIVIDADE ECONÔMICA;Reformados;246;;2,36%;
São Tomé e Príncipe;PROFISSÕES (Empregados);Total Empregados;4163;;100,00%;
São Tomé e Príncipe;PROFISSÕES (Empregados);Limpeza (casas, hotéis, escritórios);1327;;31,88%;
São Tomé e Príncipe;PROFISSÕES (Empregados);Cozinheiro;372;;8,94%;
São Tomé e Príncipe;PROFISSÕES (Empregados);Vendedores em lojas;243;;5,84%;
São Tomé e Príncipe;RAMOS DE ATIVIDADE;Total Empregados;4163;;100,00%;
São Tomé e Príncipe;RAMOS DE ATIVIDADE;Atividades edifícios, jardins;748;;17,97%;
São Tomé e Príncipe;RAMOS DE ATIVIDADE;Restauração e similares;642;;15,42%;
São Tomé e Príncipe;RAMOS DE ATIVIDADE;Construção/ Promoção imobiliária;509;;12,23%;
São Tomé e Príncipe;REALIGIÃO (15+ anos);Total População 15+;8957;;100,00%;
São Tomé e Príncipe;REALIGIÃO (15+ anos);Católica;6002;;67,01%;
São Tomé e Príncipe;REALIGIÃO (15+ anos);Outra cristã;728;;8,13%;
São Tomé e Príncipe;REALIGIÃO (15+ anos);Sem religião;470;;5,25%;
