Nacionalidade (Pág.),Total (2011),Idade Média,Género Predominante,Município com Mais Residentes,Estado Civil Mais Comum
Total Geral (p.20),394 496,"34,2 anos ","Mulheres (52,3%) ","Sintra (8,9%) ","Solteiro (52,9%) "
Brasil (p.21),109 787,"30,9 anos ","Mulheres (57,9%) ","Lisboa (10,0%) ","Solteiro (54,2%) "
Cabo Verde (p.22),38 895,"34,0 anos ","Mulheres (52,3%) ","Sintra (18,6%) ","Solteiro (77,1%) "
Ucrânia (p.23),33 790,"34,0 anos ","Homens (50,8%) ","Sintra (5,1%) ","Casado (56,0%) "
Angola (p.24),26 954,"34,9 anos ","Mulheres (52,7%) ","Sintra (20,3%) ","Solteiro (70,0%) "
Roménia (p.25),24 356,"29,1 anos ","Homens (51,1%) ","Loulé (7,9%) ","Casado (48,2%) "
Guiné-Bissau (p.26),16 360,"31,7 anos ","Homens (56,0%) ","Sintra (26,2%) ","Solteiro (78,1%) "
Reino Unido (p.27),15 774,"50,2 anos ",Equilibrado (50/50),"Lagos (10,6%) ","Casado (55,9%) "
França (p.28),14 360,"36,6 anos ","Mulheres (53,7%) ","Lisboa (8,5%) ","Casado (45,1%) "
China (p.29),11 458,"31,1 anos ","Homens (51,9%) ","Lisboa (18,5%) ","Casado (59,3%) "
Espanha (p.30),10 486,"41,0 anos ","Mulheres (54,5%) ","Lisboa (17,3%) ","Solteiro (45,3%) "
Moldávia (p.31),10 475,"30,7 anos ","Homens (50,8%) ","Portimão (7,7%) ","Casado (56,3%) "
S. Tomé e Pr. (p.32),10 408,"30,6 anos ","Mulheres (54,8%) ","Loures (21,1%) ","Solteiro (81,6%) "
