Nacionalidade,Religião Predominante,2ª Opção Mais Comum
Total Geral (p.20),"Católica (41,2%) ","Ortodoxa (13,8%) "
Brasil (p.21),"Católica (47,2%) ","Outra Cristã [Evangélica] (17,6%) "
Cabo Verde (p.22),"Católica (73,9%) ","Sem Religião (6,1%) "
Ucrânia (p.23),"Ortodoxa (66,1%) ","Católica (14,1%) "
Angola (p.24),"Católica (52,3%) ","Outra Cristã (15,2%) "
Roménia (p.25),"Ortodoxa (70,7%) ","Católica (7,0%) "
Guiné-Bissau (p.26),"Católica (46,9%) ","Muçulmana (27,8%) "
Reino Unido (p.27),"Protestante (29,2%) ","Sem Religião (27,2%) "
França (p.28),"Católica (72,5%) ","Sem Religião (12,8%) "
China (p.29),"Sem religião (39,4%) ","Outra não cristã [Budismo, etc.] (16,0%) "
Espanha (p.30),"Católica (70,5%) ","Sem Religião (13,6%) "
Moldávia (p.31),"Ortodoxa (81,8%) ","Católica (2,2%) "
S. Tomé e Pr. (p.32),"Católica (67,0%) ","Outra Cristã (8,1%) "
