estatistica_id,nacionalidade_id,populacao_total_educacao,sem_educacao,ensino_basico,ensino_secundario,ensino_superior,percentual_sem_educacao,percentual_ensino_superior,percentual_ensino_basico,percentual_ensino_secundario,indice_educacional,ano_referencia
1,14,6588239,165993,2768370,2066338,1587538,2.52,24.1,42.02,31.36,1.77,2021
2,12,6157391,127470,2651280,1895544,1483097,2.07,24.09,43.06,30.78,1.77,2021
3,11,430729,38491,117060,170752,104426,8.94,24.24,27.18,39.64,1.79,2021
4,4,165683,10432,39379,75194,40678,6.3,24.55,23.77,45.38,1.88,2021
5,2,24135,1451,8121,9503,5060,6.01,20.97,33.65,39.37,1.75,2021
6,5,22113,1669,10796,7798,1850,7.55,8.37,48.82,35.26,1.44,2021
7,15,13704,2948,1439,4933,4384,21.51,31.99,10.5,36.0,1.78,2021
8,18,18168,1725,3972,8563,3908,9.49,21.51,21.86,47.13,1.81,2021
9,8,11339,1321,2097,3563,4358,11.65,38.43,18.49,31.42,1.97,2021
10,6,13427,1617,6785,3599,1426,12.04,10.62,50.53,26.8,1.36,2021
11,9,13184,1021,5562,5108,1493,7.74,11.32,42.19,38.74,1.54,2021
12,19,12864,2178,3947,5030,1709,16.93,13.29,30.68,39.1,1.49,2021
13,16,12511,1134,4808,5251,1318,9.06,10.53,38.43,41.97,1.54,2021
14,10,9405,621,1078,2651,5055,6.6,53.75,11.46,28.19,2.29,2021
15,13,12215,2191,3171,5188,1665,17.94,13.63,25.96,42.47,1.52,2021
16,7,9274,451,1707,2304,4812,4.86,51.89,18.41,24.84,2.24,2021
17,1,7526,498,1159,2964,2905,6.62,38.6,15.4,39.38,2.1,2021
18,17,8360,436,4647,2719,558,5.22,6.67,55.59,32.52,1.41,2021
19,3,117,32,30,42,13,27.35,11.11,25.64,35.9,1.31,2021
