populacao_educacao_id,nacionalidade_id,nivel_educacao_id,populacao_total,faixa_etaria,ano_referencia,percentual_nivel
1,14,1,165993,15-64 anos,2021,2.52
2,14,2,663454,15-64 anos,2021,10.07
3,14,3,733773,15-64 anos,2021,11.14
4,14,4,1371143,15-64 anos,2021,20.81
5,14,5,2768370,15-64 anos,2021,42.02
6,14,6,2066338,15-64 anos,2021,31.36
7,14,7,1587538,15-64 anos,2021,24.1
8,12,1,127470,15-64 anos,2021,2.07
9,12,2,647969,15-64 anos,2021,10.52
10,12,3,708332,15-64 anos,2021,11.5
11,12,4,1294979,15-64 anos,2021,21.03
12,12,5,2651280,15-64 anos,2021,43.06
13,12,6,1895544,15-64 anos,2021,30.78
14,12,7,1483097,15-64 anos,2021,24.09
15,11,1,38491,15-64 anos,2021,8.94
16,11,2,15478,15-64 anos,2021,3.59
17,11,3,25438,15-64 anos,2021,5.91
18,11,4,76144,15-64 anos,2021,17.68
19,11,5,117060,15-64 anos,2021,27.18
20,11,6,170752,15-64 anos,2021,39.64
21,11,7,104426,15-64 anos,2021,24.24
22,4,1,10432,15-64 anos,2021,6.3
23,4,2,3929,15-64 anos,2021,2.37
24,4,3,8322,15-64 anos,2021,5.02
25,4,4,27128,15-64 anos,2021,16.37
26,4,5,39379,15-64 anos,2021,23.77
27,4,6,75194,15-64 anos,2021,45.38
28,4,7,40678,15-64 anos,2021,24.55
29,2,1,1451,15-64 anos,2021,6.01
30,2,2,1131,15-64 anos,2021,4.69
31,2,3,1905,15-64 anos,2021,7.89
32,2,4,5085,15-64 anos,2021,21.07
33,2,5,8121,15-64 anos,2021,33.65
34,2,6,9503,15-64 anos,2021,39.37
35,2,7,5060,15-64 anos,2021,20.97
36,5,1,1669,15-64 anos,2021,7.55
37,5,2,3102,15-64 anos,2021,14.03
38,5,3,2863,15-64 anos,2021,12.95
39,5,4,4831,15-64 anos,2021,21.85
40,5,5,10796,15-64 anos,2021,48.82
41,5,6,7798,15-64 anos,2021,35.26
42,5,7,1850,15-64 anos,2021,8.37
43,15,1,2948,15-64 anos,2021,21.51
44,15,2,83,15-64 anos,2021,0.61
45,15,3,303,15-64 anos,2021,2.21
46,15,4,1053,15-64 anos,2021,7.68
47,15,5,1439,15-64 anos,2021,10.5
48,15,6,4933,15-64 anos,2021,36.0
49,15,7,4384,15-64 anos,2021,31.99
50,18,1,1725,15-64 anos,2021,9.49
51,18,2,346,15-64 anos,2021,1.9
52,18,3,570,15-64 anos,2021,3.14
53,18,4,3056,15-64 anos,2021,16.82
54,18,5,3972,15-64 anos,2021,21.86
55,18,6,8563,15-64 anos,2021,47.13
56,18,7,3908,15-64 anos,2021,21.51
57,8,1,1321,15-64 anos,2021,11.65
58,8,2,211,15-64 anos,2021,1.86
59,8,3,470,15-64 anos,2021,4.14
60,8,4,1416,15-64 anos,2021,12.49
61,8,5,2097,15-64 anos,2021,18.49
62,8,6,3563,15-64 anos,2021,31.42
63,8,7,4358,15-64 anos,2021,38.43
64,6,1,1617,15-64 anos,2021,12.04
65,6,2,503,15-64 anos,2021,3.75
66,6,3,1484,15-64 anos,2021,11.05
67,6,4,4798,15-64 anos,2021,35.73
68,6,5,6785,15-64 anos,2021,50.53
69,6,6,3599,15-64 anos,2021,26.8
70,6,7,1426,15-64 anos,2021,10.62
71,9,1,1021,15-64 anos,2021,7.74
72,9,2,1071,15-64 anos,2021,8.12
73,9,3,1232,15-64 anos,2021,9.34
74,9,4,3259,15-64 anos,2021,24.72
75,9,5,5562,15-64 anos,2021,42.19
76,9,6,5108,15-64 anos,2021,38.74
77,9,7,1493,15-64 anos,2021,11.32
78,19,1,2178,15-64 anos,2021,16.93
79,19,2,677,15-64 anos,2021,5.26
80,19,3,734,15-64 anos,2021,5.71
81,19,4,2536,15-64 anos,2021,19.71
82,19,5,3947,15-64 anos,2021,30.68
83,19,6,5030,15-64 anos,2021,39.1
84,19,7,1709,15-64 anos,2021,13.29
85,16,1,1134,15-64 anos,2021,9.06
86,16,2,377,15-64 anos,2021,3.01
87,16,3,1014,15-64 anos,2021,8.1
88,16,4,3417,15-64 anos,2021,27.31
89,16,5,4808,15-64 anos,2021,38.43
90,16,6,5251,15-64 anos,2021,41.97
91,16,7,1318,15-64 anos,2021,10.53
92,10,1,621,15-64 anos,2021,6.6
93,10,2,47,15-64 anos,2021,0.5
94,10,3,158,15-64 anos,2021,1.68
95,10,4,873,15-64 anos,2021,9.28
96,10,5,1078,15-64 anos,2021,11.46
97,10,6,2651,15-64 anos,2021,28.19
98,10,7,5055,15-64 anos,2021,53.75
99,13,1,2191,15-64 anos,2021,17.94
100,13,2,494,15-64 anos,2021,4.04
101,13,3,409,15-64 anos,2021,3.35
102,13,4,2268,15-64 anos,2021,18.57
103,13,5,3171,15-64 anos,2021,25.96
104,13,6,5188,15-64 anos,2021,42.47
105,13,7,1665,15-64 anos,2021,13.63
106,7,1,451,15-64 anos,2021,4.86
107,7,2,208,15-64 anos,2021,2.24
108,7,3,397,15-64 anos,2021,4.28
109,7,4,1102,15-64 anos,2021,11.88
110,7,5,1707,15-64 anos,2021,18.41
111,7,6,2304,15-64 anos,2021,24.84
112,7,7,4812,15-64 anos,2021,51.89
113,1,1,498,15-64 anos,2021,6.62
114,1,2,39,15-64 anos,2021,0.52
115,1,3,215,15-64 anos,2021,2.86
116,1,4,905,15-64 anos,2021,12.02
117,1,5,1159,15-64 anos,2021,15.4
118,1,6,2964,15-64 anos,2021,39.38
119,1,7,2905,15-64 anos,2021,38.6
120,17,1,436,15-64 anos,2021,5.22
121,17,2,770,15-64 anos,2021,9.21
122,17,3,1270,15-64 anos,2021,15.19
123,17,4,2607,15-64 anos,2021,31.18
