
Quadro extraído em 04 de Dezembro de 2025 (23:03:23)
http://www.ine.pt



Período de referência dos dados;Local de residência (Freguesia - à data dos Censos 2011);Sexo;População residente (N.º) por Local de residência (à data dos Censos 2011), Sexo e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;População residente (N.º) por Local de residência (à data dos Censos 2011), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Nível de escolaridade mais elevado completo;;;;;;;Grupo etário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Nenhum;Básico - 1.º ciclo;Básico - 2.º ciclo;Básico - 3.º ciclo;Secundário;Pós-secundário;Superior;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Total;Portugal;Estrangeira;Europa;União Europeia 27 (S/PT);França;Países Baixos (Holanda);Alemanha;Itália;Reino Unido;Irlanda;Dinamarca;Grécia;Espanha;Bélgica;Luxemburgo;Suécia;Finlândia;Áustria;Malta;Estónia;Letónia;Lituânia;Polónia;República Checa;Eslováquia;Hungria;Roménia;Bulgária;Eslovénia;Chipre;Outros países (parcial);Noruega;Suíça;Rússia (Federação da);Outros países - Europa;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;Outros países - África;América;Argentina;Brasil;Canadá;Estados Unidos da América;Venezuela, República Bolivariana da;Outros países - América;Ásia;China;Índia;Japão;Macau;Paquistão;Timor Leste;Outros países - Ásia;Oceânia;Austrália;Outros países da Oceânia;Outros países;
;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
2011;PT: Portugal;HM;1999754;2688308;1412580;1716970;1411801;88023;1244742;10562178;9690365;871813;281416;208384;94484;4122;28000;2837;19131;1626;411;195;16489;3560;4086;837;350;525;46;133;215;380;1014;259;97;416;23689;5391;59;32;73032;346;16842;5906;49938;369992;11477;162604;61953;29578;73084;18645;12651;186165;1375;139703;7572;7242;25157;5116;32853;10887;8129;323;2078;2015;1789;7632;1375;1252;123;12;

População residente (N.º) por Local de residência (à data dos Censos 2011), Sexo e Nível de escolaridade mais elevado completo -  Decenal
População residente (N.º) por Local de residência (à data dos Censos 2011), Sexo, Grupo etário e Naturalidade (País) -  Decenal


Última atualização destes dados: 20 de novembro de 2012


Metainformação associada ao quadro

População residente (N.º)
Designação;População residente (N.º) por Local de residência (à data dos Censos 2011), Sexo e Nível de escolaridade mais elevado completo -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento da população e habitação - Censos 2011
Primeiro período disponível;2011
Último período disponível;2011
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (Freguesia - à data dos Censos 2011)
     Dimensão 3;Sexo
     Dimensão 4;Nível de escolaridade mais elevado completo
Conceitos
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     NÍVEL DE ESCOLARIDADE;Nível ou grau de ensino mais elevado que o indivíduo concluiu ou para o qual obteve equivalência, e em relação ao qual tem direito ao respetivo certificado ou diploma.
Definição;
Fórmula;Contagem
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;20-Nov-2012
População residente (N.º)
Designação;População residente (N.º) por Local de residência (à data dos Censos 2011), Sexo, Grupo etário e Naturalidade (País) -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento da população e habitação - Censos 2011
Primeiro período disponível;2011
Último período disponível;2011
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (Freguesia - à data dos Censos 2011)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
     Dimensão 5;Naturalidade (País)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     NATURALIDADE;Local do nascimento ou o local da residência habitual da mãe à data do nascimento. Para determinados fins estatísticos deve-se considerar preferencialmente o local da residência habitual da mãe à data do nascimento.
Definição;
Fórmula;Contagem
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;20-Nov-2012
