emp_prof_id,nacionalidade_id,grupo_prof_id,quantidade
1,14,0,22768
2,14,1,268144
3,14,2,806691
4,14,3,469787
5,14,4,425704
6,14,5,815650
7,14,6,97453
8,14,7,604029
9,14,8,232985
10,14,9,683250
11,12,0,22612
12,12,1,254811
13,12,2,775491
14,12,3,452061
15,12,4,409776
16,12,5,754034
17,12,6,87381
18,12,7,566458
19,12,8,222592
20,12,9,616906
21,11,0,156
22,11,1,13329
23,11,2,31199
24,11,3,17725
25,11,4,15925
26,11,5,61592
27,11,6,10071
28,11,7,37562
29,11,8,10385
30,11,9,66327
31,4,0,23
32,4,1,3713
33,4,2,12084
34,4,3,7376
35,4,4,6276
36,4,5,28162
37,4,6,1649
38,4,7,17066
39,4,8,5154
40,4,9,26135
41,2,0,11
42,2,1,493
43,2,2,871
44,2,3,776
45,2,4,810
46,2,5,2874
47,2,6,104
48,2,7,2106
49,2,8,336
50,2,9,3365
51,5,0,5
52,5,1,97
53,5,2,265
54,5,3,342
55,5,4,400
56,5,5,2851
57,5,6,168
58,5,7,2733
59,5,8,395
60,5,9,5613
61,15,0,14
62,15,1,1033
63,15,2,2125
64,15,3,879
65,15,4,434
66,15,5,704
67,15,6,130
68,15,7,256
69,15,8,70
70,15,9,273
71,18,0,4
72,18,1,193
73,18,2,511
74,18,3,415
75,18,4,412
76,18,5,1758
77,18,6,640
78,18,7,3198
79,18,8,1179
80,18,9,4317
81,8,0,9
82,8,1,977
83,8,2,1508
84,8,3,903
85,8,4,797
86,8,5,851
87,8,6,75
88,8,7,328
89,8,8,106
90,8,9,368
91,6,0,1
92,6,1,808
93,6,2,282
94,6,3,261
95,6,4,294
96,6,5,6397
97,6,6,9
98,6,7,40
99,6,8,19
100,6,9,600
101,9,0,3
102,9,1,48
103,9,2,204
104,9,3,165
105,9,4,193
106,9,5,1276
107,9,6,133
108,9,7,1827
109,9,8,134
110,9,9,2673
111,19,1,238
112,19,2,286
113,19,3,207
114,19,4,365
115,19,5,1390
116,19,6,1547
117,19,7,1104
118,19,8,311
119,19,9,3902
120,16,0,1
121,16,1,162
122,16,2,284
123,16,3,305
124,16,4,294
125,16,5,1355
126,16,6,1024
127,16,7,1879
128,16,8,550
129,16,9,2754
130,10,0,10
131,10,1,782
132,10,2,2039
133,10,3,774
134,10,4,932
135,10,5,768
136,10,6,20
137,10,7,204
138,10,8,136
139,10,9,306
140,13,0,1
141,13,1,178
142,13,2,39
143,13,3,128
144,13,4,156
145,13,5,2444
146,13,6,1541
147,13,7,344
148,13,8,86
149,13,9,3395
150,7,0,13
151,7,1,794
152,7,2,2462
153,7,3,729
154,7,4,708
155,7,5,728
156,7,6,74
157,7,7,247
158,7,8,105
159,7,9,406
160,1,0,8
161,1,1,577
162,1,2,1378
163,1,3,587
164,1,4,523
165,1,5,591
166,1,6,107
167,1,7,304
168,1,8,87
169,1,9,256
170,17,0,3
171,17,1,32
172,17,2,62
173,17,3,112
174,17,4,100
175,17,5,938
176,17,6,68
177,17,7,940
178,17,8,106
179,17,9,1896
180,3,1,4
181,3,2,1
182,3,3,1
183,3,4,3
184,3,5,24
185,3,6,1
186,3,7,9
187,3,8,8
188,3,9,17
