emp_setor_id,nacionalidade_id,setor_id,quantidade
1,14,1,130145
2,14,2,10253
3,14,3,693317
4,14,4,18467
5,14,5,32323
6,14,6,342138
7,14,7,711033
8,14,8,175562
9,14,9,257142
10,14,10,148726
11,14,11,101636
12,14,12,41940
13,14,13,215140
14,14,14,210873
15,14,15,348363
16,14,16,328256
17,14,17,445455
18,14,18,51164
19,14,19,99868
20,14,20,62793
21,14,21,1867
22,12,1,115478
23,12,2,9887
24,12,3,664636
25,12,4,17693
26,12,5,31400
27,12,6,310743
28,12,7,674229
29,12,8,165739
30,12,9,224045
31,12,10,135295
32,12,11,98373
33,12,12,38775
34,12,13,203241
35,12,14,187350
36,12,15,344778
37,12,16,320063
38,12,17,426542
39,12,18,47314
40,12,19,90646
41,12,20,54503
42,12,21,1392
43,11,1,14663
44,11,2,366
45,11,3,28672
46,11,4,774
47,11,5,923
48,11,6,31385
49,11,7,36794
50,11,8,9821
51,11,9,33090
52,11,10,13429
53,11,11,3262
54,11,12,3165
55,11,13,11899
56,11,14,23514
57,11,15,3585
58,11,16,8191
59,11,17,18908
60,11,18,3848
61,11,19,9221
62,11,20,8286
63,11,21,475
64,4,1,1498
65,4,2,93
66,4,3,14081
67,4,4,317
68,4,5,362
69,4,6,13132
70,4,7,13269
71,4,8,5283
72,4,9,13422
73,4,10,6696
74,4,11,1077
75,4,12,1234
76,4,13,4504
77,4,14,8037
78,4,15,1130
79,4,16,2541
80,4,17,10298
81,4,18,1580
82,4,19,5916
83,4,20,3130
84,4,21,38
85,2,1,105
86,2,2,46
87,2,3,1180
88,2,4,59
89,2,5,68
90,2,6,1925
91,2,7,1416
92,2,8,341
93,2,9,1393
94,2,10,314
95,2,11,203
96,2,12,137
97,2,13,379
98,2,14,1138
99,2,15,401
100,2,16,365
101,2,17,1350
102,2,18,85
103,2,19,312
104,2,20,479
105,2,21,50
106,5,1,91
107,5,2,18
108,5,3,807
109,5,4,30
110,5,5,73
111,5,6,3138
112,5,7,1260
113,5,8,265
114,5,9,1875
115,5,10,147
116,5,11,75
117,5,12,49
118,5,13,207
119,5,14,2032
120,5,15,215
121,5,16,220
122,5,17,925
123,5,18,88
124,5,19,242
125,5,20,1102
126,5,21,10
127,15,1,84
128,15,2,9
129,15,3,287
130,15,4,22
131,15,5,6
132,15,6,258
133,15,7,506
134,15,8,177
135,15,9,656
136,15,10,558
137,15,11,142
138,15,12,293
139,15,13,796
140,15,14,432
141,15,15,65
142,15,16,924
143,15,17,212
144,15,18,267
145,15,19,125
146,15,20,67
147,15,21,32
148,18,1,904
149,18,2,83
150,18,3,2171
151,18,4,28
152,18,5,94
153,18,6,2229
154,18,7,1271
155,18,8,731
156,18,9,1175
157,18,10,170
158,18,11,72
159,18,12,74
160,18,13,206
161,18,14,1353
162,18,15,117
163,18,16,156
164,18,17,578
165,18,18,68
166,18,19,411
167,18,20,731
168,18,21,5
169,8,1,96
170,8,2,4
171,8,3,519
172,8,4,22
173,8,5,18
174,8,6,274
175,8,7,697
176,8,8,179
177,8,9,442
178,8,10,593
179,8,11,293
180,8,12,221
181,8,13,661
182,8,14,738
183,8,15,111
184,8,16,422
185,8,17,258
186,8,18,170
187,8,19,135
188,8,20,50
189,8,21,19
190,6,1,20
191,6,3,164
192,6,4,4
193,6,5,5
194,6,6,107
195,6,7,5724
196,6,8,40
197,6,9,1711
198,6,10,70
199,6,11,72
200,6,12,168
201,6,13,126
202,6,14,120
203,6,15,24
204,6,16,103
205,6,17,52
206,6,18,24
207,6,19,61
208,6,20,114
209,6,21,2
210,9,1,152
211,9,2,12
212,9,3,431
213,9,4,15
214,9,5,21
215,9,6,2186
216,9,7,600
217,9,8,102
218,9,9,480
219,9,10,64
220,9,11,32
221,9,12,12
222,9,13,47
223,9,14,1360
224,9,15,126
225,9,16,73
226,9,17,556
227,9,18,50
228,9,19,98
229,9,20,231
230,9,21,8
231,19,1,2764
232,19,2,3
233,19,3,1153
234,19,4,12
235,19,5,41
236,19,6,973
237,19,7,1434
238,19,8,253
239,19,9,1048
240,19,10,194
241,19,11,57
242,19,12,36
243,19,13,111
244,19,14,757
245,19,15,95
246,19,16,63
247,19,17,67
248,19,18,36
249,19,19,120
250,19,20,130
251,19,21,3
252,16,1,1313
253,16,2,22
254,16,3,902
255,16,4,15
256,16,5,60
257,16,6,1498
258,16,7,927
259,16,8,352
260,16,9,892
261,16,10,117
262,16,11,60
263,16,12,54
264,16,13,123
265,16,14,969
266,16,15,112
267,16,16,93
268,16,17,394
269,16,18,69
270,16,19,156
271,16,20,476
272,16,21,4
273,10,1,28
274,10,2,5
275,10,3,447
276,10,4,23
277,10,5,5
278,10,6,155
279,10,7,639
280,10,8,211
281,10,9,594
282,10,10,799
283,10,11,221
284,10,12,105
285,10,13,808
286,10,14,747
287,10,15,98
288,10,16,386
289,10,17,318
290,10,18,167
291,10,19,145
292,10,20,34
293,10,21,36
294,13,1,2861
295,13,2,1
296,13,3,580
297,13,4,9
298,13,5,7
299,13,6,98
300,13,7,1060
301,13,8,41
302,13,9,2744
303,13,10,47
304,13,11,27
305,13,12,6
306,13,13,57
307,13,14,327
308,13,15,57
309,13,16,33
310,13,17,93
311,13,18,17
312,13,19,65
313,13,20,178
314,13,21,4
315,7,1,130
316,7,2,7
317,7,3,536
318,7,4,56
319,7,5,13
320,7,6,230
321,7,7,811
322,7,8,177
323,7,9,330
324,7,10,508
325,7,11,194
326,7,12,98
327,7,13,687
328,7,14,505
329,7,15,192
330,7,16,511
331,7,17,877
332,7,18,176
333,7,19,128
334,7,20,52
335,7,21,48
336,1,1,95
337,1,2,5
338,1,3,469
339,1,4,20
340,1,5,10
341,1,6,153
342,1,7,494
343,1,8,109
344,1,9,344
345,1,10,413
346,1,11,69
347,1,12,89
348,1,13,516
349,1,14,529
350,1,15,79
351,1,16,440
352,1,17,266
353,1,18,124
354,1,19,100
355,1,20,71
356,1,21,23
357,17,1,32
358,17,2,1
359,17,3,296
360,17,4,16
361,17,5,17
362,17,6,942
363,17,7,356
364,17,8,80
365,17,9,587
366,17,10,54
367,17,11,17
368,17,12,13
369,17,13,42
370,17,14,743
371,17,15,59
372,17,16,78
373,17,17,477
374,17,18,14
375,17,19,69
376,17,20,361
377,17,21,3
378,3,1,4
379,3,3,9
380,3,6,10
381,3,7,10
382,3,8,2
383,3,9,7
384,3,10,2
385,3,11,1
386,3,14,9
387,3,16,2
388,3,17,5
389,3,18,2
390,3,19,1
391,3,20,4
