emp_situacao_id,nacionalidade_id,situacao_id,quantidade
1,14,1,467418
2,14,2,420179
3,14,3,3435002
4,14,4,103862
5,12,1,429525
6,12,2,382192
7,12,3,3257434
8,12,4,92971
9,11,1,37878
10,11,2,37979
11,11,3,177528
12,11,4,10886
13,4,1,13718
14,4,2,18416
15,4,3,70529
16,4,4,4975
17,2,1,1312
18,2,2,970
19,2,3,8969
20,2,4,495
21,5,1,1450
22,5,2,610
23,5,3,10340
24,5,4,469
25,15,1,1368
26,15,2,1991
27,15,3,2316
28,15,4,243
29,18,1,1470
30,18,2,1361
31,18,3,9309
32,18,4,487
33,8,1,1346
34,8,2,1146
35,8,3,3177
36,8,4,253
37,6,1,2906
38,6,2,1770
39,6,3,3721
40,6,4,314
41,9,1,743
42,9,2,334
43,9,3,5376
44,9,4,203
45,19,1,1028
46,19,2,493
47,19,3,7608
48,19,4,221
49,16,1,992
50,16,2,1099
51,16,3,6150
52,16,4,367
53,10,1,1167
54,10,2,1086
55,10,3,3432
56,10,4,286
57,13,1,1367
58,13,2,221
59,13,3,6534
60,13,4,190
61,7,1,919
62,7,2,752
63,7,3,4358
64,7,4,237
65,1,1,849
66,1,2,1076
67,1,3,2279
68,1,4,214
69,17,1,441
70,17,2,177
71,17,3,3509
72,17,4,130
73,3,1,15
74,3,2,8
75,3,3,40
76,3,4,5
