emp_regiao_setor_id,nuts_id,setor_id,quantidade
1,1,22,130145
2,1,23,754360
3,1,24,342138
4,1,25,1292463
5,1,26,143576
6,1,27,1763779
7,2,22,37080
8,2,23,380646
9,2,24,138007
10,2,25,417611
11,2,26,36520
12,2,27,536705
13,3,22,33247
14,3,23,199149
15,3,24,75136
16,3,25,254801
17,3,26,20196
18,3,27,354040
19,5,22,32784
20,5,23,40397
21,5,24,18395
22,5,25,77089
23,5,26,6117
24,5,27,117487
25,6,22,6750
26,6,23,10588
27,6,24,17632
28,6,25,69206
29,6,26,6623
30,6,27,77345
31,7,22,7419
32,7,23,8513
33,7,24,8386
34,7,25,27301
35,7,26,1626
36,7,27,52151
37,8,22,2849
38,8,23,6180
39,8,24,8446
40,8,25,32568
41,8,26,2114
42,8,27,48485
