pop_rend_reg_id,nuts_id,fonte_id,quantidade
1,1,1,4375176
2,1,2,2562597
3,1,3,63503
4,1,4,425341
5,1,5,1204540
6,1,6,380721
7,2,1,1525926
8,2,2,882672
9,2,3,19608
10,2,4,157670
11,2,5,425302
12,2,6,135243
13,3,1,923816
14,3,2,632757
15,3,3,11058
16,3,4,72835
17,3,5,243631
18,3,6,79743
19,5,1,289001
20,5,2,204330
21,5,3,3620
22,5,4,26661
23,5,5,71052
24,5,6,22730
25,6,1,189028
26,6,2,113335
27,6,3,4966
28,6,4,25821
29,6,5,50870
30,6,6,20542
31,7,1,102634
32,7,2,46182
33,7,3,1259
34,7,4,12049
35,7,5,31408
36,7,6,8328
37,8,1,98669
38,8,2,54150
39,8,3,1613
40,8,4,14080
41,8,5,35936
42,8,6,14358
