prof_digito1_id,codigo_digito1,descricao
0,0,Profissões das Forças Armadas
1,1,"Representantes do poder legislativo e de órgãos executivos, dirigentes, directores e gestores executivos"
2,2,Especialistas das actividades intelectuais e científicas
3,3,Técnicos e profissões de nível intermédio
4,4,Pessoal administrativo
5,5,"Trabalhadores dos serviços pessoais, de protecção e segurança e vendedores"
6,6,"Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta"
7,7,"Trabalhadores qualificados da indústria, construção e artífices"
8,8,Operadores de instalações e máquinas e trabalhadores da montagem
9,9,Trabalhadores não qualificados
