ano,fonte,tipo_relatorio,nacionalidade_aima_raw,sexo_raw,quantidade
2020,RIFA,2,Afeganistão,M,55
2020,RIFA,2,África do Sul,M,788
2020,RIFA,2,Albânia,M,50
2020,RIFA,2,Alemanha,M,8450
2020,RIFA,2,Andorra,M,9
2020,RIFA,2,Angola,M,10573
2020,RIFA,2,Antígua e Barbuda,M,7
2020,RIFA,2,Apátrida,M,16
2020,RIFA,2,Arábia Saudita,M,89
2020,RIFA,2,Argélia,M,373
2020,RIFA,2,Argentina,M,324
2020,RIFA,2,Arménia,M,35
2020,RIFA,2,Austrália,M,279
2020,RIFA,2,Áustria,M,718
2020,RIFA,2,Azerbaijão,M,29
2020,RIFA,2,Bahamas,M,0
2020,RIFA,2,Bahrein,M,5
2020,RIFA,2,Bangladesh,M,7651
2020,RIFA,2,Barbados,M,2
2020,RIFA,2,Bélgica,M,2862
2020,RIFA,2,Belize,M,3
2020,RIFA,2,Benin,M,9
2020,RIFA,2,Bermudas,M,0
2020,RIFA,2,Bielorrússia,M,182
2020,RIFA,2,Bolívia,M,44
2020,RIFA,2,Bósnia e Herzegovina,M,18
2020,RIFA,2,Botswana,M,4
2020,RIFA,2,Brasil,M,81320
2020,RIFA,2,Brunei,M,1
2020,RIFA,2,Bulgária,M,3295
2020,RIFA,2,Burkina Faso,M,22
2020,RIFA,2,Burundi,M,5
2020,RIFA,2,Butão,M,3
2020,RIFA,2,Cabo Verde,M,17231
2020,RIFA,2,Camarões,M,131
2020,RIFA,2,Cambodja,M,18
2020,RIFA,2,Canadá,M,582
2020,RIFA,2,Cazaquistão,M,292
2020,RIFA,2,Chade,M,2
2020,RIFA,2,Chile,M,158
2020,RIFA,2,China,M,13053
2020,RIFA,2,Chipre,M,60
2020,RIFA,2,Colômbia,M,575
2020,RIFA,2,Comores,M,0
2020,RIFA,2,Congo,M,35
2020,RIFA,2,Congo (Rep. Democrática),M,134
2020,RIFA,2,Coreia do Sul,M,98
2020,RIFA,2,Costa do Marfim,M,118
2020,RIFA,2,Costa Rica,M,37
2020,RIFA,2,Croácia,M,202
2020,RIFA,2,Cuba,M,540
2020,RIFA,2,Desconhecido,M,15
2020,RIFA,2,Dinamarca,M,793
2020,RIFA,2,Djibuti,M,3
2020,RIFA,2,Dominica,M,14
2020,RIFA,2,Egipto,M,324
2020,RIFA,2,El Salvador,M,28
2020,RIFA,2,Emiratos Árabes Unidos,M,24
2020,RIFA,2,Equador,M,203
2020,RIFA,2,Eritreia,M,161
2020,RIFA,2,Eslováquia,M,101
2020,RIFA,2,Eslovénia,M,79
2020,RIFA,2,Espanha,M,8705
2020,RIFA,2,Estados Unidos da América,M,2361
2020,RIFA,2,Estónia,M,91
2020,RIFA,2,Etiópia,M,23
2020,RIFA,2,Fidji (Ilhas),M,2
2020,RIFA,2,Filipinas,M,292
2020,RIFA,2,Finlândia,M,544
2020,RIFA,2,França,M,13166
2020,RIFA,2,Gabão,M,13
2020,RIFA,2,Gâmbia,M,193
2020,RIFA,2,Gana,M,134
2020,RIFA,2,Geórgia,M,227
2020,RIFA,2,Granada,M,1
2020,RIFA,2,Grécia,M,341
2020,RIFA,2,Guatemala,M,33
2020,RIFA,2,Guiana,M,6
2020,RIFA,2,Guiné,M,948
2020,RIFA,2,Guiné-Bissau,M,10413
2020,RIFA,2,Guiné Equatorial,M,17
2020,RIFA,2,Haiti,M,9
2020,RIFA,2,Honduras,M,16
2020,RIFA,2,Hong Kong,M,32
2020,RIFA,2,Hungria,M,340
2020,RIFA,2,Iémen,M,24
2020,RIFA,2,Índia,M,19099
2020,RIFA,2,Indonésia,M,381
2020,RIFA,2,Irão,M,698
2020,RIFA,2,Iraque,M,257
2020,RIFA,2,Irlanda,M,1516
2020,RIFA,2,Islândia,M,66
2020,RIFA,2,Israel,M,185
