ano,categoria,total_concessoes,percentagem
2020,Reagrupamento Familiar,136545,30.25
2020,Atividade Profissional,124060,27.48
2020,AR CPLP,122725,27.19
2020,Estudo,52030,11.53
2020,Outros,16050,3.56
2021,Atividade Profissional,157620,44.86
2021,Reagrupamento Familiar,94250,26.82
2021,Estudo,46755,13.31
2021,AR CPLP,28230,8.03
2021,Outros,24535,6.98
2022,Atividade Profissional,223315,48.59
2022,Reagrupamento Familiar,117880,25.65
2022,Outros,43045,9.37
2022,Estudo,39420,8.58
2022,AR CPLP,35965,7.82
