Nacionalidade,Setor_Atividade,Total_imigrantes,Percentagem,Total_nacionais
,A,0,0.0,130145
Nacionalidade portuguesa,A,115478,82.29735315497655,130145
Nacionalidade estrangeira,A,14663,10.449835373936345,130145
Principais nacionalidades,A,0,0.0,130145
Brasil,A,1498,1.067575079462364,130145
Angola,A,105,0.07483002893427786,130145
Cabo Verde,A,91,0.06485269174304081,130145
Reino Unido,A,84,0.059864023147422285,130145
Ucrânia,A,904,0.6442509157770208,130145
França,A,96,0.0684160264541969,130145
China,A,20,0.014253338844624354,130145
Guiné-Bissau,A,152,0.10832537521914508,130145
Índia,A,2764,1.9698114283270858,130145
Roménia,A,1313,0.9357316951495889,130145
Itália,A,28,0.019954674382474093,130145
Nepal,A,2861,2.0389401217235137,130145
Espanha,A,130,0.0926467024900583,130145
Alemanha,A,95,0.06770335951196567,130145
São Tomé e Príncipe,A,32,0.022805342151398966,130145
Apátridas,A,4,0.0028506677689248707,130145
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",A,0,0.0,130145
,B,0,0.0,10253
Nacionalidade portuguesa,B,9887,93.6091649308843,10253
Nacionalidade estrangeira,B,366,3.465252793031623,10253
Principais nacionalidades,B,0,0.0,10253
Brasil,B,93,0.8805150539670518,10253
Angola,B,46,0.4355235750804771,10253
Cabo Verde,B,18,0.17042226850975192,10253
Reino Unido,B,9,0.08521113425487596,10253
Ucrânia,B,83,0.7858360159060783,10253
França,B,4,0.03787161522438932,10253
China,B,0,0.0,10253
Guiné-Bissau,B,12,0.11361484567316796,10253
Índia,B,3,0.02840371141829199,10253
Roménia,B,22,0.20829388373414126,10253
Itália,B,5,0.04733951903048665,10253
Nepal,B,1,0.00946790380609733,10253
Espanha,B,7,0.0662753266426813,10253
Alemanha,B,5,0.04733951903048665,10253
São Tomé e Príncipe,B,1,0.00946790380609733,10253
Apátridas,B,0,0.0,10253
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",B,0,0.0,10253
,C,0,0.0,693317
Nacionalidade portuguesa,C,664636,92.65285638609306,693317
Nacionalidade estrangeira,C,28672,3.996988875568071,693317
Principais nacionalidades,C,0,0.0,693317
Brasil,C,14081,1.962946441018206,693317
Angola,C,1180,0.16449661248501407,693317
Cabo Verde,C,807,0.11249895447068335,693317
Reino Unido,C,287,0.04000892185016868,693317
Ucrânia,C,2171,0.30264588619064875,693317
França,C,519,0.07235062871162908,693317
China,C,164,0.022862241057239246,693317
Guiné-Bissau,C,431,0.06008308472969582,693317
Índia,C,1153,0.16073270694510275,693317
Roménia,C,902,0.12574232581481584,693317
Itália,C,447,0.062313547271865506,693317
Nepal,C,580,0.08085426715365099,693317
Espanha,C,536,0.07472049516268436,693317
Alemanha,C,469,0.06538043326734881,693317
São Tomé e Príncipe,C,296,0.04126355703013913,693317
Apátridas,C,9,0.0012546351799704464,693317
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",C,0,0.0,693317
,D,0,0.0,18467
Nacionalidade portuguesa,D,17693,92.56081611300027,18467
Nacionalidade estrangeira,D,774,4.0491760397593515,18467
Principais nacionalidades,D,0,0.0,18467
Brasil,D,317,1.6583834684802512,18467
Angola,D,59,0.30865812189380065,18467
Cabo Verde,D,30,0.15694480774261052,18467
Reino Unido,D,22,0.11509285901124772,18467
Ucrânia,D,28,0.1464818205597698,18467
França,D,22,0.11509285901124772,18467
China,D,4,0.020925974365681402,18467
Guiné-Bissau,D,15,0.07847240387130526,18467
Índia,D,12,0.0627779230970442,18467
Roménia,D,15,0.07847240387130526,18467
Itália,D,23,0.12032435260266806,18467
Nepal,D,9,0.04708344232278315,18467
Espanha,D,56,0.2929636411195396,18467
Alemanha,D,20,0.104629871828407,18467
São Tomé e Príncipe,D,16,0.08370389746272561,18467
Apátridas,D,0,0.0,18467
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",D,0,0.0,18467
,E,0,0.0,32323
Nacionalidade portuguesa,E,31400,94.79817649367509,32323
Nacionalidade estrangeira,E,923,2.786583340880959,32323
Principais nacionalidades,E,0,0.0,32323
Brasil,E,362,1.092896174863388,32323
Angola,E,68,0.20529541406273588,32323
Cabo Verde,E,73,0.22039066509676056,32323
Reino Unido,E,6,0.018114301240829637,32323
Ucrânia,E,94,0.2837907194396643,32323
França,E,18,0.05434290372248891,32323
China,E,5,0.015095251034024697,32323
Guiné-Bissau,E,21,0.06340005434290373,32323
Índia,E,41,0.1237810584790025,32323
Roménia,E,60,0.18114301240829633,32323
Itália,E,5,0.015095251034024697,32323
Nepal,E,7,0.021133351447634573,32323
Espanha,E,13,0.03924765268846421,32323
Alemanha,E,10,0.030190502068049394,32323
São Tomé e Príncipe,E,17,0.05132385351568397,32323
Apátridas,E,0,0.0,32323
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",E,0,0.0,32323
,F,0,0.0,342138
Nacionalidade portuguesa,F,310743,84.11280979655474,342138
Nacionalidade estrangeira,F,31385,8.495382150088243,342138
Principais nacionalidades,F,0,0.0,342138
Brasil,F,13132,3.554607563962364,342138
Angola,F,1925,0.5210645416256131,342138
Cabo Verde,F,3138,0.8494028735694411,342138
Reino Unido,F,258,0.06983618272177049,342138
Ucrânia,F,2229,0.6033521367706449,342138
França,F,274,0.07416710878203532,342138
China,F,107,0.028963068028021094,342138
Guiné-Bissau,F,2186,0.5917127729836833,342138
Índia,F,973,0.26337444103985536,342138
Roménia,F,1498,0.4054829523922953,342138
Itália,F,155,0.0419558462088156,342138
Nepal,F,98,0.02652692211912212,342138
Espanha,F,230,0.06225706211630702,342138
Alemanha,F,153,0.0414144804512825,342138
São Tomé e Príncipe,F,942,0.2549832717980922,342138
Apátridas,F,10,0.0027068287876655223,342138
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",F,0,0.0,342138
,G,0,0.0,711033
Nacionalidade portuguesa,G,674229,90.92808197470792,711033
Nacionalidade estrangeira,G,36794,4.9621239195843,711033
Principais nacionalidades,G,0,0.0,711033
Brasil,G,13269,1.789488022203731,711033
Angola,G,1416,0.1909650342482842,711033
Cabo Verde,G,1260,0.16992651352601562,711033
Reino Unido,G,506,0.06824033003505071,711033
Ucrânia,G,1271,0.1714099989615602,711033
França,G,697,0.09399903168859752,711033
China,G,5724,0.7719518757324709,711033
Guiné-Bissau,G,600,0.08091738739334077,711033
Índia,G,1434,0.19339255587008444,711033
Roménia,G,927,0.12501736352271148,711033
Itália,G,639,0.08617701757390792,711033
Nepal,G,1060,0.1429540510615687,711033
Espanha,G,811,0.10937333529333226,711033
Alemanha,G,494,0.0666219822871839,711033
São Tomé e Príncipe,G,356,0.048010983186715525,711033
Apátridas,G,10,0.0013486231232223461,711033
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",G,0,0.0,711033
,H,0,0.0,175562
Nacionalidade portuguesa,H,165739,90.12305400129415,175562
Nacionalidade estrangeira,H,9821,5.340315274900355,175562
Principais nacionalidades,H,0,0.0,175562
Brasil,H,5283,2.872710069982545,175562
Angola,H,341,0.18542383756654324,175562
Cabo Verde,H,265,0.14409770368074476,175562
Reino Unido,H,177,0.0962463907603465,175562
Ucrânia,H,731,0.3974921561910355,175562
França,H,179,0.09733392059944644,175562
China,H,40,0.021750596781999205,175562
Guiné-Bissau,H,102,0.05546402179409797,175562
Índia,H,253,0.13757252464614497,175562
Roménia,H,352,0.19140525168159303,175562
Itália,H,211,0.11473439802504581,175562
Nepal,H,41,0.022294361701549185,175562
Espanha,H,177,0.0962463907603465,175562
Alemanha,H,109,0.05927037623094783,175562
São Tomé e Príncipe,H,80,0.04350119356399841,175562
Apátridas,H,2,0.0010875298390999601,175562
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",H,0,0.0,175562
,I,0,0.0,257142
Nacionalidade portuguesa,I,224045,78.65781943932451,257142
Nacionalidade estrangeira,I,33090,11.617252093317184,257142
Principais nacionalidades,I,0,0.0,257142
Brasil,I,13422,4.712201801042709,257142
Angola,I,1393,0.4890550669685958,257142
Cabo Verde,I,1875,0.6582758439096319,257142
Reino Unido,I,656,0.23030877525584986,257142
Ucrânia,I,1175,0.41251952885003595,257142
França,I,442,0.15517755893763055,257142
China,I,1711,0.6006986500956695,257142
Guiné-Bissau,I,480,0.16851861604086577,257142
Índia,I,1048,0.3679323116892236,257142
Roménia,I,892,0.3131637614759422,257142
Itália,I,594,0.20854178735057138,257142
Nepal,I,2744,0.9633647550336158,257142
Espanha,I,330,0.11585654852809522,257142
Alemanha,I,344,0.12077167482928713,257142
São Tomé e Príncipe,I,587,0.20608422419997544,257142
Apátridas,I,7,0.002457563150595959,257142
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",I,0,0.0,257142
,J,0,0.0,148726
Nacionalidade portuguesa,J,135295,84.84040885432997,148726
Nacionalidade estrangeira,J,13429,8.421019627516149,148726
Principais nacionalidades,J,0,0.0,148726
Brasil,J,6696,4.198908885683828,148726
Angola,J,314,0.1969022386655797,148726
Cabo Verde,J,147,0.09218034740076503,148726
Reino Unido,J,558,0.34990907380698566,148726
Ucrânia,J,170,0.10660312284442215,148726
França,J,593,0.37185677556907254,148726
China,J,70,0.04389540352417383,148726
Guiné-Bissau,J,64,0.04013294036495892,148726
Índia,J,194,0.12165297548128176,148726
Roménia,J,117,0.07336803160469053,148726
Itália,J,799,0.501034677368784,148726
Nepal,J,47,0.029472628080516712,148726
Espanha,J,508,0.3185552141468615,148726
Alemanha,J,413,0.25898288079262555,148726
São Tomé e Príncipe,J,54,0.033862168432934096,148726
Apátridas,J,2,0.0012541543864049663,148726
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",J,0,0.0,148726
,K,0,0.0,101636
Nacionalidade portuguesa,K,98373,94.36530547641658,101636
Nacionalidade estrangeira,K,3262,3.1291068328105367,101636
Principais nacionalidades,K,0,0.0,101636
Brasil,K,1077,1.0331232553454777,101636
Angola,K,203,0.194729824359454,101636
Cabo Verde,K,75,0.07194451638896084,101636
Reino Unido,K,142,0.13621495102976586,101636
Ucrânia,K,72,0.0690667357334024,101636
França,K,293,0.28106324402620697,101636
China,K,72,0.0690667357334024,101636
Guiné-Bissau,K,32,0.03069632699262329,101636
Índia,K,57,0.05467783245561023,101636
Roménia,K,60,0.05755561311116867,101636
Itália,K,221,0.21199650829280461,101636
Nepal,K,27,0.0259000259000259,101636
Espanha,K,194,0.1860964823927787,101636
Alemanha,K,69,0.06618895507784398,101636
São Tomé e Príncipe,K,17,0.016307423714831123,101636
Apátridas,K,1,0.0009592602185194778,101636
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",K,0,0.0,101636
,L,0,0.0,41940
Nacionalidade portuguesa,L,38775,87.07808394529408,41940
Nacionalidade estrangeira,L,3165,7.107727548339285,41940
Principais nacionalidades,L,0,0.0,41940
Brasil,L,1234,2.771227739226122,41940
Angola,L,137,0.3076646679691886,41940
Cabo Verde,L,49,0.11004064766781199,41940
Reino Unido,L,293,0.6579981585034472,41940
Ucrânia,L,74,0.16618383525343036,41940
França,L,221,0.49630577825686634,41940
China,L,168,0.3772822205753554,41940
Guiné-Bissau,L,12,0.026948730041096814,41940
Índia,L,36,0.08084619012329045,41940
Roménia,L,54,0.12126928518493567,41940
Itália,L,105,0.23580138785959712,41940
Nepal,L,6,0.013474365020548407,41940
Espanha,L,98,0.22008129533562398,41940
Alemanha,L,89,0.19986974780480138,41940
São Tomé e Príncipe,L,13,0.02919445754452155,41940
Apátridas,L,0,0.0,41940
