Nacionalidade;Categoria;Subcategoria;Dados 2011;Dados 2001;Percentagem (2011);Notas
China;POPULAÇÃO RESIDENTE;Total;11458;2176;100,00%;
China;POPULAÇÃO RESIDENTE;Homens;5943;1164;51,87%;
China;POPULAÇÃO RESIDENTE;Mulheres;5515;1012;48,13%;
China;POPULAÇÃO RESIDENTE;Idade média;31,1 anos;;;
China;MUNICÍPIOS (Top 5);Lisboa;2123;;18,53%;
China;MUNICÍPIOS (Top 5);Sintra;479;;4,18%;
China;MUNICÍPIOS (Top 5);Vila do Conde;402;;3,51%;
China;MUNICÍPIOS (Top 5);Porto;356;;3,11%;
China;MUNICÍPIOS (Top 5);Benavente;344;;3,00%;
China;ESTADO CIVIL;Solteiro;4392;;38,33%;
China;ESTADO CIVIL;Casado;6798;;59,33%;
China;ESTADO CIVIL;Divorciado;161;;1,41%;
China;ESTADO CIVIL;Viúvo;107;;0,93%;
China;UNIÃO DE FACTO;Vive em união de facto;380;;;População com 15+ anos
China;UNIÃO DE FACTO;Não vive em união de facto;4432;;;População com 15+ anos
China;NÍVEL DE ENSINO (15-64 anos);Total População 15-64;9444;;100,00%;
China;NÍVEL DE ENSINO (15-64 anos);Inferior ao básico 3º ciclo;4255;;45,06%;
China;NÍVEL DE ENSINO (15-64 anos);Básico 3º ciclo;2974;;31,49%;
China;NÍVEL DE ENSINO (15-64 anos);Secundário e pós-secundário;1846;;19,55%;
China;NÍVEL DE ENSINO (15-64 anos);Superior;369;;3,91%;
China;MEIO DE VIDA (15+ anos);Total População 15+;9618;;100,00%;
China;MEIO DE VIDA (15+ anos);Trabalho;7287;;75,72%;
China;MEIO DE VIDA (15+ anos);Cargo da família;1716;;17,84%;
China;MEIO DE VIDA (15+ anos);Subsídio de desemprego;12;;0,12%;
China;MEIO DE VIDA (15+ anos);Outro;446;;4,64%;
China;MEIO DE VIDA (15+ anos);Reforma/Pensão;137;;1,42%;
China;MEIO DE VIDA (15+ anos);Outros subsídios temporários;24;;0,25%;
China;ATIVIDADE ECONÔMICA;Total População;11458;;100,00%;
China;ATIVIDADE ECONÔMICA;Ativa;7403;;64,61%;
China;ATIVIDADE ECONÔMICA;Empregada;7287;;63,60%;
China;ATIVIDADE ECONÔMICA;Desempregada;116;;1,01%;
China;ATIVIDADE ECONÔMICA;Inativa;4055;;35,39%;
China;ATIVIDADE ECONÔMICA;<15 anos;1840;;16,06%;
China;ATIVIDADE ECONÔMICA;Estudantes;622;;5,43%;
China;ATIVIDADE ECONÔMICA;Domésticos;561;;4,90%;
China;ATIVIDADE ECONÔMICA;Outra situação;838;;7,31%;
China;ATIVIDADE ECONÔMICA;Reformados;194;;1,69%;
China;PROFISSÕES (Empregados);Total Empregados;7287;;100,00%;
China;PROFISSÕES (Empregados);Vendedores em lojas;3100;;42,54%;
China;PROFISSÕES (Empregados);Diretores/gerentes comércio;1586;;21,76%;
China;PROFISSÕES (Empregados);Cozinheiro;659;;9,04%;
China;RAMOS DE ATIVIDADE;Total Empregados;7287;;100,00%;
China;RAMOS DE ATIVIDADE;Comércio a retalho;5031;;69,04%;
China;RAMOS DE ATIVIDADE;Restauração e similares;1521;;20,87%;
China;RAMOS DE ATIVIDADE;Comércio por grosso;189;;2,59%;
China;REALIGIÃO (15+ anos);Total População 15+;9618;;100,00%;
China;REALIGIÃO (15+ anos);Sem religião;3787;;39,37%;
China;REALIGIÃO (15+ anos);Outra não cristã;1541;;16,02%;
China;REALIGIÃO (15+ anos);Outra cristã;533;;5,54%;
